Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,65.891915,[88  4] ; [11 27],[70.06153846 21.93846154] ; [28.93846154  9.06153846],1
v4,1,0.0,51.678435,[89  3] ; [16 22],[74.30769231 17.69230769] ; [30.69230769  7.30769231],1
r1,1,0.0,41.254842,[76 16] ; [ 9 29],[60.15384615 31.84615385] ; [24.84615385 13.15384615],1
s6,1,0.0,28.70413,[62 30] ; [ 6 32],[48.12307692 43.87692308] ; [19.87692308 18.12307692],1
r2,1,1e-06,24.343244,[87  4] ; [23 14],[78.203125 12.796875] ; [31.796875  5.203125],1
n6,1,2.7e-05,17.644873,[80 11] ; [20 17],[71.09375 19.90625] ; [28.90625  8.09375],1
p10,1,4.4e-05,16.689196,[65 26] ; [12 25],[54.7421875 36.2578125] ; [22.2578125 14.7421875],1
s2,1,7.5e-05,15.678229,[46 45] ; [ 5 33],[35.97674419 55.02325581] ; [15.02325581 22.97674419],1
p11,1,0.000115,14.880339,[65 27] ; [13 25],[55.2 36.8] ; [22.8 15.2],1
s8,1,0.000174,14.094829,[44 47] ; [ 5 33],[34.56589147 56.43410853] ; [14.43410853 23.56589147],1
p9,1,0.000198,13.848415,[67 25] ; [13 22],[57.95275591 34.04724409] ; [22.04724409 12.95275591],1
n3,1,0.000839,11.152658,[21  4] ; [ 9 15],[15.30612245  9.69387755] ; [14.69387755  9.30612245],1
a7,1,0.002252,9.33151,[65 27] ; [16 22],[57.32307692 34.67692308] ; [23.67692308 14.32307692],0
u2,1,0.004729,7.980374,[19 13] ; [ 2 12],[14.60869565 17.39130435] ; [6.39130435 7.60869565],0
a1,1,0.00534,7.760422,[ 6 86] ; [ 9 29],[10.61538462 81.38461538] ; [ 4.38461538 33.61538462],0
p7,1,0.005792,7.613983,[38 51] ; [ 6 30],[31.328 57.672] ; [12.672 23.328],0
s5,1,0.005848,7.596643,[27 61] ; [ 3 35],[20.95238095 67.04761905] ; [ 9.04761905 28.95238095],0
b5,1,0.006269,7.471407,[58 34] ; [14 24],[50.95384615 41.04615385] ; [21.04615385 16.95384615],0
p3,1,0.006305,7.46096,[37 54] ; [ 6 32],[30.33333333 60.66666667] ; [12.66666667 25.33333333],0
s3,1,0.00696,7.283254,[49 40] ; [11 27],[42.04724409 46.95275591] ; [17.95275591 20.04724409],0
v1,1,0.008006,7.032021,[41 48] ; [ 8 30],[34.33858268 54.66141732] ; [14.66141732 23.33858268],0
p6,1,0.010155,6.607571,[23 68] ; [ 2 35],[17.7734375 73.2265625] ; [ 7.2265625 29.7734375],0
s7,1,0.013004,6.168611,[39 47] ; [ 8 29],[32.86178862 53.13821138] ; [14.13821138 22.86178862],0
u3,1,0.014003,6.037734,[20 13] ; [ 3 11],[16.14893617 16.85106383] ; [6.85106383 7.14893617],0
v2,1,0.017705,5.62514,[44 42] ; [10 26],[38.06557377 47.93442623] ; [15.93442623 20.06557377],0
p4,1,0.030571,4.676895,[32 58] ; [ 6 31],[26.92913386 63.07086614] ; [11.07086614 25.92913386],0
v3,1,0.047015,3.944846,[36 49] ; [ 9 29],[31.09756098 53.90243902] ; [13.90243902 24.09756098],0
a5,1,0.051469,3.792946,[67 25] ; [21 17],[62.27692308 29.72307692] ; [25.72307692 12.27692308],0
d3,1,0.075357,3.162299,[51 39] ; [15 23],[46.40625 43.59375] ; [19.59375 18.40625],0
p1,1,0.114429,2.491958,[ 8 84] ; [ 7 31],[10.61538462 81.38461538] ; [ 4.38461538 33.61538462],0
p12,1,0.124784,2.356228,[10 82] ; [ 1 37],[ 7.78461538 84.21538462] ; [ 3.21538462 34.78461538],0
u1,1,0.128218,2.313943,[17 75] ; [ 3 35],[14.15384615 77.84615385] ; [ 5.84615385 32.15384615],0
n2,1,0.129485,2.298665,[22  5] ; [15  9],[19.58823529  7.41176471] ; [17.41176471  6.58823529],0
d4,1,0.185239,1.755081,[63 27] ; [22 16],[59.765625 30.234375] ; [25.234375 12.765625],0
d2,1,0.254255,1.299774,[43 46] ; [22 15],[45.91269841 43.08730159] ; [19.08730159 17.91269841],0
d1,1,0.296301,1.09077,[48 44] ; [16 22],[45.29230769 46.70769231] ; [18.70769231 19.29230769],0
a8,1,0.30143,1.067859,[13 72] ; [ 3 33],[11.23966942 73.76033058] ; [ 4.76033058 31.23966942],0
a2,1,0.305473,1.050148,[22 70] ; [ 6 32],[19.81538462 72.18461538] ; [ 8.18461538 29.81538462],0
s1,1,0.340037,0.910291,[ 7 83] ; [ 5 33],[ 8.4375 81.5625] ; [ 3.5625 34.4375],0
d5,1,0.344664,0.893007,[60 30] ; [22 16],[57.65625 32.34375] ; [24.34375 13.65625],0
a6,1,0.344664,0.893007,[60 30] ; [22 16],[57.65625 32.34375] ; [24.34375 13.65625],0
s4,1,0.454578,0.559211,[14 76] ; [ 4 34],[12.65625 77.34375] ; [ 5.34375 32.65625],0
p8,1,0.459651,0.546744,[23 69] ; [ 7 30],[21.39534884 70.60465116] ; [ 8.60465116 28.39534884],0
a4,1,0.489215,0.478253,[43 48] ; [15 22],[41.234375 49.765625] ; [16.765625 20.234375],0
p5,1,0.599115,0.276332,[10 79] ; [ 3 34],[ 9.18253968 79.81746032] ; [ 3.81746032 33.18253968],0
n4,1,0.62458,0.239483,[76 16] ; [30  8],[75.01538462 16.98461538] ; [30.98461538  7.01538462],0
b2,1,0.633384,0.2275,[24 41] ; [11 15],[25. 40.] ; [10. 16.],0
b3,1,0.633384,0.2275,[24 41] ; [11 15],[25. 40.] ; [10. 16.],0
b4,1,0.634361,0.226193,[55 37] ; [21 17],[53.78461538 38.21538462] ; [22.21538462 15.78461538],0
b1,1,0.651418,0.204117,[50 42] ; [19 19],[48.83076923 43.16923077] ; [20.16923077 17.83076923],0
n1,1,0.673973,0.17699,[14 11] ; [12 12],[13.26530612 11.73469388] ; [12.73469388 11.26530612],0
a3,1,0.997454,1e-05,[59 32] ; [24 13],[59.0078125 31.9921875] ; [23.9921875 13.0078125],0
