Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.00088,11.06477,[17  8] ; [15 38],[10.25641026 14.74358974] ; [21.74358974 31.25641026],1
s5,1,0.031738,4.6126,[17  6] ; [23 26],[12.77777778 10.22222222] ; [27.22222222 21.77777778],0
p5,1,0.072679,3.221464,[ 6 19] ; [ 5 50],[ 3.4375 21.5625] ; [ 7.5625 47.4375],0
a3,1,0.104577,2.634312,[18  7] ; [29 26],[14.6875 10.3125] ; [32.3125 22.6875],0
n1,1,0.129392,2.299784,[1 5] ; [6 5],[2.47058824 3.52941176] ; [4.52941176 6.47058824],0
v1,1,0.164927,1.928458,[16  9] ; [26 29],[13.125 11.875] ; [28.875 26.125],0
s8,1,0.20025,1.640549,[17  8] ; [29 26],[14.375 10.625] ; [31.625 23.375],0
r2,1,0.2278,1.454545,[24  1] ; [48  7],[22.5  2.5] ; [49.5  5.5],0
d4,1,0.2278,1.454545,[22  3] ; [42 13],[20.  5.] ; [44. 11.],0
p12,1,0.2278,1.454545,[ 4 21] ; [ 4 51],[ 2.5 22.5] ; [ 5.5 49.5],0
d1,1,0.236683,1.400242,[18  7] ; [32 23],[15.625  9.375] ; [34.375 20.625],0
b2,1,0.257381,1.282789,[4 8] ; [ 6 28],[2.60869565 9.39130435] ; [ 7.39130435 26.60869565],0
b3,1,0.257381,1.282789,[4 8] ; [ 6 28],[2.60869565 9.39130435] ; [ 7.39130435 26.60869565],0
s7,1,0.263817,1.248617,[19  5] ; [36 18],[16.92307692  7.07692308] ; [38.07692308 15.92307692],0
r1,1,0.272115,1.206055,[21  4] ; [40 15],[19.0625  5.9375] ; [41.9375 13.0625],0
p10,1,0.310729,1.027575,[24  1] ; [49  6],[22.8125  2.1875] ; [50.1875  4.8125],0
s3,1,0.311116,1.025933,[20  5] ; [38 17],[18.125  6.875] ; [39.875 15.125],0
p9,1,0.411922,0.673247,[23  2] ; [47  8],[21.875  3.125] ; [48.125  6.875],0
p2,1,0.422953,0.642097,[24  1] ; [50  5],[23.125  1.875] ; [50.875  4.125],0
b1,1,0.427836,0.628691,[ 9 16] ; [25 30],[10.625 14.375] ; [23.375 31.625],0
p3,1,0.429795,0.623377,[19  6] ; [37 18],[17.5  7.5] ; [38.5 16.5],0
n3,1,0.481556,0.495338,[4 2] ; [9 2],[4.58823529 1.41176471] ; [8.41176471 2.58823529],0
d3,1,0.486234,0.484848,[20  5] ; [40 15],[18.75  6.25] ; [41.25 13.75],0
s2,1,0.496007,0.463468,[19  6] ; [37 17],[17.72151899  7.27848101] ; [38.27848101 15.72151899],0
p7,1,0.501708,0.451321,[23  2] ; [46  7],[22.11538462  2.88461538] ; [46.88461538  6.11538462],0
r3,1,0.562926,0.334663,[24  1] ; [50  4],[23.41772152  1.58227848] ; [50.58227848  3.41772152],0
s1,1,0.575125,0.314182,[ 1 24] ; [ 4 51],[ 1.5625 23.4375] ; [ 3.4375 51.5625],0
a7,1,0.593948,0.284222,[17  8] ; [34 21],[15.9375  9.0625] ; [35.0625 19.9375],0
u2,1,0.605591,0.266645,[4 3] ; [12 14],[3.39393939 3.60606061] ; [12.60606061 13.39393939],0
a4,1,0.622461,0.242424,[11 14] ; [21 34],[10. 15.] ; [22. 33.],0
n4,1,0.636442,0.223425,[19  6] ; [39 16],[18.125  6.875] ; [39.875 15.125],0
p6,1,0.638067,0.22128,[15 10] ; [36 19],[15.9375  9.0625] ; [35.0625 19.9375],0
a8,1,0.639435,0.219482,[ 2 21] ; [ 3 49],[ 1.53333333 21.46666667] ; [ 3.46666667 48.53333333],0
d5,1,0.670933,0.180513,[21  4] ; [44 11],[20.3125  4.6875] ; [44.6875 10.3125],0
p4,1,0.685199,0.164332,[19  6] ; [44 11],[19.6875  5.3125] ; [43.3125 11.6875],0
u3,1,0.687421,0.161892,[4 3] ; [17  9],[4.45454545 2.54545455] ; [16.54545455  9.45454545],0
p1,1,0.687673,0.161616,[ 3 22] ; [ 5 50],[ 2.5 22.5] ; [ 5.5 49.5],0
a2,1,0.691545,0.157418,[ 5 20] ; [ 9 46],[ 4.375 20.625] ; [ 9.625 45.375],0
u1,1,0.691545,0.157418,[ 5 20] ; [ 9 46],[ 4.375 20.625] ; [ 9.625 45.375],0
p11,1,0.691545,0.157418,[20  5] ; [46  9],[20.625  4.375] ; [45.375  9.625],0
d2,1,0.694994,0.153732,[13 12] ; [26 29],[12.1875 12.8125] ; [26.8125 28.1875],0
b4,1,0.71613,0.132231,[13 12] ; [31 24],[13.75 11.25] ; [30.25 24.75],0
b5,1,0.832377,0.044797,[13 12] ; [30 25],[13.4375 11.5625] ; [29.5625 25.4375],0
n5,1,0.846864,0.037296,[20  5] ; [45 10],[20.3125  4.6875] ; [44.6875 10.3125],0
a6,1,0.87704,0.023939,[15 10] ; [34 21],[15.3125  9.6875] ; [33.6875 21.3125],0
n6,1,0.927359,0.008312,[22  3] ; [48  7],[21.875  3.125] ; [48.125  6.875],0
n2,1,0.93758,0.006133,[5 1] ; [9 2],[4.94117647 1.05882353] ; [9.05882353 1.94117647],0
a5,1,0.948672,0.004144,[17  8] ; [37 18],[16.875  8.125] ; [37.125 17.875],0
