Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,50.911341,[50 30] ; [ 18 107],[26.53658537 53.46341463] ; [41.46341463 83.53658537],1
s2,1,0.0,37.219898,[56 24] ; [33 91],[34.90196078 45.09803922] ; [54.09803922 69.90196078],1
s6,1,5e-06,20.994635,[62 17] ; [56 66],[46.37810945 32.62189055] ; [71.62189055 50.37810945],1
s3,1,1e-05,19.52246,[60 20] ; [53 69],[44.75247525 35.24752475] ; [68.24752475 53.75247525],1
s5,1,5e-05,16.450352,[32 45] ; [ 19 102],[19.83333333 57.16666667] ; [31.16666667 89.83333333],1
p8,1,0.000172,14.11828,[52 26] ; [49 75],[39. 39.] ; [62. 62.],1
p6,1,0.000877,11.069881,[36 39] ; [31 93],[25.25125628 49.74874372] ; [41.74874372 82.25125628],1
p5,1,0.001439,10.154993,[16 64] ; [  7 118],[ 8.97560976 71.02439024] ; [ 14.02439024 110.97560976],0
p4,1,0.001606,9.953226,[51 29] ; [51 73],[40. 40.] ; [62. 62.],0
p3,1,0.004095,8.241051,[41 39] ; [39 86],[31.2195122 48.7804878] ; [48.7804878 76.2195122],0
s4,1,0.005897,7.581557,[23 57] ; [ 16 106],[15.44554455 64.55445545] ; [23.55445545 98.44554455],0
d4,1,0.012324,6.263695,[63 17] ; [77 47],[54.90196078 25.09803922] ; [85.09803922 38.90196078],0
a3,1,0.01508,5.907137,[45 34] ; [49 75],[36.58128079 42.41871921] ; [57.41871921 66.58128079],0
v3,1,0.017064,5.689764,[32 45] ; [31 91],[24.37688442 52.62311558] ; [38.62311558 83.37688442],0
p10,1,0.025266,5.00555,[64 14] ; [84 40],[57.14851485 20.85148515] ; [90.85148515 33.14851485],0
v4,1,0.025893,4.963139,[78  1] ; [114  11],[74.35294118  4.64705882] ; [117.64705882   7.35294118],0
n5,1,0.026335,4.933907,[61 19] ; [76 48],[53.7254902 26.2745098] ; [83.2745098 40.7254902],0
n4,1,0.03327,4.531857,[57 23] ; [70 54],[49.80392157 30.19607843] ; [77.19607843 46.80392157],0
n1,1,0.034322,4.478571,[11 11] ; [ 8 27],[ 7.33333333 14.66666667] ; [11.66666667 23.33333333],0
p7,1,0.034887,4.450717,[54 22] ; [69 54],[46.97487437 29.02512563] ; [76.02512563 46.97487437],0
p1,1,0.045004,4.018485,[12 68] ; [  8 116],[ 7.84313725 72.15686275] ; [ 12.15686275 111.84313725],0
d5,1,0.066287,3.37266,[59 21] ; [76 48],[52.94117647 27.05882353] ; [82.05882353 41.94117647],0
b5,1,0.070182,3.27876,[41 39] ; [80 45],[47.2195122 32.7804878] ; [73.7804878 51.2195122],0
r1,1,0.072584,3.223593,[57 23] ; [73 51],[50.98039216 29.01960784] ; [79.01960784 44.98039216],0
u3,1,0.086828,2.932225,[22 13] ; [34 41],[17.81818182 17.18181818] ; [38.18181818 36.81818182],0
b3,1,0.110052,2.553482,[17 33] ; [13 50],[13.27433628 36.72566372] ; [16.72566372 46.27433628],0
b2,1,0.110052,2.553482,[17 33] ; [13 50],[13.27433628 36.72566372] ; [16.72566372 46.27433628],0
v1,1,0.110612,2.545462,[40 39] ; [47 73],[34.53768844 44.46231156] ; [52.46231156 67.53768844],0
d1,1,0.134189,2.243358,[29 51] ; [33 92],[24.19512195 55.80487805] ; [37.80487805 87.19512195],0
a6,1,0.139994,2.178027,[37 43] ; [71 54],[42.14634146 37.85365854] ; [65.85365854 59.14634146],0
u1,1,0.164972,1.928054,[ 5 75] ; [  3 122],[ 3.12195122 76.87804878] ; [  4.87804878 120.12195122],0
p9,1,0.223561,1.481365,[66 13] ; [94 29],[62.57425743 16.42574257] ; [97.42574257 25.57425743],0
r4,1,0.229107,1.446394,[67 13] ; [96 29],[63.6097561 16.3902439] ; [99.3902439 25.6097561],0
n3,1,0.229573,1.443506,[13  9] ; [26  9],[15.05263158  6.94736842] ; [23.94736842 11.05263158],0
r2,1,0.254812,1.296728,[72  6] ; [109  16],[69.54679803  8.45320197] ; [111.45320197  13.54679803],0
r3,1,0.311953,1.022388,[75  4] ; [113  11],[73.16256158  5.83743842] ; [114.83743842   9.16256158],0
n2,1,0.317852,0.997766,[17  5] ; [22 12],[15.32142857  6.67857143] ; [23.67857143 10.32142857],0
u2,1,0.325666,0.966055,[20 14] ; [36 38],[17.62962963 16.37037037] ; [38.37037037 35.62962963],0
d3,1,0.539592,0.376297,[49 31] ; [70 53],[46.89655172 33.10344828] ; [72.10344828 50.89655172],0
