Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,1e-06,25.198006,[ 4 22] ; [52 20],[14.85714286 11.14285714] ; [41.14285714 30.85714286],1
a3,1,1.4e-05,18.917306,[10 15] ; [61 11],[18.29896907  6.70103093] ; [52.70103093 19.29896907],1
d4,1,4.6e-05,16.60654,[16 10] ; [67  4],[22.24742268  3.75257732] ; [60.75257732 10.24742268],1
d5,1,0.000102,15.092499,[15 11] ; [65  6],[21.44329897  4.55670103] ; [58.55670103 12.44329897],1
a4,1,0.000155,14.311298,[ 5 21] ; [45 27],[13.26530612 12.73469388] ; [36.73469388 35.26530612],1
d2,1,0.000465,12.252789,[ 7 19] ; [48 24],[14.59183673 11.40816327] ; [40.40816327 31.59183673],1
b3,1,0.001876,9.666668,[ 2 13] ; [29 20],[7.265625 7.734375] ; [23.734375 25.265625],0
b2,1,0.001876,9.666668,[ 2 13] ; [29 20],[7.265625 7.734375] ; [23.734375 25.265625],0
s8,1,0.007879,7.06083,[ 8 18] ; [44 28],[13.79591837 12.20408163] ; [38.20408163 33.79591837],0
n6,1,0.00874,6.875142,[17  8] ; [64  7],[21.09375  3.90625] ; [59.90625 11.09375],0
p3,1,0.013292,6.129801,[10 15] ; [49 23],[15.20618557  9.79381443] ; [43.79381443 28.20618557],0
r4,1,0.025507,4.9891,[20  6] ; [67  5],[23.08163265  2.91836735] ; [63.91836735  8.08163265],0
r2,1,0.056943,3.62426,[22  4] ; [69  3],[24.14285714  1.85714286] ; [66.85714286  5.14285714],0
v3,1,0.064495,3.41786,[ 6 20] ; [31 40],[ 9.91752577 16.08247423] ; [27.08247423 43.91752577],0
n3,1,0.095581,2.777778,[4 6] ; [11  4],[6. 4.] ; [9. 6.],0
p10,1,0.102538,2.66561,[17  8] ; [60 12],[19.84536082  5.15463918] ; [57.15463918 14.84536082],0
p9,1,0.109849,2.556394,[18  7] ; [62 10],[20.6185567  4.3814433] ; [59.3814433 12.6185567],0
b5,1,0.116185,2.468011,[12 14] ; [21 51],[ 8.75510204 17.24489796] ; [24.24489796 47.75510204],0
r1,1,0.126182,2.338856,[18  8] ; [60 12],[20.69387755  5.30612245] ; [57.30612245 14.69387755],0
v2,1,0.179976,1.797825,[10 15] ; [40 32],[12.88659794 12.11340206] ; [37.11340206 34.88659794],0
s4,1,0.264855,1.243199,[10 16] ; [19 52],[ 7.77319588 18.22680412] ; [21.22680412 49.77319588],0
s1,1,0.277673,1.178442,[ 2 24] ; [ 2 70],[ 1.06122449 24.93877551] ; [ 2.93877551 69.06122449],0
p11,1,0.425691,0.634551,[19  7] ; [58 14],[20.42857143  5.57142857] ; [56.57142857 15.42857143],0
d3,1,0.427214,0.630386,[11 15] ; [37 35],[12.73469388 13.26530612] ; [35.26530612 36.73469388],0
p1,1,0.433047,0.614639,[ 4 22] ; [ 7 65],[ 2.91836735 23.08163265] ; [ 8.08163265 63.91836735],0
p12,1,0.440519,0.59493,[ 3 22] ; [ 5 66],[ 2.08333333 22.91666667] ; [ 5.91666667 65.08333333],0
n4,1,0.445379,0.582385,[19  7] ; [57 14],[20.37113402  5.62886598] ; [55.62886598 15.37113402],0
n2,1,0.547435,0.361932,[9 1] ; [13  3],[8.46153846 1.53846154] ; [13.53846154  2.46153846],0
p4,1,0.566231,0.32903,[14 11] ; [45 27],[15.20618557  9.79381443] ; [43.79381443 28.20618557],0
v4,1,0.572189,0.319034,[25  1] ; [67  5],[24.40816327  1.59183673] ; [67.59183673  4.40816327],0
p6,1,0.589693,0.290824,[12 12] ; [31 40],[10.86315789 13.13684211] ; [32.13684211 38.86315789],0
s7,1,0.599518,0.275723,[14 11] ; [44 27],[15.10416667  9.89583333] ; [42.89583333 28.10416667],0
p2,1,0.599847,0.275226,[21  4] ; [57 15],[20.10309278  4.89690722] ; [57.89690722 14.10309278],0
