Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,80.609757,[377 104] ; [ 76 105],[329.14350453 151.85649547] ; [123.85649547  57.14350453],1
d3,1,0.0,61.823199,[380 102] ; [86 95],[338.78129713 143.21870287] ; [127.21870287  53.78129713],1
a2,1,0.0,37.218491,[151 331] ; [ 15 166],[120.68174962 361.31825038] ; [ 45.31825038 135.68174962],1
u1,1,0.0,25.680105,[116 366] ; [ 12 169],[ 93.05580694 388.94419306] ; [ 34.94419306 146.05580694],1
b5,1,5e-05,16.455375,[310 172] ; [85 96],[287.16440422 194.83559578] ; [107.83559578  73.16440422],1
r4,1,0.00046,12.272506,[455  27] ; [156  25],[444.19607843  37.80392157] ; [166.80392157  14.19607843],1
r1,1,0.000976,10.873309,[399  80] ; [130  51],[383.92575758  95.07424242] ; [145.07424242  35.92575758],1
d1,1,0.001081,10.682802,[312 170] ; [92 89],[293.70739065 188.29260935] ; [110.29260935  70.70739065],0
b1,1,0.002055,9.499438,[144 338] ; [ 77 104],[160.66666667 321.33333333] ; [ 60.33333333 120.66666667],0
u3,1,0.007933,7.048578,[77 52] ; [17 29],[69.29142857 59.70857143] ; [24.70857143 21.29142857],0
r2,1,0.022826,5.181717,[458  17] ; [165  14],[452.48470948  22.51529052] ; [170.51529052   8.48470948],0
v2,1,0.02287,5.178359,[283 180] ; [89 85],[270.38618524 192.61381476] ; [101.61381476  72.38618524],0
r3,1,0.025957,4.958906,[466  12] ; [170  11],[461.31714719  16.68285281] ; [174.68285281   6.31714719],0
b2,1,0.038725,4.27289,[105 180] ; [57 62],[114.28217822 170.71782178] ; [47.71782178 71.28217822],0
b3,1,0.038725,4.27289,[105 180] ; [57 62],[114.28217822 170.71782178] ; [47.71782178 71.28217822],0
v4,1,0.040002,4.217803,[465  13] ; [170  11],[460.59180577  17.40819423] ; [174.40819423   6.59180577],0
d5,1,0.041868,4.14053,[405  77] ; [139  41],[396.08459215  85.91540785] ; [147.91540785  32.08459215],0
n5,1,0.044994,4.018882,[384  96] ; [157  24],[392.85930408  87.14069592] ; [148.14069592  32.85930408],0
a5,1,0.073643,3.199896,[378 104] ; [130  51],[369.31523379 112.68476621] ; [138.68476621  42.31523379],0
u2,1,0.083105,3.003104,[73 57] ; [19 27],[67.95454545 62.04545455] ; [24.04545455 21.95454545],0
p4,1,0.104886,2.629625,[316 165] ; [106  74],[307.08320726 173.91679274] ; [114.91679274  65.08320726],0
d4,1,0.127173,2.326674,[407  75] ; [143  37],[400.45317221  81.54682779] ; [149.54682779  30.45317221],0
s8,1,0.150161,2.070612,[224 255] ; [96 85],[232.24242424 246.75757576] ; [87.75757576 93.24242424],0
p10,1,0.159603,1.977982,[446  32] ; [163  18],[441.73292868  36.26707132] ; [167.26707132  13.73292868],0
s2,1,0.166541,1.913807,[262 215] ; [88 92],[254.10958904 222.89041096] ; [95.89041096 84.10958904],0
b4,1,0.192163,1.700959,[288 194] ; [98 83],[280.6214178 201.3785822] ; [105.3785822  75.6214178],0
p12,1,0.197299,1.662254,[ 51 430] ; [ 13 166],[ 46.64242424 434.35757576] ; [ 17.35757576 161.64242424],0
s7,1,0.212692,1.553011,[236 224] ; [100  76],[243.01886792 216.98113208] ; [92.98113208 83.01886792],0
n1,1,0.286626,1.135401,[30 59] ; [21 28],[32.89130435 56.10869565] ; [18.10869565 30.89130435],0
s5,1,0.292352,1.108758,[167 295] ; [ 70 102],[172.70347003 289.29652997] ; [ 64.29652997 107.70347003],0
a8,1,0.294779,1.097665,[ 67 364] ; [ 21 151],[ 62.89883914 368.10116086] ; [ 25.10116086 146.89883914],0
s1,1,0.297329,1.086135,[ 15 460] ; [  3 177],[ 13.05343511 461.94656489] ; [  4.94656489 175.05343511],0
v1,1,0.329146,0.952254,[272 197] ; [94 81],[266.54347826 202.45652174] ; [99.45652174 75.54347826],0
p2,1,0.361754,0.831796,[423  57] ; [153  26],[419.5447648  60.4552352] ; [156.4552352  22.5447648],0
s6,1,0.418544,0.654398,[339 133] ; [120  55],[334.85007728 137.14992272] ; [124.14992272  50.85007728],0
n4,1,0.421943,0.644897,[391  90] ; [152  29],[394.53625378  86.46374622] ; [148.46374622  32.53625378],0
s4,1,0.459406,0.547341,[ 80 394] ; [ 35 146],[ 83.22137405 390.77862595] ; [ 31.77862595 149.22137405],0
a1,1,0.525662,0.40277,[ 21 461] ; [ 10 171],[ 22.53695324 459.46304676] ; [  8.46304676 172.53695324],0
p6,1,0.537698,0.379822,[198 280] ; [ 69 109],[194.55182927 283.44817073] ; [ 72.44817073 105.55182927],0
p1,1,0.567373,0.327098,[ 47 433] ; [ 15 165],[ 45.09090909 434.90909091] ; [ 16.90909091 163.09090909],0
n2,1,0.595677,0.281565,[68 22] ; [35 14],[66.69064748 23.30935252] ; [36.30935252 12.69064748],0
p8,1,0.597749,0.278404,[273 203] ; [98 80],[270.02446483 205.97553517] ; [100.97553517  77.02446483],0
a3,1,0.654342,0.200469,[351 128] ; [135  45],[353.25341426 125.74658574] ; [132.74658574  47.25341426],0
s3,1,0.657532,0.196535,[276 199] ; [100  78],[273.50689127 201.49310873] ; [102.49310873  75.50689127],0
p3,1,0.681502,0.16844,[263 219] ; [95 85],[260.65861027 221.34138973] ; [97.34138973 82.65861027],0
v3,1,0.777757,0.079661,[189 273] ; [ 75 103],[190.575 271.425] ; [ 73.425 104.575],0
p5,1,0.813441,0.055691,[ 66 412] ; [ 26 153],[ 66.93455099 411.06544901] ; [ 25.06544901 153.93455099],0
a4,1,0.863833,0.029411,[229 251] ; [85 96],[228.01815431 251.98184569] ; [85.98184569 95.01815431],0
p7,1,0.928103,0.008142,[314 157] ; [118  60],[313.51617874 157.48382126] ; [118.48382126  59.51617874],0
p11,1,0.941716,0.005345,[409  73] ; [154  27],[409.30015083  72.69984917] ; [153.69984917  27.30015083],0
n3,1,0.943046,0.005104,[67 23] ; [36 12],[67.17391304 22.82608696] ; [35.82608696 12.17391304],0
u4,1,0.966407,0.001774,[ 13 468] ; [  5 176],[ 13.07854985 467.92145015] ; [  4.92145015 176.07854985],0
d2,1,1.0,0.0,[241 241] ; [90 90],[241. 241.] ; [90. 90.],0
