Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,5.9e-05,16.128398,[52 37] ; [ 49 104],[37.1446281 51.8553719] ; [63.8553719 89.1446281],1
p2,1,7.4e-05,15.715779,[73 19] ; [87 73],[58.41269841 33.58730159] ; [101.58730159  58.41269841],1
p3,1,0.001645,9.908959,[29 62] ; [ 24 136],[19.21513944 71.78486056] ; [ 33.78486056 126.21513944],0
s6,1,0.00344,8.558282,[42 49] ; [ 44 114],[31.42971888 59.57028112] ; [ 54.57028112 103.42971888],0
b3,1,0.006212,7.487667,[25 23] ; [25 63],[17.64705882 30.35294118] ; [32.35294118 55.64705882],0
b2,1,0.006212,7.487667,[25 23] ; [25 63],[17.64705882 30.35294118] ; [32.35294118 55.64705882],0
r1,1,0.006456,7.418278,[71 20] ; [98 62],[61.27091633 29.72908367] ; [107.72908367  52.27091633],0
p7,1,0.008675,6.888472,[45 44] ; [ 53 105],[35.31174089 53.68825911] ; [62.68825911 95.31174089],0
r2,1,0.011021,6.461993,[84  6] ; [129  29],[77.2983871 12.7016129] ; [135.7016129  22.2983871],0
a3,1,0.014421,5.985836,[69 23] ; [95 64],[60.11155378 31.88844622] ; [103.88844622  55.11155378],0
v3,1,0.024143,5.084317,[33 57] ; [ 36 119],[25.34693878 64.65306122] ; [ 43.65306122 111.34693878],0
v4,1,0.026923,4.895751,[82  8] ; [128  31],[75.90361446 14.09638554] ; [134.09638554  24.90361446],0
p8,1,0.056122,3.648428,[33 58] ; [ 39 118],[26.41935484 64.58064516] ; [ 45.58064516 111.41935484],0
p9,1,0.056435,3.639173,[67 24] ; [95 59],[60.17142857 30.82857143] ; [101.82857143  52.17142857],0
p11,1,0.079658,3.071861,[66 27] ; [96 64],[59.54940711 33.45059289] ; [102.45059289  57.54940711],0
s4,1,0.093581,2.811663,[ 5 87] ; [ 19 141],[ 8.76190476 83.23809524] ; [ 15.23809524 144.76190476],0
r3,1,0.105155,2.625561,[80 11] ; [127  32],[75.348 15.652] ; [131.652  27.348],0
p10,1,0.14617,2.111775,[59 32] ; [87 70],[53.57258065 37.42741935] ; [92.42741935 64.57258065],0
a5,1,0.149743,2.074868,[62 31] ; [92 68],[56.60869565 36.39130435] ; [97.39130435 62.60869565],0
n3,1,0.154162,2.030577,[21  6] ; [38 23],[18.10227273  8.89772727] ; [40.89772727 20.10227273],0
b5,1,0.172269,1.863085,[61 32] ; [91 69],[55.87351779 37.12648221] ; [96.12648221 63.87351779],0
d3,1,0.208475,1.581984,[59 34] ; [88 71],[54.25 38.75] ; [92.75 66.25],0
u2,1,0.214874,1.538283,[13 10] ; [27 38],[10.45454545 12.54545455] ; [29.54545455 35.45454545],0
a4,1,0.218579,1.513675,[39 53] ; [ 55 104],[34.45418327 57.54581673] ; [59.54581673 99.45418327],0
s7,1,0.2278,1.454545,[20 70] ; [ 24 126],[16.5 73.5] ; [ 27.5 122.5],0
a7,1,0.235408,1.407887,[63 29] ; [97 62],[58.64541833 33.35458167] ; [101.35458167  57.64541833],0
n2,1,0.25033,1.321462,[20  7] ; [40 25],[17.60869565  9.39130435] ; [42.39130435 22.60869565],0
p6,1,0.271973,1.206768,[13 74] ; [ 16 141],[10.34016393 76.65983607] ; [ 18.65983607 138.34016393],0
u4,1,0.279776,1.168175,[ 2 91] ; [  1 159],[ 1.1027668 91.8972332] ; [  1.8972332 158.1027668],0
a6,1,0.310325,1.029294,[64 29] ; [100  60],[60.28458498 32.71541502] ; [103.71541502  56.28458498],0
a2,1,0.33094,0.945215,[19 74] ; [ 25 135],[16.17391304 76.82608696] ; [ 27.82608696 132.17391304],0
p5,1,0.371385,0.799027,[ 5 87] ; [  5 154],[ 3.66533865 88.33466135] ; [  6.33466135 152.66533865],0
r4,1,0.378195,0.776561,[71 22] ; [114  46],[68.00395257 24.99604743] ; [116.99604743  43.00395257],0
d4,1,0.403956,0.69652,[71 22] ; [113  45],[68.1752988 24.8247012] ; [115.8247012  42.1752988],0
p1,1,0.419138,0.65273,[ 7 86] ; [  8 151],[ 5.53571429 87.46428571] ; [  9.46428571 149.53571429],0
s8,1,0.468836,0.524718,[19 73] ; [ 27 132],[16.86055777 75.13944223] ; [ 29.13944223 129.86055777],0
s1,1,0.502526,0.449597,[ 3 89] ; [  3 154],[ 2.21686747 89.78313253] ; [  3.78313253 153.21686747],0
a1,1,0.51329,0.427354,[ 4 89] ; [ 10 150],[ 5.14624506 87.85375494] ; [  8.85375494 151.14624506],0
a8,1,0.531894,0.390771,[10 75] ; [ 14 138],[ 8.60759494 76.39240506] ; [ 15.39240506 136.60759494],0
n6,1,0.692701,0.156177,[66 26] ; [111  49],[64.61904762 27.38095238] ; [112.38095238  47.61904762],0
s3,1,0.721075,0.127465,[23 68] ; [ 37 122],[21.84 69.16] ; [ 38.16 120.84],0
n5,1,0.730161,0.118964,[57 35] ; [95 64],[55.71314741 36.28685259] ; [96.28685259 62.71314741],0
u1,1,0.754081,0.098134,[ 8 85] ; [ 12 148],[ 7.35177866 85.64822134] ; [ 12.64822134 147.35177866],0
d2,1,0.793709,0.068381,[34 59] ; [60 97],[34.968 58.032] ; [59.032 97.968],0
n4,1,0.889412,0.019335,[59 33] ; [104  56],[59.50793651 32.49206349] ; [103.49206349  56.50793651],0
b1,1,0.89551,0.017249,[37 56] ; [65 95],[37.49407115 55.50592885] ; [64.50592885 95.49407115],0
d1,1,0.903458,0.014712,[42 51] ; [71 89],[41.53754941 51.46245059] ; [71.46245059 88.53754941],0
b4,1,0.915033,0.011383,[54 39] ; [94 66],[54.40316206 38.59683794] ; [93.59683794 66.40316206],0
d5,1,0.931269,0.007439,[65 28] ; [111  49],[64.69565217 28.30434783] ; [111.30434783  48.69565217],0
p12,1,0.95459,0.003243,[ 3 88] ; [  5 153],[ 2.92369478 88.07630522] ; [  5.07630522 152.92369478],0
s5,1,0.956853,0.002927,[13 77] ; [ 22 133],[12.85714286 77.14285714] ; [ 22.14285714 132.85714286],0
u3,1,0.960117,0.002501,[ 9 15] ; [24 41],[ 8.8988764 15.1011236] ; [24.1011236 40.8988764],0
n1,1,0.961929,0.002278,[10 17] ; [23 40],[ 9.9 17.1] ; [23.1 39.9],0
