Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,3.4e-05,17.20151,[46 12] ; [ 8 17],[37.73493976 20.26506024] ; [16.26506024  8.73493976],1
p6,1,0.007846,7.068319,[18 39] ; [ 1 23],[13.37037037 43.62962963] ; [ 5.62962963 18.37037037],0
s7,1,0.015613,5.845912,[24 29] ; [ 4 20],[19.27272727 33.72727273] ; [ 8.72727273 15.27272727],0
a5,1,0.044786,4.026687,[37 21] ; [10 15],[32.84337349 25.15662651] ; [14.15662651 10.84337349],0
s8,1,0.061491,3.496699,[18 39] ; [ 3 22],[14.59756098 42.40243902] ; [ 6.40243902 18.59756098],0
r3,1,0.070657,3.267701,[32 22] ; [20  5],[35.5443038 18.4556962] ; [16.4556962  8.5443038],0
n2,1,0.07932,3.078772,[18  6] ; [6 7],[15.56756757  8.43243243] ; [8.43243243 4.56756757],0
p2,1,0.097339,2.748615,[37 20] ; [20  4],[40.11111111 16.88888889] ; [16.88888889  7.11111111],0
a3,1,0.098168,2.735053,[38 20] ; [11 13],[34.65853659 23.34146341] ; [14.34146341  9.65853659],0
s4,1,0.110353,2.549164,[13 44] ; [ 2 23],[10.42682927 46.57317073] ; [ 4.57317073 20.42682927],0
v4,1,0.141598,2.160501,[37 19] ; [19  4],[39.69620253 16.30379747] ; [16.30379747  6.69620253],0
a4,1,0.153964,2.03253,[23 34] ; [ 6 19],[20.15853659 36.84146341] ; [ 8.84146341 16.15853659],0
a8,1,0.15909,1.982854,[ 1 50] ; [ 2 20],[ 2.09589041 48.90410959] ; [ 0.90410959 21.09589041],0
v3,1,0.168259,1.898386,[18 39] ; [ 4 20],[15.48148148 41.51851852] ; [ 6.51851852 17.48148148],0
s5,1,0.187986,1.733333,[ 7 47] ; [ 6 18],[ 9. 45.] ; [ 4. 20.],0
p9,1,0.202186,1.626512,[38 17] ; [13 11],[35.50632911 19.49367089] ; [15.49367089  8.50632911],0
p1,1,0.204495,1.609974,[ 8 50] ; [ 1 23],[ 6.36585366 51.63414634] ; [ 2.63414634 21.36585366],0
b1,1,0.240195,1.37945,[29 29] ; [ 9 16],[26.55421687 31.44578313] ; [11.44578313 13.55421687],0
n1,1,0.258152,1.278641,[10 14] ; [ 3 10],[ 8.43243243 15.56756757] ; [4.56756757 8.43243243],0
s6,1,0.284741,1.144322,[25 31] ; [ 8 17],[22.81481481 33.18518519] ; [10.18518519 14.81481481],0
d2,1,0.284741,1.144322,[25 31] ; [ 8 17],[22.81481481 33.18518519] ; [10.18518519 14.81481481],0
p10,1,0.289838,1.120373,[37 20] ; [12 11],[34.9125 22.0875] ; [14.0875  8.9125],0
b4,1,0.310577,1.028221,[35 23] ; [18  7],[37.03614458 20.96385542] ; [15.96385542  9.03614458],0
a7,1,0.310871,1.026971,[25 32] ; [14 11],[27.1097561 29.8902439] ; [11.8902439 13.1097561],0
u1,1,0.354105,0.858693,[ 9 49] ; [ 2 23],[ 7.68674699 50.31325301] ; [ 3.31325301 21.68674699],0
a2,1,0.354105,0.858693,[ 9 49] ; [ 2 23],[ 7.68674699 50.31325301] ; [ 3.31325301 21.68674699],0
s2,1,0.463386,0.537704,[20 35] ; [ 7 18],[18.5625 36.4375] ; [ 8.4375 16.5625],0
p11,1,0.525548,0.402992,[39 19] ; [15 10],[37.73493976 20.26506024] ; [16.26506024  8.73493976],0
p4,1,0.537051,0.381034,[27 30] ; [10 15],[25.7195122 31.2804878] ; [11.2804878 13.7195122],0
r2,1,0.558549,0.342222,[31 24] ; [14  8],[32.14285714 22.85714286] ; [12.85714286  9.14285714],0
d3,1,0.58168,0.303527,[31 27] ; [15 10],[32.14457831 25.85542169] ; [13.85542169 11.14457831],0
d4,1,0.59787,0.278221,[42 15] ; [17  8],[41.01219512 15.98780488] ; [17.98780488  7.01219512],0
p5,1,0.605725,0.266447,[ 7 50] ; [ 2 22],[ 6.33333333 50.66666667] ; [ 2.66666667 21.33333333],0
n3,1,0.628745,0.233766,[14 10] ; [8 4],[14.66666667  9.33333333] ; [7.33333333 4.66666667],0
d5,1,0.65776,0.196256,[40 18] ; [16  9],[39.13253012 18.86746988] ; [16.86746988  8.13253012],0
p3,1,0.670732,0.180747,[20 37] ; [10 15],[20.85365854 36.14634146] ; [ 9.14634146 15.85365854],0
d1,1,0.683899,0.16577,[26 32] ; [10 15],[25.15662651 32.84337349] ; [10.84337349 14.15662651],0
u3,1,0.693329,0.155505,[ 7 13] ; [ 4 10],[ 6.47058824 13.52941176] ; [4.52941176 9.47058824],0
s3,1,0.7003,0.14816,[19 36] ; [ 9 14],[19.74358974 35.25641026] ; [ 8.25641026 14.74358974],0
p8,1,0.712278,0.136012,[21 37] ; [ 8 17],[20.26506024 37.73493976] ; [ 8.73493976 16.26506024],0
r1,1,0.718807,0.129639,[16 41] ; [ 8 17],[16.68292683 40.31707317] ; [ 7.31707317 17.68292683],0
p7,1,0.758915,0.094192,[19 37] ; [ 9 15],[19.6 36.4] ; [ 8.4 15.6],0
u2,1,0.803316,0.06203,[ 6 13] ; [5 9],[ 6.33333333 12.66666667] ; [4.66666667 9.33333333],0
s1,1,0.819023,0.052351,[ 3 55] ; [ 1 24],[ 2.79518072 55.20481928] ; [ 1.20481928 23.79518072],0
v1,1,0.86062,0.03083,[18 37] ; [ 8 15],[18.33333333 36.66666667] ; [ 7.66666667 15.33333333],0
a6,1,0.867213,0.027956,[29 29] ; [12 13],[28.65060241 29.34939759] ; [12.34939759 12.65060241],0
b5,1,0.939727,0.005717,[33 25] ; [14 11],[32.84337349 25.15662651] ; [14.15662651 10.84337349],0
b3,1,0.956687,0.00295,[12 26] ; [4 9],[11.92156863 26.07843137] ; [4.07843137 8.92156863],0
b2,1,0.956687,0.00295,[12 26] ; [4 9],[11.92156863 26.07843137] ; [4.07843137 8.92156863],0
v2,1,0.959603,0.002566,[24 32] ; [10 13],[24.10126582 31.89873418] ; [ 9.89873418 13.10126582],0
