Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1.7e-05,18.477967,[97 36] ; [ 9 20],[87.02469136 45.97530864] ; [18.97530864 10.02469136],1
v4,1,0.001487,10.094044,[120  12] ; [20  9],[114.7826087  17.2173913] ; [25.2173913  3.7826087],0
d5,1,0.005928,7.572035,[98 34] ; [14 15],[91.82608696 40.17391304] ; [20.17391304  8.82608696],0
d1,1,0.015293,5.882366,[60 73] ; [ 6 23],[54.18518519 78.81481481] ; [11.81481481 17.18518519],0
s7,1,0.01812,5.584517,[53 74] ; [ 5 23],[47.52258065 79.47741935] ; [10.47741935 17.52258065],0
a8,1,0.027709,4.846064,[ 10 116] ; [ 6 21],[ 13.17647059 112.82352941] ; [ 2.82352941 24.17647059],0
p6,1,0.037243,4.339285,[48 80] ; [ 5 24],[43.21019108 84.78980892] ; [ 9.78980892 19.21019108],0
b1,1,0.080873,3.047261,[50 83] ; [16 13],[54.18518519 78.81481481] ; [11.81481481 17.18518519],0
s2,1,0.093823,2.807523,[64 69] ; [ 9 20],[59.93209877 73.06790123] ; [13.06790123 15.93209877],0
a4,1,0.09604,2.770097,[49 84] ; [ 6 23],[45.15432099 87.84567901] ; [ 9.84567901 19.15432099],0
b4,1,0.099979,2.705876,[86 47] ; [14 15],[82.09876543 50.90123457] ; [17.90123457 11.09876543],0
p2,1,0.105149,2.625657,[107  23] ; [20  9],[103.83647799  26.16352201] ; [23.16352201  5.83647799],0
s3,1,0.120813,2.406754,[66 65] ; [10 19],[62.225 68.775] ; [13.775 15.225],0
u3,1,0.140374,2.17386,[25 27] ; [ 4 11],[22.50746269 29.49253731] ; [6.49253731 8.50746269],0
v3,1,0.175684,1.833762,[43 85] ; [ 6 23],[39.94904459 88.05095541] ; [ 9.05095541 19.94904459],0
a3,1,0.194435,1.683689,[81 51] ; [14 15],[77.88819876 54.11180124] ; [17.11180124 11.88819876],0
v1,1,0.198097,1.656352,[61 67] ; [10 19],[57.88535032 70.11464968] ; [13.11464968 15.88535032],0
s5,1,0.204517,1.609824,[36 89] ; [ 5 24],[33.27922078 91.72077922] ; [ 7.72077922 21.27922078],0
p12,1,0.222785,1.486344,[  6 125] ; [ 3 26],[  7.36875 123.63125] ; [ 1.63125 27.36875],0
p5,1,0.323508,0.974713,[ 14 117] ; [ 5 24],[ 15.55625 115.44375] ; [ 3.44375 25.55625],0
d2,1,0.33094,0.945217,[49 83] ; [ 8 21],[46.73291925 85.26708075] ; [10.26708075 18.73291925],0
n6,1,0.335521,0.92747,[107  26] ; [21  8],[105.08641975  27.91358025] ; [22.91358025  6.08641975],0
a7,1,0.338068,0.917745,[81 51] ; [15 14],[78.70807453 53.29192547] ; [17.29192547 11.70807453],0
p4,1,0.341201,0.905913,[64 67] ; [17 12],[66.31875 64.68125] ; [14.68125 14.31875],0
p10,1,0.342967,0.899308,[113  18] ; [23  6],[111.35  19.65] ; [24.65  4.35],0
u2,1,0.344675,0.892966,[24 28] ; [9 6],[25.6119403 26.3880597] ; [7.3880597 7.6119403],0
p3,1,0.375984,0.783792,[62 70] ; [11 18],[59.85093168 72.14906832] ; [13.14906832 15.85093168],0
p1,1,0.418832,0.65359,[ 16 116] ; [ 2 27],[ 14.75776398 117.24223602] ; [ 3.24223602 25.75776398],0
s6,1,0.435957,0.606902,[72 56] ; [14 15],[70.11464968 57.88535032] ; [15.88535032 13.11464968],0
b5,1,0.440771,0.594275,[88 45] ; [17 12],[86.2037037 46.7962963] ; [18.7962963 10.2037037],0
v2,1,0.445824,0.581247,[54 74] ; [10 19],[52.17834395 75.82165605] ; [11.82165605 17.17834395],0
d4,1,0.473732,0.513258,[96 37] ; [19 10],[94.41358025 38.58641975] ; [20.58641975  8.41358025],0
d3,1,0.513484,0.426961,[72 59] ; [14 15],[70.4125 60.5875] ; [15.5875 13.4125],0
s8,1,0.515803,0.422277,[45 88] ; [ 8 21],[43.51234568 89.48765432] ; [ 9.48765432 19.51234568],0
n2,1,0.521215,0.411489,[31  8] ; [7 3],[30.24489796  8.75510204] ; [7.75510204 2.24489796],0
b2,1,0.532749,0.389145,[27 49] ; [ 5 13],[25.87234043 50.12765957] ; [ 6.12765957 11.87234043],0
b3,1,0.532749,0.389145,[27 49] ; [ 5 13],[25.87234043 50.12765957] ; [ 6.12765957 11.87234043],0
a5,1,0.543315,0.369431,[77 56] ; [15 14],[75.5308642 57.4691358] ; [16.4691358 12.5308642],0
n5,1,0.574717,0.314854,[94 39] ; [22  7],[95.2345679 37.7654321] ; [20.7654321  8.2345679],0
a1,1,0.611756,0.257625,[ 10 123] ; [ 3 26],[ 10.67283951 122.32716049] ; [ 2.32716049 26.67283951],0
p7,1,0.665636,0.186749,[68 61] ; [14 15],[66.94936709 62.05063291] ; [15.05063291 13.94936709],0
s1,1,0.70766,0.140625,[  3 130] ; [ 1 28],[  3.28395062 129.71604938] ; [ 0.71604938 28.28395062],0
n3,1,0.780596,0.077586,[29 10] ; [7 3],[28.65306122 10.34693878] ; [7.34693878 2.65306122],0
p8,1,0.783038,0.075824,[57 72] ; [12 17],[56.33544304 72.66455696] ; [12.66455696 16.33544304],0
u1,1,0.79865,0.065073,[  6 127] ; [ 1 28],[  5.74691358 127.25308642] ; [ 1.25308642 27.74691358],0
a6,1,0.813469,0.055674,[72 61] ; [15 14],[71.42592593 61.57407407] ; [15.57407407 13.42592593],0
s4,1,0.814389,0.055116,[ 25 108] ; [ 6 23],[ 25.45061728 107.54938272] ; [ 5.54938272 23.45061728],0
n4,1,0.884777,0.021001,[89 44] ; [19 10],[88.66666667 44.33333333] ; [19.33333333  9.66666667],0
p11,1,0.894842,0.017472,[104  29] ; [23  6],[104.2654321  28.7345679] ; [22.7345679  6.2654321],0
r3,1,0.931415,0.007407,[118  15] ; [25  3],[118.13043478  14.86956522] ; [24.86956522  3.13043478],0
n1,1,0.953054,0.003466,[16 23] ; [4 6],[15.91836735 23.08163265] ; [4.08163265 5.91836735],0
