Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,24.028071,[100  33] ; [ 9 22],[88.39634146 44.60365854] ; [20.60365854 10.39634146],1
v4,1,1.2e-05,19.163815,[123   9] ; [20 11],[115.80368098  16.19631902] ; [27.19631902  3.80368098],1
p10,1,0.006574,7.385939,[103  28] ; [17 14],[97.03703704 33.96296296] ; [22.96296296  8.03703704],0
s7,1,0.006775,7.331785,[51 75] ; [ 4 25],[44.70967742 81.29032258] ; [10.29032258 18.70967742],0
d5,1,0.013406,6.11467,[98 34] ; [16 15],[92.3190184 39.6809816] ; [21.6809816  9.3190184],0
p6,1,0.015615,5.845729,[47 83] ; [ 4 26],[41.4375 88.5625] ; [ 9.5625 20.4375],0
r3,1,0.01742,5.653575,[122  11] ; [23  7],[118.31288344  14.68711656] ; [26.68711656  3.31288344],0
s3,1,0.024529,5.056843,[63 68] ; [ 8 23],[57.41358025 73.58641975] ; [13.58641975 17.41358025],0
a7,1,0.040256,4.207068,[82 50] ; [13 18],[76.93251534 55.06748466] ; [18.06748466 12.93251534],0
a3,1,0.048818,3.881587,[81 51] ; [13 18],[76.12269939 55.87730061] ; [17.87730061 13.12269939],0
p7,1,0.051053,3.806535,[72 59] ; [11 20],[67.11728395 63.88271605] ; [15.88271605 15.11728395],0
v3,1,0.086335,2.941413,[46 84] ; [ 6 25],[41.98757764 88.01242236] ; [10.01242236 20.98757764],0
a4,1,0.095807,2.773985,[46 86] ; [ 6 25],[42.11042945 89.88957055] ; [ 9.88957055 21.11042945],0
p9,1,0.128735,2.307692,[107  23] ; [21  9],[104.  26.] ; [24.  6.],0
s8,1,0.134867,2.235571,[44 89] ; [ 6 25],[40.54878049 92.45121951] ; [ 9.45121951 21.54878049],0
p2,1,0.140731,2.169948,[102  30] ; [20 11],[98.79754601 33.20245399] ; [23.20245399  7.79754601],0
v1,1,0.143293,2.142236,[56 73] ; [ 9 22],[52.40625 76.59375] ; [12.59375 18.40625],0
s5,1,0.151367,2.058421,[36 89] ; [ 5 26],[32.8525641 92.1474359] ; [ 8.1474359 22.8525641],0
u3,1,0.165727,1.921178,[21 31] ; [ 4 14],[18.57142857 33.42857143] ; [ 6.42857143 11.57142857],0
p5,1,0.194432,1.683715,[ 11 120] ; [ 5 26],[ 12.9382716 118.0617284] ; [ 3.0617284 27.9382716],0
a8,1,0.213511,1.547456,[  9 118] ; [ 4 24],[ 10.6516129 116.3483871] ; [ 2.3483871 25.6516129],0
a5,1,0.258375,1.277442,[75 58] ; [14 17],[72.17682927 60.82317073] ; [16.82317073 14.17682927],0
p12,1,0.260248,1.26744,[  6 126] ; [ 3 28],[  7.28834356 124.71165644] ; [ 1.71165644 29.28834356],0
s6,1,0.266303,1.23569,[72 56] ; [14 17],[69.2327044 58.7672956] ; [16.7672956 14.2327044],0
b5,1,0.270983,1.211766,[87 46] ; [17 14],[84.34146341 48.65853659] ; [19.65853659 11.34146341],0
d1,1,0.279644,1.168818,[57 76] ; [10 21],[54.33536585 78.66463415] ; [12.66463415 18.33536585],0
s2,1,0.32986,0.949446,[60 73] ; [11 20],[57.57926829 75.42073171] ; [13.42073171 17.57926829],0
b1,1,0.348258,0.879796,[48 85] ; [14 17],[50.2804878 82.7195122] ; [11.7195122 19.2804878],0
