Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1.8e-05,18.431198,[58 13] ; [ 5 12],[50.82954545 20.17045455] ; [12.17045455  4.82954545],1
n4,1,7.1e-05,15.777219,[56 15] ; [ 5 12],[49.21590909 21.78409091] ; [11.78409091  5.21590909],1
s4,1,0.003057,8.773267,[13 58] ; [9 8],[17.75 53.25] ; [ 4.25 12.75],0
p11,1,0.008155,6.999171,[56 15] ; [8 9],[51.63636364 19.36363636] ; [12.36363636  4.63636364],0
r4,1,0.018911,5.509764,[65  6] ; [12  5],[62.125  8.875] ; [14.875  2.125],0
v3,1,0.034748,4.457535,[32 35] ; [ 3 13],[28.25301205 38.74698795] ; [6.74698795 9.25301205],0
b1,1,0.059579,3.549069,[28 43] ; [11  6],[31.46590909 39.53409091] ; [7.53409091 9.46590909],0
a4,1,0.09726,2.749906,[17 54] ; [ 1 16],[14.52272727 56.47727273] ; [ 3.47727273 13.52272727],0
a3,1,0.118681,2.434645,[40 31] ; [ 6 11],[37.11363636 33.88636364] ; [8.88636364 8.11363636],0
d3,1,0.127652,2.320834,[40 31] ; [13  4],[42.76136364 28.23863636] ; [10.23863636  6.76136364],0
v2,1,0.148528,2.087302,[38 28] ; [ 6 10],[35.41463415 30.58536585] ; [8.58536585 7.41463415],0
p10,1,0.158149,1.991839,[58 11] ; [11  5],[56.01176471 12.98823529] ; [12.98823529  3.01176471],0
p9,1,0.201128,1.634168,[58 12] ; [11  5],[56.1627907 13.8372093] ; [12.8372093  3.1627907],0
r3,1,0.227756,1.454823,[68  3] ; [15  2],[66.96590909  4.03409091] ; [16.03409091  0.96590909],0
d5,1,0.231273,1.433014,[48 23] ; [14  3],[50.02272727 20.97727273] ; [11.97727273  5.02272727],0
a8,1,0.273126,1.20098,[11 53] ; [ 1 15],[ 9.6 54.4] ; [ 2.4 13.6],0
b4,1,0.307849,1.039883,[39 32] ; [ 7 10],[37.11363636 33.88636364] ; [8.88636364 8.11363636],0
p7,1,0.342626,0.900582,[44 26] ; [8 8],[42.3255814 27.6744186] ; [9.6744186 6.3255814],0
r1,1,0.355894,0.852329,[53 17] ; [11  6],[51.49425287 18.50574713] ; [12.50574713  4.49425287],0
a6,1,0.360399,0.836502,[33 38] ; [10  7],[34.69318182 36.30681818] ; [8.30681818 8.69318182],0
s2,1,0.394485,0.725074,[46 24] ; [13  4],[47.47126437 22.52873563] ; [11.52873563  5.47126437],0
p3,1,0.404362,0.695316,[33 38] ; [ 6 11],[31.46590909 39.53409091] ; [7.53409091 9.46590909],0
p6,1,0.435999,0.606789,[25 43] ; [8 9],[26.4 41.6] ; [ 6.6 10.4],0
u2,1,0.45881,0.548795,[21 10] ; [8 2],[21.92682927  9.07317073] ; [7.07317073 2.92682927],0
d1,1,0.494387,0.466965,[27 44] ; [8 9],[28.23863636 42.76136364] ; [ 6.76136364 10.23863636],0
b2,1,0.535856,0.383275,[12 32] ; [2 9],[11.2 32.8] ; [2.8 8.2],0
b3,1,0.535856,0.383275,[12 32] ; [2 9],[11.2 32.8] ; [2.8 8.2],0
s3,1,0.571055,0.320921,[54 16] ; [12  5],[53.10344828 16.89655172] ; [12.89655172  4.10344828],0
n2,1,0.573138,0.31746,[11  4] ; [3 2],[10.5  4.5] ; [3.5 1.5],0
s6,1,0.578362,0.308891,[58 13] ; [14  2],[58.75862069 12.24137931] ; [13.24137931  2.75862069],0
r2,1,0.625486,0.238233,[64  6] ; [14  2],[63.48837209  6.51162791] ; [14.51162791  1.48837209],0
p4,1,0.641079,0.217333,[42 29] ; [9 8],[41.14772727 29.85227273] ; [9.85227273 7.14772727],0
s5,1,0.663479,0.189325,[18 47] ; [ 5 10],[18.6875 46.3125] ; [ 4.3125 10.6875],0
b5,1,0.674456,0.176434,[42 29] ; [11  6],[42.76136364 28.23863636] ; [10.23863636  6.76136364],0
p1,1,0.697178,0.151424,[11 60] ; [ 2 15],[10.48863636 60.51136364] ; [ 2.51136364 14.48863636],0
d4,1,0.699633,0.148854,[51 20] ; [13  4],[51.63636364 19.36363636] ; [12.36363636  4.63636364],0
u1,1,0.768292,0.086795,[ 3 68] ; [ 1 16],[ 3.22727273 67.77272727] ; [ 0.77272727 16.22727273],0
d2,1,0.785351,0.074176,[19 52] ; [ 4 13],[18.55681818 52.44318182] ; [ 4.44318182 12.55681818],0
n3,1,0.786648,0.07326,[10  5] ; [3 2],[9.75 5.25] ; [3.25 1.75],0
n1,1,0.79525,0.06734,[7 8] ; [2 3],[6.75 8.25] ; [2.25 2.75],0
p8,1,0.800079,0.064133,[40 31] ; [9 8],[39.53409091 31.46590909] ; [9.46590909 7.53409091],0
v1,1,0.828251,0.047065,[34 34] ; [9 8],[34.4 33.6] ; [8.6 8.4],0
a7,1,0.848375,0.036555,[47 23] ; [11  6],[46.66666667 23.33333333] ; [11.33333333  5.66666667],0
s7,1,0.869367,0.027048,[47 19] ; [11  4],[47.25925926 18.74074074] ; [10.74074074  4.25925926],0
p2,1,0.949254,0.00405,[58 13] ; [14  3],[58.09090909 12.90909091] ; [13.90909091  3.09090909],0
