Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,0.002883,8.880131,[2 2] ; [ 1 27],[0.375 3.625] ; [ 2.625 25.375],0
s4,1,0.038118,4.299754,[2 2] ; [ 3 26],[0.60606061 3.39393939] ; [ 4.39393939 24.60606061],0
s7,1,0.054652,3.692673,[2 1] ; [ 5 23],[0.67741935 2.32258065] ; [ 6.32258065 21.67741935],0
r4,1,0.078403,3.097701,[2 2] ; [ 4 25],[0.72727273 3.27272727] ; [ 5.27272727 23.72727273],0
s2,1,0.133002,2.257105,[2 2] ; [ 5 24],[0.84848485 3.15151515] ; [ 6.15151515 22.84848485],0
a5,1,0.159657,1.977476,[3 1] ; [11 18],[1.6969697 2.3030303] ; [12.3030303 16.6969697],0
b5,1,0.159657,1.977476,[3 1] ; [11 18],[1.6969697 2.3030303] ; [12.3030303 16.6969697],0
p2,1,0.257673,1.281218,[3 1] ; [13 16],[1.93939394 2.06060606] ; [14.06060606 14.93939394],0
n6,1,0.257673,1.281218,[3 1] ; [13 16],[1.93939394 2.06060606] ; [14.06060606 14.93939394],0
b4,1,0.380804,0.768103,[3 1] ; [15 14],[2.18181818 1.81818182] ; [15.81818182 13.18181818],0
s1,1,0.399858,0.708754,[1 3] ; [ 3 26],[0.48484848 3.51515152] ; [ 3.51515152 25.48484848],0
a7,1,0.45067,0.568966,[2 2] ; [ 9 20],[1.33333333 2.66666667] ; [ 9.66666667 19.33333333],0
d2,1,0.45067,0.568966,[2 2] ; [ 9 20],[1.33333333 2.66666667] ; [ 9.66666667 19.33333333],0
p7,1,0.45067,0.568966,[2 2] ; [ 9 20],[1.33333333 2.66666667] ; [ 9.66666667 19.33333333],0
r1,1,0.45067,0.568966,[2 2] ; [ 9 20],[1.33333333 2.66666667] ; [ 9.66666667 19.33333333],0
a6,1,0.45195,0.565757,[1 3] ; [13 16],[1.6969697 2.3030303] ; [12.3030303 16.6969697],0
p3,1,0.557867,0.343411,[1 3] ; [ 4 25],[0.60606061 3.39393939] ; [ 4.39393939 24.60606061],0
u2,1,0.595883,0.28125,[1 1] ; [ 5 11],[0.66666667 1.33333333] ; [ 5.33333333 10.66666667],0
s3,1,0.665984,0.186335,[1 2] ; [ 6 21],[0.7 2.3] ; [ 6.3 20.7],0
p10,1,0.673005,0.178108,[1 3] ; [10 18],[1.375 2.625] ; [ 9.625 18.375],0
p1,1,0.706063,0.142241,[1 3] ; [ 5 24],[0.72727273 3.27272727] ; [ 5.27272727 23.72727273],0
p6,1,0.732074,0.117216,[1 3] ; [ 5 23],[0.75 3.25] ; [ 5.25 22.75],0
p9,1,0.803785,0.061728,[1 2] ; [11 16],[1.2 1.8] ; [10.8 16.2],0
n1,1,0.84562,0.037912,[1 1] ; [12  9],[1.13043478 0.86956522] ; [11.86956522  9.13043478],0
p8,1,0.862895,0.029822,[1 2] ; [ 8 20],[0.87096774 2.12903226] ; [ 8.12903226 19.87096774],0
a4,1,0.871602,0.026122,[1 3] ; [ 6 22],[0.875 3.125] ; [ 6.125 21.875],0
r2,1,0.913303,0.011853,[3 1] ; [21  8],[2.90909091 1.09090909] ; [21.09090909  7.90909091],0
v1,1,0.913303,0.011853,[1 3] ; [ 8 21],[1.09090909 2.90909091] ; [ 7.90909091 21.09090909],0
a3,1,0.944857,0.004784,[2 2] ; [13 14],[1.93548387 2.06451613] ; [13.06451613 13.93548387],0
b1,1,0.948428,0.004184,[2 2] ; [15 14],[2.06060606 1.93939394] ; [14.93939394 14.06060606],0
v3,1,1.0,0.0,[1 3] ; [ 7 21],[1. 3.] ; [ 7. 21.],0
