Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,3e-06,21.682066,[ 3 63] ; [11 14],[10.15384615 55.84615385] ; [ 3.84615385 21.15384615],1
p3,1,0.000441,12.349589,[ 9 58] ; [12 13],[15.29347826 51.70652174] ; [ 5.70652174 19.29347826],1
b5,1,0.001422,10.176946,[32 36] ; [21  4],[38.75268817 29.24731183] ; [14.24731183 10.75268817],0
a8,1,0.001749,9.796267,[ 3 61] ; [ 7 18],[ 7.19101124 56.80898876] ; [ 2.80898876 22.19101124],0
s3,1,0.003342,8.610767,[20 46] ; [16  9],[26.10989011 39.89010989] ; [ 9.89010989 15.10989011],0
s2,1,0.008597,6.904731,[16 52] ; [13 12],[21.20430108 46.79569892] ; [ 7.79569892 17.20430108],0
r3,1,0.012553,6.231016,[38 30] ; [21  4],[43.13978495 24.86021505] ; [15.86021505  9.13978495],0
s6,1,0.016337,5.766234,[23 44] ; [15  9],[27.97802198 39.02197802] ; [10.02197802 13.97802198],0
p9,1,0.02741,4.8648,[19 43] ; [14 11],[23.51724138 38.48275862] ; [ 9.48275862 15.51724138],0
n3,1,0.029417,4.743031,[17 18] ; [8 1],[19.88636364 15.11363636] ; [5.11363636 3.88636364],0
n2,1,0.03386,4.501749,[19 19] ; [8 1],[21.82978723 16.17021277] ; [5.17021277 3.82978723],0
r4,1,0.058158,3.589137,[34 34] ; [18  7],[38.02150538 29.97849462] ; [13.97849462 11.02150538],0
p8,1,0.076682,3.133869,[ 9 59] ; [ 7 17],[11.82608696 56.17391304] ; [ 4.17391304 19.82608696],0
a4,1,0.123442,2.373102,[33 33] ; [ 8 17],[29.73626374 36.26373626] ; [11.26373626 13.73626374],0
b1,1,0.154618,2.026093,[35 33] ; [17  8],[38.02150538 29.97849462] ; [13.97849462 11.02150538],0
s5,1,0.167383,1.906223,[11 54] ; [ 7 16],[13.29545455 51.70454545] ; [ 4.70454545 18.29545455],0
a2,1,0.17612,1.830062,[17 51] ; [ 3 22],[14.62365591 53.37634409] ; [ 5.37634409 19.62365591],0
v1,1,0.229123,1.446295,[16 52] ; [ 9 16],[18.27956989 49.72043011] ; [ 6.72043011 18.27956989],0
a6,1,0.291337,1.113431,[34 34] ; [15  9],[36.2173913 31.7826087] ; [12.7826087 11.2173913],0
d2,1,0.310409,1.028936,[36 31] ; [10 14],[33.86813187 33.13186813] ; [12.13186813 11.86813187],0
b3,1,0.33038,0.947407,[19 25] ; [ 4 10],[17.44827586 26.55172414] ; [5.55172414 8.44827586],0
b2,1,0.33038,0.947407,[19 25] ; [ 4 10],[17.44827586 26.55172414] ; [5.55172414 8.44827586],0
v3,1,0.339698,0.911571,[21 44] ; [ 5 18],[19.20454545 45.79545455] ; [ 6.79545455 16.20454545],0
p10,1,0.350861,0.870339,[19 45] ; [10 15],[20.85393258 43.14606742] ; [ 8.14606742 16.85393258],0
v4,1,0.364587,0.822033,[45 23] ; [19  6],[46.79569892 21.20430108] ; [17.20430108  7.79569892],0
s7,1,0.372801,0.794305,[15 45] ; [ 8 15],[16.62650602 43.37349398] ; [ 6.37349398 16.62650602],0
p4,1,0.37382,0.790925,[13 54] ; [ 7 18],[14.56521739 52.43478261] ; [ 5.43478261 19.56521739],0
n6,1,0.391815,0.733302,[34 34] ; [15 10],[35.82795699 32.17204301] ; [13.17204301 11.82795699],0
b4,1,0.391815,0.733302,[34 34] ; [10 15],[32.17204301 35.82795699] ; [11.82795699 13.17204301],0
d1,1,0.391815,0.733302,[34 34] ; [10 15],[32.17204301 35.82795699] ; [11.82795699 13.17204301],0
a1,1,0.392418,0.731438,[10 58] ; [ 2 23],[ 8.77419355 59.22580645] ; [ 3.22580645 21.77419355],0
d3,1,0.396275,0.719599,[38 30] ; [11 13],[36.2173913 31.7826087] ; [12.7826087 11.2173913],0
v2,1,0.420517,0.64887,[23 43] ; [11 14],[24.65934066 41.34065934] ; [ 9.34065934 15.65934066],0
a5,1,0.430233,0.622195,[43 25] ; [18  7],[44.60215054 23.39784946] ; [16.39784946  8.60215054],0
r1,1,0.472367,0.516433,[41 27] ; [13 12],[39.48387097 28.51612903] ; [14.51612903 10.48387097],0
u2,1,0.519149,0.415584,[ 9 15] ; [2 6],[ 8.25 15.75] ; [2.75 5.25],0
u3,1,0.533003,0.388664,[ 9 15] ; [4 4],[ 9.75 14.25] ; [3.25 4.75],0
s1,1,0.589092,0.291765,[ 8 60] ; [ 4 21],[ 8.77419355 59.22580645] ; [ 3.22580645 21.77419355],0
u1,1,0.603352,0.26997,[ 8 60] ; [ 2 23],[ 7.31182796 60.68817204] ; [ 2.68817204 22.31182796],0
n4,1,0.738725,0.111251,[38 30] ; [13 12],[37.29032258 30.70967742] ; [13.70967742 11.29032258],0
a7,1,0.744963,0.105813,[41 27] ; [16  9],[41.67741935 26.32258065] ; [15.32258065  9.67741935],0
r2,1,0.752583,0.099373,[55 12] ; [19  5],[54.48351648 12.51648352] ; [19.51648352  4.48351648],0
p5,1,0.771351,0.084453,[ 2 66] ; [ 1 23],[ 2.2173913 65.7826087] ; [ 0.7826087 23.2173913],0
p1,1,0.813869,0.055431,[ 7 61] ; [ 3 22],[ 7.31182796 60.68817204] ; [ 2.68817204 22.31182796],0
s8,1,0.855462,0.03318,[13 55] ; [ 5 19],[13.30434783 54.69565217] ; [ 4.69565217 19.30434783],0
n5,1,0.891466,0.018618,[37 31] ; [14 11],[37.29032258 30.70967742] ; [13.70967742 11.29032258],0
a3,1,0.90387,0.014587,[44 22] ; [17  8],[44.24175824 21.75824176] ; [16.75824176  8.24175824],0
d4,1,0.908737,0.01314,[49 19] ; [17  7],[48.7826087 19.2173913] ; [17.2173913  6.7826087],0
d5,1,0.908737,0.01314,[49 19] ; [17  7],[48.7826087 19.2173913] ; [17.2173913  6.7826087],0
s4,1,0.923929,0.009118,[13 55] ; [ 5 20],[13.16129032 54.83870968] ; [ 4.83870968 20.16129032],0
n1,1,0.948019,0.00425,[16 21] ; [4 5],[16.08695652 20.91304348] ; [3.91304348 5.08695652],0
