Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,35.185185,[145   5] ; [26 14],[135.  15.] ; [36.  4.],1
v2,1,0.000103,15.088332,[101  46] ; [14 26],[90.40106952 56.59893048] ; [24.59893048 15.40106952],1
r2,1,0.00017,14.135653,[144   5] ; [31  8],[138.69680851  10.30319149] ; [36.30319149  2.69680851],1
a5,1,0.0011,10.652008,[123  27] ; [23 17],[115.26315789  34.73684211] ; [30.73684211  9.26315789],0
u1,1,0.004252,8.172794,[ 33 117] ; [ 1 39],[ 26.84210526 123.15789474] ; [ 7.15789474 32.84210526],0
a2,1,0.006735,7.342299,[ 42 108] ; [ 3 37],[ 35.52631579 114.47368421] ; [ 9.47368421 30.52631579],0
p10,1,0.010284,6.584965,[129  20] ; [27 12],[123.63829787  25.36170213] ; [32.36170213  6.63829787],0
a6,1,0.01981,5.428571,[111  39] ; [22 18],[105.  45.] ; [28. 12.],0
r3,1,0.021446,5.290164,[143   7] ; [34  6],[139.73684211  10.26315789] ; [37.26315789  2.73684211],0
v1,1,0.030282,4.693226,[98 50] ; [19 21],[92.10638298 55.89361702] ; [24.89361702 15.10638298],0
s1,1,0.031188,4.642585,[  2 147] ; [ 3 37],[  3.94179894 145.05820106] ; [ 1.05820106 38.94179894],0
v4,1,0.040172,4.210623,[146   4] ; [36  4],[143.68421053   6.31578947] ; [38.31578947  1.68421053],0
v3,1,0.043984,4.057177,[66 80] ; [11 29],[60.44086022 85.55913978] ; [16.55913978 23.44086022],0
n4,1,0.045642,3.99475,[123  27] ; [27 13],[118.42105263  31.57894737] ; [31.57894737  8.42105263],0
p1,1,0.051071,3.805932,[ 11 139] ; [ 7 33],[ 14.21052632 135.78947368] ; [ 3.78947368 36.21052632],0
p7,1,0.062184,3.478154,[117  32] ; [25 14],[112.54255319  36.45744681] ; [29.45744681  9.54255319],0
s2,1,0.075225,3.165158,[ 20 129] ; [10 30],[ 23.65079365 125.34920635] ; [ 6.34920635 33.65079365],0
d3,1,0.113017,2.511522,[106  44] ; [23 17],[101.84210526  48.15789474] ; [27.15789474 12.84210526],0
s4,1,0.119985,2.417517,[ 13 133] ; [ 7 33],[ 15.69892473 130.30107527] ; [ 4.30107527 35.69892473],0
d1,1,0.122007,2.39136,[88 62] ; [18 22],[83.68421053 66.31578947] ; [22.31578947 17.68421053],0
