Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,91.988713,[94 34] ; [ 27 131],[54.15384615 73.84615385] ; [66.84615385 91.15384615],1
d5,1,0.0,79.654172,[127   3] ; [79 79],[92.98611111 37.01388889] ; [113.01388889  44.98611111],1
d3,1,0.0,67.540955,[109  21] ; [ 56 101],[74.73867596 55.26132404] ; [90.26132404 66.73867596],1
d4,1,0.0,63.061458,[127   1] ; [95 64],[99.01045296 28.98954704] ; [122.98954704  36.01045296],1
a4,1,0.0,35.847175,[77 53] ; [ 39 120],[52.1799308 77.8200692] ; [63.8200692 95.1799308],1
a2,1,0.0,33.084978,[41 90] ; [  9 150],[ 22.5862069 108.4137931] ; [ 27.4137931 131.5862069],1
a5,1,1e-06,23.152634,[99 32] ; [76 83],[79.05172414 51.94827586] ; [95.94827586 63.05172414],1
a3,1,3.5e-05,17.139837,[103  28] ; [87 70],[86.42361111 44.57638889] ; [103.57638889  53.42361111],1
u1,1,3.8e-05,16.989658,[ 26 105] ; [  7 152],[ 14.90689655 116.09310345] ; [ 18.09310345 140.90689655],1
a6,1,6e-05,16.109157,[97 33] ; [82 77],[80.51903114 49.48096886] ; [98.48096886 60.51903114],1
s7,1,0.00333,8.617185,[52 73] ; [ 38 114],[40.61371841 84.38628159] ; [ 49.38628159 102.61371841],0
s8,1,0.010125,6.612739,[46 85] ; [ 34 124],[36.26297578 94.73702422] ; [ 43.73702422 114.26297578],0
p10,1,0.012322,6.263936,[90 40] ; [86 71],[79.72125436 50.27874564] ; [96.27874564 60.72125436],0
n2,1,0.014751,5.945946,[31 24] ; [43 12],[37. 18.] ; [37. 18.],0
v2,1,0.017072,5.688951,[67 56] ; [60 90],[57.21978022 65.78021978] ; [69.78021978 80.21978022],0
r1,1,0.020387,5.378431,[100  31] ; [100  57],[90.97222222 40.02777778] ; [109.02777778  47.97222222],0
a7,1,0.022017,5.244414,[90 40] ; [88 69],[80.6271777 49.3728223] ; [97.3728223 59.6271777],0
r2,1,0.023681,5.117852,[119   8] ; [133  23],[113.08833922  13.91166078] ; [138.91166078  17.08833922],0
p9,1,0.056666,3.63237,[93 35] ; [96 59],[85.48409894 42.51590106] ; [103.51590106  51.48409894],0
r3,1,0.065397,3.394921,[116  14] ; [127  29],[110.45454545  19.54545455] ; [132.54545455  23.45454545],0
n6,1,0.133986,2.2457,[98 32] ; [105  51],[92.27272727 37.72727273] ; [110.72727273  45.27272727],0
s3,1,0.153982,2.032352,[69 62] ; [69 87],[62.98954704 68.01045296] ; [75.01045296 80.98954704],0
s5,1,0.162448,1.951288,[32 92] ; [ 29 125],[27.20863309 96.79136691] ; [ 33.79136691 120.20863309],0
s4,1,0.169072,1.891151,[ 18 111] ; [ 32 127],[ 22.39583333 106.60416667] ; [ 27.60416667 131.39583333],0
s2,1,0.174819,1.841126,[54 76] ; [ 53 104],[48.46689895 81.53310105] ; [58.53310105 98.46689895],0
s6,1,0.181923,1.781846,[69 60] ; [72 86],[63.37630662 65.62369338] ; [77.62369338 80.37630662],0
r4,1,0.201275,1.633098,[101  30] ; [112  47],[96.21724138 34.78275862] ; [116.78275862  42.21724138],0
n4,1,0.23061,1.437095,[91 39] ; [100  58],[86.21527778 43.78472222] ; [104.78472222  53.21527778],0
v3,1,0.284555,1.145204,[42 82] ; [ 43 111],[37.91366906 86.08633094] ; [ 47.08633094 106.91366906],0
b5,1,0.327742,0.957798,[84 47] ; [93 66],[79.95517241 51.04482759] ; [97.04482759 61.95517241],0
v1,1,0.329012,0.952784,[48 80] ; [67 88],[52.01413428 75.98586572] ; [62.98586572 92.01413428],0
a1,1,0.34345,0.897511,[  7 124] ; [ 13 146],[  9.03448276 121.96551724] ; [ 10.96551724 148.03448276],0
p1,1,0.362667,0.828637,[  8 123] ; [  6 152],[  6.34602076 124.65397924] ; [  7.65397924 150.34602076],0
u2,1,0.443914,0.586144,[17 11] ; [36 33],[15.29896907 12.70103093] ; [37.70103093 31.29896907],0
n3,1,0.453492,0.561908,[34 20] ; [37 16],[35.8317757 18.1682243] ; [35.1682243 17.8317757],0
p3,1,0.453549,0.561768,[ 20 109] ; [ 30 129],[ 22.39583333 106.60416667] ; [ 27.60416667 131.39583333],0
p2,1,0.468533,0.525434,[73 57] ; [96 63],[76.02076125 53.97923875] ; [92.97923875 66.02076125],0
v4,1,0.469072,0.524161,[113  17] ; [130  25],[110.84210526  19.15789474] ; [132.15789474  22.84210526],0
p5,1,0.490274,0.475924,[  3 126] ; [  2 157],[  2.23958333 126.76041667] ; [  2.76041667 156.23958333],0
n1,1,0.502238,0.450204,[21 33] ; [18 37],[19.32110092 34.67889908] ; [19.67889908 35.32110092],0
u3,1,0.520912,0.412088,[16 12] ; [36 36],[14.56 13.44] ; [37.44 34.56],0
s1,1,0.536891,0.381333,[  4 126] ; [  7 149],[  5. 125.] ; [  6. 150.],0
a8,1,0.544467,0.367323,[ 12 108] ; [ 19 135],[ 13.57664234 106.42335766] ; [ 17.42335766 136.57664234],0
n5,1,0.56067,0.338545,[84 45] ; [97 60],[81.63986014 47.36013986] ; [99.36013986 57.63986014],0
b2,1,0.672164,0.179081,[31 48] ; [31 55],[29.68484848 49.31515152] ; [32.31515152 53.68484848],0
b3,1,0.672164,0.179081,[31 48] ; [31 55],[29.68484848 49.31515152] ; [32.31515152 53.68484848],0
b4,1,0.699431,0.149065,[82 49] ; [96 63],[80.40689655 50.59310345] ; [97.59310345 61.40689655],0
p7,1,0.763883,0.090231,[41 86] ; [ 53 103],[42.18374558 84.81625442] ; [ 51.81625442 104.18374558],0
b1,1,0.85625,0.032815,[53 78] ; [66 93],[53.75517241 77.24482759] ; [65.24482759 93.75517241],0
p11,1,0.939841,0.005696,[81 50] ; [99 60],[81.31034483 49.68965517] ; [98.68965517 60.31034483],0
p12,1,0.940011,0.005663,[  6 124] ; [  7 151],[  5.86805556 124.13194444] ; [  7.13194444 150.86805556],0
p6,1,0.940721,0.00553,[ 17 113] ; [ 21 136],[ 17.21254355 112.78745645] ; [ 20.78745645 136.21254355],0
