Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.004222,8.18591,[ 8 25] ; [23 17],[14.01369863 18.98630137] ; [16.98630137 23.01369863],0
a3,1,0.004642,8.013738,[14 19] ; [30 10],[19.89041096 13.10958904] ; [24.10958904 15.89041096],0
u2,1,0.005726,7.634514,[14  5] ; [2 8],[10.48275862  8.51724138] ; [5.51724138 4.48275862],0
a4,1,0.006216,7.486494,[ 7 26] ; [21 19],[12.65753425 20.34246575] ; [15.34246575 24.65753425],0
d1,1,0.013111,6.154123,[11 22] ; [25 15],[16.2739726 16.7260274] ; [19.7260274 20.2739726],0
a6,1,0.020141,5.399629,[10 23] ; [23 17],[14.91780822 18.08219178] ; [18.08219178 21.91780822],0
s5,1,0.035114,4.439616,[ 4 26] ; [13 23],[ 7.72727273 22.27272727] ; [ 9.27272727 26.72727273],0
s2,1,0.038483,4.283556,[ 9 24] ; [20 19],[13.29166667 19.70833333] ; [15.70833333 23.29166667],0
s7,1,0.049648,3.853294,[ 6 25] ; [15 21],[ 9.71641791 21.28358209] ; [11.28358209 24.71641791],0
s6,1,0.05493,3.684211,[12 20] ; [23 15],[16. 16.] ; [19. 19.],0
d5,1,0.067534,3.341952,[21 12] ; [33  7],[24.4109589  8.5890411] ; [29.5890411 10.4109589],0
b5,1,0.076912,3.128966,[24  9] ; [21 19],[20.34246575 12.65753425] ; [24.65753425 15.34246575],0
v2,1,0.088988,2.892587,[12 20] ; [22 16],[15.54285714 16.45714286] ; [18.45714286 19.54285714],0
v3,1,0.111269,2.536102,[ 6 26] ; [13 23],[ 8.94117647 23.05882353] ; [10.05882353 25.94117647],0
p3,1,0.12,2.417322,[ 5 28] ; [12 27],[ 7.79166667 25.20833333] ; [ 9.20833333 29.79166667],0
p11,1,0.155382,2.018603,[17 16] ; [14 26],[14.01369863 18.98630137] ; [16.98630137 23.01369863],0
b2,1,0.278958,1.172161,[ 4 12] ; [10 14],[ 5.6 10.4] ; [ 8.4 15.6],0
b3,1,0.278958,1.172161,[ 4 12] ; [10 14],[ 5.6 10.4] ; [ 8.4 15.6],0
