Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a8,1,0.471229,0.519092,[ 3 19] ; [ 7 75],[ 2.11538462 19.88461538] ; [ 7.88461538 74.11538462],0
p4,1,0.495065,0.4655,[12 12] ; [38 52],[10.52631579 13.47368421] ; [39.47368421 50.52631579],0
p1,1,0.4967,0.46198,[ 3 22] ; [ 7 84],[ 2.15517241 22.84482759] ; [ 7.84482759 83.15517241],0
v3,1,0.535825,0.383333,[10 15] ; [30 60],[ 8.69565217 16.30434783] ; [31.30434783 58.69565217],0
p7,1,0.562468,0.335449,[10 14] ; [43 46],[11.25663717 12.74336283] ; [41.74336283 47.25663717],0
v4,1,0.56604,0.329353,[23  2] ; [80 11],[22.19827586  2.80172414] ; [80.80172414 10.19827586],0
p3,1,0.567116,0.327532,[ 9 16] ; [27 63],[ 7.82608696 17.17391304] ; [28.17391304 61.82608696],0
a1,1,0.629584,0.232625,[ 1 24] ; [ 6 85],[ 1.50862069 23.49137931] ; [ 5.49137931 85.50862069],0
p6,1,0.629755,0.232394,[ 4 20] ; [19 71],[ 4.84210526 19.15789474] ; [18.15789474 71.84210526],0
p8,1,0.636958,0.222743,[ 7 18] ; [30 61],[ 7.97413793 17.02586207] ; [29.02586207 61.97413793],0
p11,1,0.651976,0.203418,[15 10] ; [50 41],[14.00862069 10.99137931] ; [50.99137931 40.00862069],0
n5,1,0.696628,0.152004,[16  9] ; [62 29],[16.81034483  8.18965517] ; [61.18965517 29.81034483],0
r1,1,0.728204,0.120768,[19  6] ; [66 25],[18.31896552  6.68103448] ; [66.68103448 24.31896552],0
p2,1,0.763884,0.090231,[14 11] ; [54 37],[14.65517241 10.34482759] ; [53.34482759 37.65517241],0
d3,1,0.763884,0.090231,[14 11] ; [54 37],[14.65517241 10.34482759] ; [53.34482759 37.65517241],0
s4,1,0.785965,0.073742,[ 4 20] ; [13 77],[ 3.57894737 20.42105263] ; [13.42105263 76.57894737],0
u2,1,0.858261,0.031894,[2 3] ; [19 24],[2.1875 2.8125] ; [18.8125 24.1875],0
b1,1,0.869805,0.026865,[13 12] ; [49 42],[13.36206897 11.63793103] ; [48.63793103 42.36206897],0
v1,1,0.93833,0.005986,[ 9 16] ; [32 59],[ 8.8362069 16.1637931] ; [32.1637931 58.8362069],0
