Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,295.59306,[634  36] ; [63 98],[561.96149218 108.03850782] ; [135.03850782  25.96149218],1
p11,1,0.0,81.148342,[572  99] ; [88 77],[529.73684211 141.26315789] ; [130.26315789  34.73684211],1
n5,1,0.0,44.663379,[525 142] ; [87 77],[491.22021661 175.77978339] ; [120.77978339  43.22021661],1
n6,1,0.0,39.952214,[589  78] ; [112  52],[562.65583634 104.34416366] ; [138.34416366  25.65583634],1
p2,1,0.0,37.817044,[580  88] ; [110  55],[553.32533013 114.67466987] ; [136.67466987  28.32533013],1
p8,1,1e-06,23.946544,[369 293] ; [ 56 107],[341.03030303 320.96969697] ; [83.96969697 79.03030303],1
p7,1,1e-06,23.441275,[443 212] ; [77 86],[416.38141809 238.61858191] ; [103.61858191  59.38141809],1
p4,1,2e-06,22.524411,[421 247] ; [70 94],[394.21634615 273.78365385] ; [96.78365385 67.21634615],1
n4,1,6e-06,20.507845,[534 137] ; [103  61],[511.88862275 159.11137725] ; [125.11137725  38.88862275],1
p3,1,1.1e-05,19.34789,[359 310] ; [ 57 108],[333.69784173 335.30215827] ; [82.30215827 82.69784173],1
s8,1,2.1e-05,18.089535,[320 348] ; [ 48 115],[295.81708785 372.18291215] ; [72.18291215 90.81708785],1
s6,1,8.3e-05,15.490419,[464 192] ; [89 74],[442.94017094 213.05982906] ; [110.05982906  52.94017094],1
s7,1,0.000103,15.080303,[341 303] ; [ 56 101],[319.18601748 324.81398252] ; [77.81398252 79.18601748],1
s2,1,0.000104,15.056712,[368 298] ; [ 62 100],[345.86956522 320.13043478] ; [84.13043478 77.86956522],1
a5,1,0.000191,13.91722,[511 160] ; [102  63],[492.01315789 178.98684211] ; [120.98684211  44.01315789],1
s5,1,0.0002,13.828088,[239 404] ; [ 34 124],[219.14981273 423.85018727] ; [ 53.85018727 104.14981273],1
v1,1,0.000208,13.761918,[373 278] ; [67 96],[351.89189189 299.10810811] ; [88.10810811 74.89189189],1
v4,1,0.000295,13.103056,[654  15] ; [151  13],[646.51260504  22.48739496] ; [158.48739496   5.51260504],1
p12,1,0.000599,11.778065,[ 61 607] ; [  2 162],[ 50.58173077 617.41826923] ; [ 12.41826923 151.58173077],1
a3,1,0.001469,10.116699,[492 177] ; [100  64],[475.44777911 193.55222089] ; [116.55222089  47.44777911],0
d5,1,0.001545,10.023888,[560 108] ; [120  44],[545.96153846 122.03846154] ; [134.03846154  29.96153846],0
v2,1,0.001664,9.887893,[384 256] ; [74 86],[366.4 273.6] ; [91.6 68.4],0
p5,1,0.003079,8.760105,[ 81 585] ; [  7 158],[ 70.52707581 595.47292419] ; [ 17.47292419 147.52707581],0
d1,1,0.005439,7.727311,[417 254] ; [83 82],[401.31578947 269.68421053] ; [98.68421053 66.31578947],0
a7,1,0.007286,7.201147,[503 166] ; [107  58],[489.31654676 179.68345324] ; [120.68345324  44.31654676],0
a6,1,0.008364,6.953936,[475 194] ; [99 65],[460.99159664 208.00840336] ; [113.00840336  50.99159664],0
