Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,1e-06,24.508343,[42 33] ; [222  45],[57.89473684 17.10526316] ; [206.10526316  60.89473684],1
b1,1,0.000756,11.346383,[40 36] ; [ 85 184],[27.53623188 48.46376812] ; [ 97.46376812 171.53623188],1
p9,1,0.001588,9.973643,[52 23] ; [226  39],[61.32352941 13.67647059] ; [216.67647059  48.32352941],0
p8,1,0.004639,8.015224,[27 47] ; [146 119],[37.7640118 36.2359882] ; [135.2359882 129.7640118],0
n6,1,0.013553,6.095489,[55 21] ; [227  41],[62.30232558 13.69767442] ; [219.69767442  48.30232558],0
n4,1,0.040747,4.186487,[47 29] ; [198  70],[54.12790698 21.87209302] ; [190.87209302  77.12790698],0
a5,1,0.076292,3.142167,[44 32] ; [185  84],[50.44637681 25.55362319] ; [178.55362319  90.44637681],0
n5,1,0.079587,3.073323,[44 32] ; [182  83],[50.36950147 25.63049853] ; [175.63049853  89.36950147],0
p7,1,0.085198,2.962837,[42 33] ; [175  87],[48.29376855 26.70623145] ; [168.70623145  93.29376855],0
b5,1,0.089763,2.87862,[49 27] ; [144 125],[42.51594203 33.48405797] ; [150.48405797 118.51594203],0
r3,1,0.0925,2.830321,[67  8] ; [252  14],[70.16129032  4.83870968] ; [248.83870968  17.16129032],0
d4,1,0.123315,2.374703,[53 22] ; [212  56],[57.94460641 17.05539359] ; [207.05539359  60.94460641],0
p5,1,0.138183,2.198074,[ 3 72] ; [ 25 244],[ 6.10465116 68.89534884] ; [ 21.89534884 247.10465116],0
v2,1,0.176846,1.82393,[23 48] ; [108 154],[27.93093093 43.06906907] ; [103.06906907 158.93093093],0
p3,1,0.178007,1.814185,[28 48] ; [122 146],[33.13953488 42.86046512] ; [116.86046512 151.13953488],0
r4,1,0.198439,1.653829,[62 14] ; [235  34],[65.42608696 10.57391304] ; [231.57391304  37.42608696],0
s4,1,0.216209,1.529356,[19 57] ; [ 49 215],[15.2 60.8] ; [ 52.8 211.2],0
d5,1,0.24107,1.374327,[54 21] ; [211  58],[57.77616279 17.22383721] ; [207.22383721  61.77616279],0
n1,1,0.251109,1.31712,[12 20] ; [17 48],[ 9.56701031 22.43298969] ; [19.43298969 45.56701031],0
a1,1,0.292663,1.10733,[ 1 75] ; [ 10 259],[ 2.42318841 73.57681159] ; [  8.57681159 260.42318841],0
r2,1,0.32108,0.984541,[66  9] ; [244  22],[68.18181818  6.81818182] ; [241.81818182  24.18181818],0
s6,1,0.33421,0.932517,[44 32] ; [167  94],[47.58456973 28.41543027] ; [163.41543027  97.58456973],0
n3,1,0.338352,0.916667,[22 11] ; [50 16],[24.  9.] ; [48. 18.],0
