Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,1.3e-05,18.955361,[44  7] ; [12 18],[35.25925926 15.74074074] ; [20.74074074  9.25925926],1
r1,1,9.7e-05,15.191026,[40 12] ; [10 20],[31.70731707 20.29268293] ; [18.29268293 11.70731707],1
d3,1,0.000168,14.163,[35 15] ; [ 8 22],[26.875 23.125] ; [16.125 13.875],1
r4,1,0.000293,13.112233,[40 12] ; [11 19],[32.34146341 19.65853659] ; [18.65853659 11.34146341],1
a5,1,0.002264,9.322527,[37 15] ; [11 19],[30.43902439 21.56097561] ; [17.56097561 12.43902439],0
a3,1,0.008126,7.00545,[40 11] ; [15 15],[34.62962963 16.37037037] ; [20.37037037  9.62962963],0
d4,1,0.013814,6.061753,[37 14] ; [13 16],[31.875 19.125] ; [18.125 10.875],0
r3,1,0.014265,6.005092,[43  8] ; [18 12],[38.40740741 12.59259259] ; [22.59259259  7.40740741],0
d5,1,0.014668,5.955882,[39 12] ; [15 15],[34. 17.] ; [20. 10.],0
v3,1,0.020469,5.371484,[16 31] ; [ 3 26],[11.75 35.25] ; [ 7.25 21.75],0
a8,1,0.030223,4.696574,[13 35] ; [ 2 27],[ 9.35064935 38.64935065] ; [ 5.64935065 23.35064935],0
u3,1,0.037667,4.32,[8 4] ; [ 4 11],[5.33333333 6.66666667] ; [6.66666667 8.33333333],0
a4,1,0.0401,4.21364,[24 28] ; [ 7 23],[19.65853659 32.34146341] ; [11.34146341 18.65853659],0
v4,1,0.046324,3.96978,[45  7] ; [19  9],[41.6 10.4] ; [22.4  5.6],0
p8,1,0.068404,3.320901,[20 29] ; [ 6 23],[16.33333333 32.66666667] ; [ 9.66666667 19.33333333],0
u2,1,0.136519,2.216761,[9 3] ; [7 8],[7.11111111 4.88888889] ; [8.88888889 6.11111111],0
r2,1,0.149267,2.079725,[45  6] ; [22  7],[42.7125  8.2875] ; [24.2875  4.7125],0
b1,1,0.193554,1.690359,[27 25] ; [20 10],[29.80487805 22.19512195] ; [17.19512195 12.80487805],0
a2,1,0.196035,1.671671,[11 41] ; [ 3 27],[ 8.87804878 43.12195122] ; [ 5.12195122 24.87804878],0
s8,1,0.217833,1.518587,[17 35] ; [ 6 24],[14.58536585 37.41463415] ; [ 8.41463415 21.58536585],0
p7,1,0.221669,1.493534,[30 18] ; [14 15],[27.42857143 20.57142857] ; [16.57142857 12.42857143],0
p9,1,0.266376,1.235314,[37 13] ; [18 11],[34.81012658 15.18987342] ; [20.18987342  8.81012658],0
n1,1,0.273322,1.2,[9 6] ; [6 9],[7.5 7.5] ; [7.5 7.5],0
p5,1,0.283131,1.152,[ 2 48] ; [ 3 27],[ 3.125 46.875] ; [ 1.875 28.125],0
u1,1,0.292719,1.107074,[ 5 47] ; [ 1 29],[ 3.80487805 48.19512195] ; [ 2.19512195 27.80487805],0
b5,1,0.308916,1.035305,[32 20] ; [15 15],[29.80487805 22.19512195] ; [17.19512195 12.80487805],0
p11,1,0.308916,1.035305,[32 20] ; [15 15],[29.80487805 22.19512195] ; [17.19512195 12.80487805],0
d2,1,0.40513,0.693048,[19 32] ; [14 16],[20.77777778 30.22222222] ; [12.22222222 17.77777778],0
s3,1,0.418341,0.654971,[28 22] ; [14 16],[26.25 23.75] ; [15.75 14.25],0
d1,1,0.422298,0.64391,[22 30] ; [10 20],[20.29268293 31.70731707] ; [11.70731707 18.29268293],0
s6,1,0.453532,0.56181,[27 25] ; [13 17],[25.36585366 26.63414634] ; [14.63414634 15.36585366],0
p10,1,0.467865,0.527015,[31 19] ; [15 13],[29.48717949 20.51282051] ; [16.51282051 11.48717949],0
s7,1,0.478873,0.501429,[14 36] ; [10 18],[15.38461538 34.61538462] ; [ 8.61538462 19.38461538],0
