Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1e-06,24.740037,[117  21] ; [14 18],[106.34117647  31.65882353] ; [24.65882353  7.34117647],1
r4,1,2e-06,22.914926,[125  13] ; [18 14],[116.08235294  21.91764706] ; [26.91764706  5.08235294],1
n4,1,2e-06,22.239711,[115  23] ; [14 18],[104.71764706  33.28235294] ; [24.28235294  7.71764706],1
p9,1,6e-06,20.623087,[118  19] ; [16 16],[108.62721893  28.37278107] ; [25.37278107  6.62721893],1
p10,1,5.7e-05,16.204908,[115  21] ; [16 15],[106.68263473  29.31736527] ; [24.31736527  6.68263473],1
r2,1,0.000116,14.854127,[126  10] ; [21 10],[119.71257485  16.28742515] ; [27.28742515  3.71257485],1
b1,1,0.000311,13.001821,[59 79] ; [25  7],[68.18823529 69.81176471] ; [15.81176471 16.18823529],1
a5,1,0.000414,12.469377,[101  37] ; [13 19],[92.54117647 45.45882353] ; [21.45882353 10.54117647],1
v3,1,0.000971,10.881647,[67 71] ; [ 5 26],[58.79289941 79.20710059] ; [13.20710059 17.79289941],1
s8,1,0.00148,10.103926,[77 60] ; [ 8 24],[68.90532544 68.09467456] ; [16.09467456 15.90532544],0
b3,1,0.007734,7.094062,[40 50] ; [ 3 19],[34.55357143 55.44642857] ; [ 8.44642857 13.55357143],0
b2,1,0.007734,7.094062,[40 50] ; [ 3 19],[34.55357143 55.44642857] ; [ 8.44642857 13.55357143],0
u2,1,0.008224,6.984127,[16 24] ; [12  3],[20.36363636 19.63636364] ; [7.63636364 7.36363636],0
r1,1,0.009327,6.759191,[105  33] ; [17 15],[99.03529412 38.96470588] ; [22.96470588  9.03529412],0
d5,1,0.02184,5.258492,[108  29] ; [19 13],[102.95266272  34.04733728] ; [24.04733728  7.95266272],0
p11,1,0.024048,5.091146,[115  23] ; [21 11],[110.4  27.6] ; [25.6  6.4],0
s7,1,0.027406,4.865065,[79 56] ; [10 18],[73.71165644 61.28834356] ; [15.28834356 12.71165644],0
a3,1,0.054649,3.692768,[97 40] ; [17 15],[92.41420118 44.58579882] ; [21.58579882 10.41420118],0
r3,1,0.059449,3.552682,[130   8] ; [27  5],[127.44705882  10.55294118] ; [29.55294118  2.44705882],0
v4,1,0.068435,3.320158,[129   9] ; [25  5],[126.5  11.5] ; [27.5  2.5],0
b4,1,0.069551,3.293575,[66 72] ; [21 11],[70.62352941 67.37647059] ; [16.37647059 15.62352941],0
s6,1,0.079077,3.083761,[88 44] ; [16 16],[83.70731707 48.29268293] ; [20.29268293 11.70731707],0
p3,1,0.089648,2.880681,[81 57] ; [13 18],[76.75739645 61.24260355] ; [17.24260355 13.75739645],0
d4,1,0.091031,2.85604,[108  29] ; [20 11],[104.38095238  32.61904762] ; [23.61904762  7.38095238],0
d1,1,0.095229,2.783679,[70 68] ; [11 21],[65.75294118 72.24705882] ; [15.24705882 16.75294118],0
s2,1,0.100255,2.701482,[74 64] ; [12 20],[69.81176471 68.18823529] ; [16.18823529 15.81176471],0
n2,1,0.106787,2.601135,[21 10] ; [11  1],[23.06976744  7.93023256] ; [8.93023256 3.06976744],0
b5,1,0.107205,2.594951,[56 82] ; [18 14],[60.07058824 77.92941176] ; [13.92941176 18.07058824],0
