Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,1.2e-05,19.243636,[24  3] ; [1 8],[18.75  8.25] ; [6.25 2.75],1
p11,1,0.00011,14.953846,[24  3] ; [2 7],[19.5  7.5] ; [6.5 2.5],1
n5,1,0.002656,9.0301,[21  6] ; [2 7],[17.25  9.75] ; [5.75 3.25],0
a4,1,0.071387,3.250836,[12 15] ; [1 8],[ 9.75 17.25] ; [3.25 5.75],0
v2,1,0.100709,2.694276,[14 12] ; [2 7],[11.88571429 14.11428571] ; [4.11428571 4.88571429],0
s8,1,0.10247,2.666667,[11 16] ; [1 8],[ 9. 18.] ; [3. 6.],0
u2,1,0.114758,2.487446,[8 3] ; [2 4],[6.47058824 4.52941176] ; [3.52941176 2.47058824],0
a5,1,0.121335,2.4,[17 10] ; [3 6],[15. 12.] ; [5. 4.],0
a3,1,0.177262,1.820433,[16 11] ; [3 6],[14.25 12.75] ; [4.75 4.25],0
s5,1,0.197396,1.661538,[ 9 18] ; [1 8],[ 7.5 19.5] ; [2.5 6.5],0
n3,1,0.220671,1.5,[3 5] ; [3 1],[4. 4.] ; [2. 2.],0
p2,1,0.224114,1.477833,[23  4] ; [6 3],[21.75  5.25] ; [7.25 1.75],0
p3,1,0.236289,1.402597,[15 12] ; [7 2],[16.5 10.5] ; [5.5 3.5],0
n4,1,0.236289,1.402597,[18  9] ; [4 5],[16.5 10.5] ; [5.5 3.5],0
b4,1,0.316503,1.003344,[11 16] ; [2 7],[ 9.75 17.25] ; [3.25 5.75],0
r4,1,0.316503,1.003344,[11 16] ; [2 7],[ 9.75 17.25] ; [3.25 5.75],0
s2,1,0.329114,0.952381,[10 17] ; [5 4],[11.25 15.75] ; [3.75 5.25],0
s3,1,0.329114,0.952381,[10 17] ; [5 4],[11.25 15.75] ; [3.75 5.25],0
a7,1,0.335177,0.928793,[14 13] ; [3 6],[12.75 14.25] ; [4.25 4.75],0
p8,1,0.369478,0.805419,[15 12] ; [3 5],[13.88571429 13.11428571] ; [4.11428571 3.88571429],0
s1,1,0.400814,0.705882,[ 1 26] ; [1 8],[ 1.5 25.5] ; [0.5 8.5],0
p6,1,0.414216,0.666667,[10 17] ; [2 7],[ 9. 18.] ; [3. 6.],0
p5,1,0.427028,0.630894,[ 7 20] ; [1 7],[ 6.17142857 20.82857143] ; [1.82857143 6.17142857],0
b5,1,0.438578,0.6,[16 11] ; [4 5],[15. 12.] ; [5. 4.],0
a6,1,0.438578,0.6,[16 11] ; [4 5],[15. 12.] ; [5. 4.],0
v1,1,0.438578,0.6,[13 14] ; [3 6],[12. 15.] ; [4. 5.],0
d4,1,0.504985,0.444444,[21  6] ; [6 3],[20.25  6.75] ; [6.75 2.25],0
r3,1,0.504985,0.444444,[21  6] ; [6 3],[20.25  6.75] ; [6.75 2.25],0
s7,1,0.519149,0.415584,[ 9 15] ; [2 6],[ 8.25 15.75] ; [2.75 5.25],0
d2,1,0.530869,0.392727,[ 9 18] ; [2 7],[ 8.25 18.75] ; [2.75 6.25],0
n2,1,0.665006,0.1875,[5 3] ; [3 1],[5.33333333 2.66666667] ; [2.66666667 1.33333333],0
n6,1,0.667436,0.184615,[20  7] ; [6 3],[19.5  7.5] ; [6.5 2.5],0
n1,1,0.678845,0.171429,[3 5] ; [2 2],[3.33333333 4.66666667] ; [1.66666667 2.33333333],0
b1,1,0.693012,0.155844,[16 11] ; [6 3],[16.5 10.5] ; [5.5 3.5],0
s4,1,0.807903,0.059113,[ 5 22] ; [2 7],[ 5.25 21.75] ; [1.75 7.25],0
d1,1,0.834532,0.043636,[ 8 19] ; [3 6],[ 8.25 18.75] ; [2.75 6.25],0
p7,1,0.834532,0.043636,[19  8] ; [6 3],[18.75  8.25] ; [6.25 2.75],0
v4,1,0.834532,0.043636,[19  8] ; [6 3],[18.75  8.25] ; [6.25 2.75],0
r1,1,0.841219,0.040134,[10 17] ; [3 6],[ 9.75 17.25] ; [3.25 5.75],0
s6,1,0.845252,0.038095,[16 11] ; [5 4],[15.75 11.25] ; [5.25 3.75],0
d3,1,0.845252,0.038095,[16 11] ; [5 4],[15.75 11.25] ; [5.25 3.75],0
u3,1,0.857596,0.032197,[5 6] ; [3 3],[5.17647059 5.82352941] ; [2.82352941 3.17647059],0
a8,1,0.94342,0.005037,[ 3 22] ; [1 8],[ 2.94117647 22.05882353] ; [1.05882353 7.94117647],0
d5,1,1.0,0.0,[18  9] ; [6 3],[18.  9.] ; [6. 3.],0
v3,1,1.0,0.0,[ 9 18] ; [3 6],[ 9. 18.] ; [3. 6.],0
