Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,1.9e-05,18.275691,[25 97] ; [17 11],[34.16 87.84] ; [ 7.84 20.16],1
s6,1,0.001242,10.426515,[66 61] ; [26  5],[73.94936709 53.05063291] ; [18.05063291 12.94936709],0
p9,1,0.00314,8.724439,[74 52] ; [27  4],[81.05732484 44.94267516] ; [19.94267516 11.05732484],0
s2,1,0.03106,4.649617,[55 73] ; [20 11],[60.37735849 67.62264151] ; [14.62264151 16.37735849],0
p10,1,0.035608,4.415786,[73 53] ; [25  7],[78.15189873 47.84810127] ; [19.84810127 12.15189873],0
a2,1,0.045099,4.014925,[ 27 101] ; [ 2 31],[ 23.05590062 104.94409938] ; [ 5.94409938 27.05590062],0
u2,1,0.06022,3.531315,[31 18] ; [4 8],[28.1147541 20.8852459] ; [6.8852459 5.1147541],0
b3,1,0.096313,2.765561,[30 48] ; [ 4 17],[26.78787879 51.21212121] ; [ 7.21212121 13.78787879],0
b2,1,0.096313,2.765561,[30 48] ; [ 4 17],[26.78787879 51.21212121] ; [ 7.21212121 13.78787879],0
a8,1,0.102398,2.667791,[ 16 107] ; [ 1 32],[ 13.40384615 109.59615385] ; [ 3.59615385 29.40384615],0
n6,1,0.10386,2.645247,[90 37] ; [28  5],[93.6625 33.3375] ; [24.3375  8.6625],0
a6,1,0.104919,2.62913,[77 49] ; [15 18],[72.90566038 53.09433962] ; [19.09433962 13.90566038],0
n5,1,0.109123,2.566883,[81 46] ; [16 17],[76.99375 50.00625] ; [20.00625 12.99375],0
r2,1,0.157439,1.998653,[112  14] ; [32  1],[114.11320755  11.88679245] ; [29.88679245  3.11320755],0
p12,1,0.159726,1.976815,[  7 121] ; [ 4 28],[  8.8 119.2] ; [ 2.2 29.8],0
v2,1,0.173231,1.854755,[61 59] ; [20 11],[64.37086093 55.62913907] ; [16.62913907 14.37086093],0
s8,1,0.179275,1.803623,[45 81] ; [16 17],[48.33962264 77.66037736] ; [12.66037736 20.33962264],0
s3,1,0.205868,1.60025,[60 68] ; [19 13],[63.2 64.8] ; [15.8 16.2],0
v3,1,0.232662,1.424512,[44 74] ; [ 8 23],[41.18120805 76.81879195] ; [10.81879195 20.18120805],0
p1,1,0.252195,1.311106,[  8 120] ; [ 4 29],[  9.54037267 118.45962733] ; [ 2.45962733 30.54037267],0
d3,1,0.281858,1.158111,[67 59] ; [21 12],[69.73584906 56.26415094] ; [18.26415094 14.73584906],0
b1,1,0.31343,1.016168,[63 65] ; [13 20],[60.42236025 67.57763975] ; [15.57763975 17.42236025],0
n4,1,0.314957,1.009774,[82 46] ; [18 15],[79.50310559 48.49689441] ; [20.49689441 12.50310559],0
