Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,1e-06,25.084545,[10 72] ; [17 12],[19.94594595 62.05405405] ; [ 7.05405405 21.94594595],1
p4,1,1e-06,24.44123,[12 70] ; [18 11],[22.16216216 59.83783784] ; [ 7.83783784 21.16216216],1
p8,1,2e-06,22.211167,[12 72] ; [17 12],[21.55752212 62.44247788] ; [ 7.44247788 21.55752212],1
p6,1,0.001713,9.834311,[ 8 75] ; [10 19],[13.33928571 69.66071429] ; [ 4.66071429 24.33928571],0
p10,1,0.003045,8.780332,[30 51] ; [20  9],[36.81818182 44.18181818] ; [13.18181818 15.81818182],0
s5,1,0.013122,6.152572,[10 71] ; [ 9 18],[14.25 66.75] ; [ 4.75 22.25],0
r4,1,0.013376,6.118627,[48 36] ; [24  5],[53.52212389 30.47787611] ; [18.47787611 10.52212389],0
p11,1,0.015329,5.87831,[36 48] ; [20  9],[41.62831858 42.37168142] ; [14.37168142 14.62831858],0
r3,1,0.026394,4.930019,[57 26] ; [26  3],[61.50892857 21.49107143] ; [21.49107143  7.50892857],0
s2,1,0.027712,4.845866,[ 7 76] ; [ 7 22],[10.375 72.625] ; [ 3.625 25.375],0
p9,1,0.028613,4.790768,[33 46] ; [19 10],[38.03703704 40.96296296] ; [13.96296296 15.03703704],0
n6,1,0.030021,4.708089,[53 30] ; [24  4],[57.57657658 25.42342342] ; [19.42342342  8.57657658],0
v4,1,0.034244,4.482482,[58 25] ; [26  3],[62.25 20.75] ; [21.75  7.25],0
n2,1,0.034372,4.476125,[18 16] ; [9 1],[20.86363636 13.13636364] ; [6.13636364 3.86363636],0
r1,1,0.05356,3.726354,[43 40] ; [21  8],[47.42857143 35.57142857] ; [16.57142857 12.42857143],0
s6,1,0.06372,3.437807,[24 58] ; [14 15],[28.07207207 53.92792793] ; [ 9.92792793 19.07207207],0
s8,1,0.072867,3.217216,[13 70] ; [ 9 20],[16.30357143 66.69642857] ; [ 5.69642857 23.30357143],0
v2,1,0.092724,2.826435,[28 51] ; [15 13],[31.74766355 47.25233645] ; [11.25233645 16.74766355],0
s1,1,0.106238,2.609313,[ 4 79] ; [ 4 25],[ 5.92857143 77.07142857] ; [ 2.07142857 26.92857143],0
v1,1,0.139436,2.184167,[18 65] ; [10 18],[20.93693694 62.06306306] ; [ 7.06306306 20.93693694],0
s7,1,0.140546,2.171971,[12 68] ; [ 7 18],[14.47619048 65.52380952] ; [ 4.52380952 20.47619048],0
p5,1,0.160752,1.967134,[ 3 81] ; [ 3 26],[ 4.46017699 79.53982301] ; [ 1.53982301 27.46017699],0
a6,1,0.180897,1.790241,[46 38] ; [20  9],[49.0619469 34.9380531] ; [16.9380531 12.0619469],0
a8,1,0.220671,1.5,[ 4 76] ; [ 3 22],[ 5.33333333 74.66666667] ; [ 1.66666667 23.33333333],0
r2,1,0.296323,1.090671,[65 15] ; [26  3],[66.78899083 13.21100917] ; [24.21100917  4.78899083],0
a5,1,0.31135,1.024941,[49 35] ; [20  9],[51.2920354 32.7079646] ; [17.7079646 11.2920354],0
