Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,61.613209,[95  5] ; [36 49],[70.81081081 29.18918919] ; [60.18918919 24.81081081],1
d2,1,0.0,51.85498,[68 32] ; [13 72],[43.78378378 56.21621622] ; [37.21621622 47.78378378],1
d4,1,0.0,47.320078,[99  1] ; [50 35],[80.54054054 19.45945946] ; [68.45945946 16.54054054],1
d5,1,0.0,40.409737,[99  1] ; [54 31],[82.7027027 17.2972973] ; [70.2972973 14.7027027],1
a2,1,1e-06,24.157421,[34 66] ; [ 4 81],[20.54054054 79.45945946] ; [17.45945946 67.54054054],1
a4,1,1e-06,23.822574,[56 43] ; [18 67],[39.81521739 59.18478261] ; [34.18478261 50.81521739],1
u1,1,5e-06,20.836616,[29 71] ; [ 3 82],[17.2972973 82.7027027] ; [14.7027027 70.2972973],1
a5,1,8e-06,20.012585,[90 10] ; [53 32],[77.2972973 22.7027027] ; [65.7027027 19.2972973],1
a3,1,4.9e-05,16.476719,[78 22] ; [42 43],[64.86486486 35.13513514] ; [55.13513514 29.86486486],1
v2,1,0.02548,4.990954,[64 35] ; [40 43],[56.57142857 42.42857143] ; [47.42857143 35.57142857],0
b5,1,0.026758,4.90635,[71 29] ; [47 38],[63.78378378 36.21621622] ; [54.21621622 30.78378378],0
p4,1,0.035059,4.442286,[72 28] ; [48 36],[65.2173913 34.7826087] ; [54.7826087 29.2173913],0
u2,1,0.066148,3.376108,[10 12] ; [29 13],[13.40625  8.59375] ; [25.59375 16.40625],0
v1,1,0.079351,3.078141,[64 36] ; [43 41],[58.15217391 41.84782609] ; [48.84782609 35.15217391],0
r1,1,0.097395,2.747689,[81 19] ; [60 25],[76.21621622 23.78378378] ; [64.78378378 20.21621622],0
r4,1,0.11909,2.429255,[92  8] ; [72 13],[88.64864865 11.35135135] ; [75.35135135  9.64864865],0
p5,1,0.123418,2.373394,[ 9 90] ; [14 70],[12.44262295 86.55737705] ; [10.55737705 73.44262295],0
p1,1,0.143143,2.143837,[ 7 93] ; [ 2 83],[ 4.86486486 95.13513514] ; [ 4.13513514 80.86486486],0
a6,1,0.158352,1.989889,[71 29] ; [52 33],[66.48648649 33.51351351] ; [56.51351351 28.48648649],0
r2,1,0.172653,1.859754,[92  7] ; [73 11],[89.26229508  9.73770492] ; [75.73770492  8.26229508],0
n4,1,0.187117,1.740172,[79 21] ; [60 25],[75.13513514 24.86486486] ; [63.86486486 21.13513514],0
