Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,9.2e-05,15.303901,[ 9 19] ; [29  7],[16.625 11.375] ; [21.375 14.625],1
a6,1,0.001742,9.803435,[11 17] ; [28  8],[17.0625 10.9375] ; [21.9375 14.0625],0
u1,1,0.003327,8.618832,[ 1 27] ; [12 24],[ 5.6875 22.3125] ; [ 7.3125 28.6875],0
a2,1,0.003619,8.465608,[ 2 26] ; [14 22],[ 7. 21.] ; [ 9. 27.],0
d1,1,0.004201,8.194709,[12 16] ; [28  8],[17.5 10.5] ; [22.5 13.5],0
d4,1,0.006915,7.29498,[18 10] ; [33  3],[22.3125  5.6875] ; [28.6875  7.3125],0
n5,1,0.008301,6.967369,[17 11] ; [32  4],[21.4375  6.5625] ; [27.5625  8.4375],0
n6,1,0.011881,6.328513,[20  8] ; [34  2],[23.625  4.375] ; [30.375  5.625],0
d5,1,0.033262,4.532222,[20  8] ; [33  3],[23.1875  4.8125] ; [29.8125  6.1875],0
b2,1,0.033772,4.506207,[12 13] ; [ 6 23],[ 8.33333333 16.66666667] ; [ 9.66666667 19.33333333],0
b3,1,0.033772,4.506207,[12 13] ; [ 6 23],[ 8.33333333 16.66666667] ; [ 9.66666667 19.33333333],0
b5,1,0.038661,4.275716,[14 14] ; [27  9],[17.9375 10.0625] ; [23.0625 12.9375],0
n1,1,0.103504,2.650699,[8 2] ; [5 6],[6.19047619 3.80952381] ; [6.80952381 4.19047619],0
n4,1,0.147084,2.102235,[19  9] ; [30  6],[21.4375  6.5625] ; [27.5625  8.4375],0
v2,1,0.150708,2.065068,[12 14] ; [22 12],[14.73333333 11.26666667] ; [19.26666667 14.73333333],0
b4,1,0.19319,1.693122,[15 13] ; [25 11],[17.5 10.5] ; [22.5 13.5],0
s7,1,0.196006,1.67189,[19  8] ; [27  5],[21.05084746  5.94915254] ; [24.94915254  7.05084746],0
v1,1,0.215674,1.532925,[17 10] ; [16 18],[14.60655738 12.39344262] ; [18.39344262 15.60655738],0
p10,1,0.220671,1.5,[19  8] ; [30  6],[21.  6.] ; [28.  8.],0
s4,1,0.244493,1.354497,[ 9 19] ; [ 7 29],[ 7. 21.] ; [ 9. 27.],0
b1,1,0.253098,1.306122,[18 10] ; [18 18],[15.75 12.25] ; [20.25 15.75],0
n2,1,0.268925,1.222222,[10  1] ; [8 3],[9. 2.] ; [9. 2.],0
p11,1,0.293344,1.10421,[22  6] ; [24 12],[20.125  7.875] ; [25.875 10.125],0
p9,1,0.38856,0.743444,[21  6] ; [31  5],[22.28571429  4.71428571] ; [29.71428571  6.28571429],0
n3,1,0.407094,0.687273,[8 2] ; [7 4],[7.14285714 2.85714286] ; [7.85714286 3.14285714],0
r2,1,0.41246,0.671697,[26  2] ; [35  1],[26.6875  1.3125] ; [34.3125  1.6875],0
a1,1,0.434967,0.609524,[ 1 27] ; [ 3 33],[ 1.75 26.25] ; [ 2.25 33.75],0
u4,1,0.434967,0.609524,[ 1 27] ; [ 3 33],[ 1.75 26.25] ; [ 2.25 33.75],0
s3,1,0.465715,0.532124,[17 11] ; [25 11],[18.375  9.625] ; [23.625 12.375],0
p6,1,0.496802,0.46176,[10 18] ; [10 26],[ 8.75 19.25] ; [11.25 24.75],0
a5,1,0.560624,0.338624,[20  8] ; [28  8],[21.  7.] ; [27.  9.],0
p5,1,0.602332,0.271493,[ 2 24] ; [ 4 30],[ 2.6 23.4] ; [ 3.4 30.6],0
s6,1,0.618741,0.247642,[22  5] ; [31  5],[22.71428571  4.28571429] ; [30.28571429  5.71428571],0
a4,1,0.658618,0.195207,[14 14] ; [20 16],[14.875 13.125] ; [19.125 16.875],0
s5,1,0.659671,0.193924,[10 16] ; [15 19],[10.83333333 15.16666667] ; [14.16666667 19.83333333],0
a3,1,0.683481,0.166234,[20  8] ; [24 12],[19.25  8.75] ; [24.75 11.25],0
r3,1,0.709496,0.13878,[27  1] ; [34  2],[26.6875  1.3125] ; [34.3125  1.6875],0
s2,1,0.740209,0.109943,[19  9] ; [23 13],[18.375  9.625] ; [23.625 12.375],0
p1,1,0.745805,0.10509,[ 3 25] ; [ 3 33],[ 2.625 25.375] ; [ 3.375 32.625],0
p7,1,0.746096,0.104841,[11 17] ; [12 22],[10.38709677 17.61290323] ; [12.61290323 21.38709677],0
p3,1,0.794679,0.067725,[11 17] ; [13 23],[10.5 17.5] ; [13.5 22.5],0
d2,1,0.794679,0.067725,[17 11] ; [23 13],[17.5 10.5] ; [22.5 13.5],0
v4,1,0.794679,0.067725,[26  2] ; [34  2],[26.25  1.75] ; [33.75  2.25],0
r1,1,0.84483,0.038306,[22  6] ; [29  7],[22.3125  5.6875] ; [28.6875  7.3125],0
r4,1,0.860257,0.030993,[26  2] ; [33  3],[25.8125  2.1875] ; [33.1875  2.8125],0
a8,1,0.863594,0.029516,[ 3 25] ; [ 4 29],[ 3.21311475 24.78688525] ; [ 3.78688525 29.21311475],0
v3,1,0.912165,0.012168,[11 15] ; [14 18],[11.20689655 14.79310345] ; [13.79310345 18.20689655],0
p4,1,0.923786,0.009152,[12 16] ; [15 21],[11.8125 16.1875] ; [15.1875 20.8125],0
p8,1,0.939268,0.005805,[ 6 22] ; [ 8 28],[ 6.125 21.875] ; [ 7.875 28.125],0
u2,1,1.0,0.0,[6 2] ; [9 3],[6. 2.] ; [9. 3.],0
p12,1,1.0,0.0,[ 3 24] ; [ 4 32],[ 3. 24.] ; [ 4. 32.],0
