Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,2e-06,22.424907,[45 14] ; [ 8 24],[34.36263736 24.63736264] ; [18.63736264 13.36263736],1
r3,1,0.033201,4.535389,[24 33] ; [21 11],[28.82022472 28.17977528] ; [16.17977528 15.82022472],0
v3,1,0.041634,4.15003,[14 45] ; [ 2 29],[10.48888889 48.51111111] ; [ 5.51111111 25.48888889],0
a4,1,0.059902,3.540094,[22 36] ; [ 6 26],[18.04444444 39.95555556] ; [ 9.95555556 22.04444444],0
n2,1,0.06006,3.535714,[17 11] ; [ 5 11],[14. 14.] ; [8. 8.],0
a7,1,0.078127,3.103448,[25 33] ; [20 12],[29. 29.] ; [16. 16.],0
p1,1,0.084454,2.977037,[ 9 50] ; [ 1 30],[ 6.55555556 52.44444444] ; [ 3.44444444 27.55555556],0
b5,1,0.093105,2.81986,[26 33] ; [20 12],[29.82417582 29.17582418] ; [16.17582418 15.82417582],0
a3,1,0.10183,2.676647,[34 24] ; [13 19],[30.28888889 27.71111111] ; [16.71111111 15.28888889],0
n6,1,0.119828,2.419563,[37 21] ; [15 17],[33.51111111 24.48888889] ; [18.48888889 13.51111111],0
a6,1,0.127118,2.327357,[32 27] ; [12 20],[28.52747253 30.47252747] ; [15.47252747 16.52747253],0
n1,1,0.159469,1.979252,[11 17] ; [ 3 13],[ 8.90909091 19.09090909] ; [ 5.09090909 10.90909091],0
a5,1,0.169937,1.883503,[31 28] ; [12 20],[27.87912088 31.12087912] ; [15.12087912 16.87912088],0
s8,1,0.229495,1.443986,[11 47] ; [ 3 29],[ 9.02222222 48.97777778] ; [ 4.97777778 27.02222222],0
s7,1,0.279305,1.17047,[17 38] ; [ 6 24],[14.88235294 40.11764706] ; [ 8.11764706 21.88235294],0
d2,1,0.3019,1.065781,[26 31] ; [11 21],[23.69662921 33.30337079] ; [13.30337079 18.69662921],0
p9,1,0.3133,1.016711,[29 27] ; [13 19],[26.72727273 29.27272727] ; [15.27272727 16.72727273],0
p6,1,0.313315,1.01665,[12 45] ; [ 4 28],[10.24719101 46.75280899] ; [ 5.75280899 26.24719101],0
p8,1,0.341595,0.904438,[15 43] ; [11 20],[16.94382022 41.05617978] ; [ 9.05617978 21.94382022],0
s6,1,0.353068,0.862401,[18 40] ; [ 7 25],[16.11111111 41.88888889] ; [ 8.88888889 23.11111111],0
r1,1,0.366774,0.814566,[15 44] ; [11 21],[16.85714286 42.14285714] ; [ 9.14285714 22.85714286],0
n3,1,0.376667,0.781553,[11 17] ; [8 7],[12.37209302 15.62790698] ; [6.62790698 8.37209302],0
p2,1,0.378621,0.775174,[28 30] ; [18 13],[29.97752809 28.02247191] ; [16.02247191 14.97752809],0
u3,1,0.379621,0.77193,[ 5 20] ; [ 6 13],[ 6.25 18.75] ; [ 4.75 14.25],0
v2,1,0.438693,0.599698,[14 43] ; [10 21],[15.54545455 41.45454545] ; [ 8.45454545 22.54545455],0
b4,1,0.456264,0.555045,[34 25] ; [21 11],[35.65934066 23.34065934] ; [19.34065934 12.65934066],0
s1,1,0.46507,0.533666,[ 4 55] ; [ 1 31],[ 3.24175824 55.75824176] ; [ 1.75824176 30.24175824],0
a8,1,0.469819,0.522402,[ 4 50] ; [ 1 28],[ 3.25301205 50.74698795] ; [ 1.74698795 27.25301205],0
p3,1,0.470607,0.520551,[15 44] ; [ 6 26],[13.61538462 45.38461538] ; [ 7.38461538 24.61538462],0
d4,1,0.514098,0.425717,[34 24] ; [21 11],[35.44444444 22.55555556] ; [19.55555556 12.44444444],0
b2,1,0.51578,0.422323,[15 24] ; [ 5 12],[13.92857143 25.07142857] ; [ 6.07142857 10.92857143],0
b3,1,0.51578,0.422323,[15 24] ; [ 5 12],[13.92857143 25.07142857] ; [ 6.07142857 10.92857143],0
