Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,0.000138,14.52529,[125   9] ; [5 4],[121.81818182  12.18181818] ; [8.18181818 0.81818182],1
r4,1,0.001678,9.872004,[116  20] ; [4 5],[112.55172414  23.44827586] ; [7.44827586 1.55172414],0
r3,1,0.013012,6.16743,[125  11] ; [6 3],[122.86896552  13.13103448] ; [8.13103448 0.86896552],0
r1,1,0.016124,5.789353,[107  28] ; [4 5],[104.0625  30.9375] ; [6.9375 2.0625],0
a6,1,0.041044,4.17419,[91 45] ; [3 6],[88.16551724 47.83448276] ; [5.83448276 3.16551724],0
a3,1,0.061948,3.484444,[87 48] ; [3 6],[84.375 50.625] ; [5.625 3.375],0
a5,1,0.089386,2.885389,[97 39] ; [4 5],[94.73103448 41.26896552] ; [6.26896552 2.73103448],0
d1,1,0.101419,2.683092,[83 53] ; [3 6],[80.66206897 55.33793103] ; [5.33793103 3.66206897],0
d2,1,0.125618,2.345842,[66 70] ; [2 7],[63.77931034 72.22068966] ; [4.22068966 4.77931034],0
b4,1,0.159895,1.975224,[78 58] ; [3 6],[75.97241379 60.02758621] ; [5.02758621 3.97241379],0
s1,1,0.198903,1.65041,[  4 130] ; [1 8],[  4.68531469 129.31468531] ; [0.31468531 8.68531469],0
s7,1,0.211894,1.558442,[32 94] ; [4 5],[33.6 92.4] ; [2.4 6.6],0
p6,1,0.216299,1.528755,[47 87] ; [5 4],[48.72727273 85.27272727] ; [3.27272727 5.72727273],0
n5,1,0.222735,1.486661,[95 41] ; [8 1],[96.60689655 39.39310345] ; [6.39310345 2.60689655],0
s2,1,0.223435,1.482172,[ 23 111] ; [3 6],[ 24.36363636 109.63636364] ; [1.63636364 7.36363636],0
a4,1,0.315924,1.005748,[53 83] ; [2 7],[51.5862069 84.4137931] ; [3.4137931 5.5862069],0
v2,1,0.339108,0.9138,[80 52] ; [4 5],[78.63829787 53.36170213] ; [5.36170213 3.63829787],0
v4,1,0.367871,0.810845,[129   6] ; [8 1],[128.4375   6.5625] ; [8.5625 0.4375],0
b5,1,0.372597,0.794987,[81 55] ; [4 5],[79.72413793 56.27586207] ; [5.27586207 3.72413793],0
p7,1,0.389683,0.73993,[99 35] ; [7 1],[100.02816901  33.97183099] ; [5.97183099 2.02816901],0
d5,1,0.434638,0.610398,[106  30] ; [6 3],[105.04827586  30.95172414] ; [6.95172414 2.04827586],0
s5,1,0.448924,0.573366,[ 18 118] ; [2 7],[ 18.75862069 117.24137931] ; [1.24137931 7.75862069],0
p3,1,0.460912,0.54368,[77 58] ; [4 5],[75.9375 59.0625] ; [5.0625 3.9375],0
d4,1,0.505637,0.443086,[104  32] ; [6 3],[103.17241379  32.82758621] ; [6.82758621 2.17241379],0
u2,1,0.527558,0.399093,[23 26] ; [2 4],[22.27272727 26.72727273] ; [2.72727273 3.27272727],0
u3,1,0.589791,0.29067,[22 27] ; [2 4],[21.38181818 27.61818182] ; [2.61818182 3.38181818],0
p11,1,0.615164,0.252723,[112  24] ; [8 1],[112.55172414  23.44827586] ; [7.44827586 1.55172414],0
n4,1,0.615677,0.251991,[101  35] ; [6 3],[100.35862069  35.64137931] ; [6.64137931 2.35862069],0
s8,1,0.615677,0.251991,[ 35 101] ; [3 6],[ 35.64137931 100.35862069] ; [2.35862069 6.64137931],0
p9,1,0.638092,0.221246,[111  23] ; [8 1],[111.51048951  22.48951049] ; [7.48951049 1.51048951],0
v1,1,0.650561,0.205194,[70 64] ; [4 5],[69.34265734 64.65734266] ; [4.65734266 4.34265734],0
a7,1,0.652953,0.202197,[100  36] ; [6 3],[99.42068966 36.57931034] ; [6.57931034 2.42068966],0
b1,1,0.677539,0.17291,[51 85] ; [4 5],[51.5862069 84.4137931] ; [3.4137931 5.5862069],0
n6,1,0.737151,0.112647,[111  24] ; [7 2],[110.625  24.375] ; [7.375 1.625],0
p4,1,0.756563,0.096098,[83 52] ; [6 3],[83.4375 51.5625] ; [5.5625 3.4375],0
p2,1,0.848735,0.036379,[117  18] ; [8 1],[117.1875  17.8125] ; [7.8125 1.1875],0
s3,1,0.940488,0.005574,[ 31 102] ; [2 7],[ 30.9084507 102.0915493] ; [2.0915493 6.9084507],0
d3,1,0.951473,0.003704,[92 44] ; [6 3],[91.91724138 44.08275862] ; [6.08275862 2.91724138],0
