Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,42.412527,[111 123] ; [85 14],[137.72972973  96.27027027] ; [58.27027027 40.72972973],1
p4,1,0.0,39.564805,[103 133] ; [81 19],[129.23809524 106.76190476] ; [54.76190476 45.23809524],1
p8,1,0.0,28.737458,[ 96 137] ; [72 26],[118.25981873 114.74018127] ; [49.74018127 48.25981873],1
p2,1,2e-06,22.898565,[166  71] ; [94  6],[182.84866469  54.15133531] ; [77.15133531 22.84866469],1
s8,1,5.4e-05,16.285029,[ 45 191] ; [40 60],[ 59.70238095 176.29761905] ; [25.29761905 74.70238095],1
p3,1,0.000172,14.113875,[ 94 143] ; [62 38],[109.70919881 127.29080119] ; [46.29080119 53.70919881],1
v1,1,0.000571,11.867323,[103 129] ; [65 35],[117.39759036 114.60240964] ; [50.60240964 49.39759036],1
p9,1,0.000579,11.843393,[176  57] ; [91  8],[187.38253012  45.61746988] ; [79.61746988 19.38253012],1
s7,1,0.002661,9.026636,[ 51 175] ; [36 56],[ 61.83018868 164.16981132] ; [25.16981132 66.83018868],0
v3,1,0.006332,7.453343,[ 73 160] ; [47 53],[ 83.96396396 149.03603604] ; [36.03603604 63.96396396],0
r3,1,0.00865,6.893696,[200  36] ; [95  5],[207.20238095  28.79761905] ; [87.79761905 12.20238095],0
p10,1,0.009498,6.726715,[174  62] ; [85 13],[183.00598802  52.99401198] ; [75.99401198 22.00598802],0
r4,1,0.01232,6.264242,[190  48] ; [91  9],[197.86390533  40.13609467] ; [83.13609467 16.86390533],0
p5,1,0.017246,5.671198,[ 21 215] ; [18 82],[ 27.39285714 208.60714286] ; [11.60714286 88.39285714],0
n4,1,0.0226,5.199014,[196  42] ; [92  8],[202.79289941  35.20710059] ; [85.20710059 14.79289941],0
v4,1,0.025391,4.99705,[209  28] ; [96  4],[214.49554896  22.50445104] ; [90.50445104  9.49554896],0
v2,1,0.032173,4.589265,[106 121] ; [59 40],[114.89263804 112.10736196] ; [50.10736196 48.89263804],0
p11,1,0.061527,3.49573,[175  63] ; [83 17],[181.66863905  56.33136095] ; [76.33136095 23.66863905],0
p1,1,0.08395,2.986712,[ 17 221] ; [13 87],[ 21.12426036 216.87573964] ; [ 8.87573964 91.12426036],0
d1,1,0.095238,2.783529,[112 126] ; [57 43],[119. 119.] ; [50. 50.],0
b4,1,0.111517,2.532584,[130 108] ; [64 36],[136.6035503 101.3964497] ; [57.3964497 42.6035503],0
n6,1,0.147674,2.096112,[199  38] ; [90 10],[203.24332344  33.75667656] ; [85.75667656 14.24332344],0
u1,1,0.157899,1.994236,[ 31 207] ; [19 81],[ 35.20710059 202.79289941] ; [14.79289941 85.20710059],0
s5,1,0.18821,1.73157,[ 41 194] ; [23 74],[ 45.30120482 189.69879518] ; [18.69879518 78.30120482],0
n2,1,0.191267,1.707831,[48 17] ; [13  9],[45.57471264 19.42528736] ; [15.42528736  6.57471264],0
b2,1,0.22074,1.499554,[48 89] ; [29 37],[51.96551724 85.03448276] ; [25.03448276 40.96551724],0
b3,1,0.22074,1.499554,[48 89] ; [29 37],[51.96551724 85.03448276] ; [25.03448276 40.96551724],0
r2,1,0.222619,1.487406,[208  27] ; [92  7],[211.07784431  23.92215569] ; [88.92215569 10.07784431],0
d3,1,0.2418,1.370067,[140  98] ; [65 34],[144.77744807  93.22255193] ; [60.22255193 38.77744807],0
d5,1,0.24885,1.329751,[179  59] ; [81 19],[183.07692308  54.92307692] ; [76.92307692 23.07692308],0
p12,1,0.267391,1.230082,[ 10 227] ; [ 7 91],[ 12.02686567 224.97313433] ; [ 4.97313433 93.02686567],0
