Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,2e-06,22.889481,[142   9] ; [44 19],[131.24299065  19.75700935] ; [54.75700935  8.24299065],1
p9,1,3e-06,21.714721,[116  34] ; [27 34],[101.65876777  48.34123223] ; [41.34123223 19.65876777],1
p4,1,9.6e-05,15.219787,[74 78] ; [12 49],[61.37089202 90.62910798] ; [24.62910798 36.37089202],1
p10,1,0.000142,14.477622,[108  42] ; [27 34],[95.97156398 54.02843602] ; [39.02843602 21.97156398],1
s1,1,0.000211,13.734513,[  1 150] ; [ 7 55],[  5.6713615 145.3286385] ; [ 2.3286385 59.6713615],1
p8,1,0.000315,12.978398,[71 80] ; [13 50],[59.27102804 91.72897196] ; [24.72897196 38.27102804],1
r3,1,0.000385,12.602327,[139  13] ; [46 17],[130.79069767  21.20930233] ; [54.20930233  8.79069767],1
a6,1,0.00108,10.685893,[86 67] ; [20 43],[75.08333333 77.91666667] ; [30.91666667 32.08333333],0
p7,1,0.003906,8.327043,[91 58] ; [23 36],[81.66346154 67.33653846] ; [32.33653846 26.66346154],0
a7,1,0.00686,7.309152,[106  45] ; [32 31],[97.37383178 53.62616822] ; [40.62616822 22.37383178],0
p3,1,0.009092,6.804709,[57 96] ; [12 51],[ 48.875 104.125] ; [20.125 42.875],0
a1,1,0.011399,6.401975,[  1 152] ; [ 4 59],[  3.54166667 149.45833333] ; [ 1.45833333 61.54166667],0
p11,1,0.014709,5.951019,[109  44] ; [34 29],[101.29166667  51.70833333] ; [41.70833333 21.29166667],0
r4,1,0.022769,5.186074,[120  33] ; [40 23],[113.33333333  39.66666667] ; [46.66666667 16.33333333],0
s8,1,0.024438,5.063246,[ 47 106] ; [10 53],[ 40.375 112.625] ; [16.625 46.375],0
s3,1,0.035598,4.416248,[78 72] ; [22 39],[71.09004739 78.90995261] ; [28.90995261 32.09004739],0
n6,1,0.042645,4.109407,[117  35] ; [40 23],[110.99534884  41.00465116] ; [46.00465116 16.99534884],0
d5,1,0.046982,3.946031,[97 55] ; [31 32],[90.49302326 61.50697674] ; [37.50697674 25.49302326],0
d3,1,0.048581,3.889785,[87 64] ; [27 36],[80.43925234 70.56074766] ; [33.56074766 29.43925234],0
d2,1,0.054878,3.685782,[ 28 125] ; [19 44],[ 33.29166667 119.70833333] ; [13.70833333 49.29166667],0
