Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,36.492406,[ 8 25] ; [182  58],[22.96703297 10.03296703] ; [167.03296703  72.96703297],1
s2,1,0.0,34.247316,[10 23] ; [191  52],[24.0326087  8.9673913] ; [176.9673913  66.0326087],1
s7,1,7e-06,20.176813,[10 22] ; [166  67],[21.25283019 10.74716981] ; [154.74716981  78.25283019],1
b5,1,0.002541,9.110716,[10 24] ; [139 105],[18.22302158 15.77697842] ; [130.77697842 113.22302158],0
s8,1,0.008366,6.953411,[13 21] ; [150  92],[20.07971014 13.92028986] ; [142.92028986  99.07971014],0
p9,1,0.010447,6.557004,[26  7] ; [222  18],[29.97802198  3.02197802] ; [218.02197802  21.97802198],0
s4,1,0.043038,4.093917,[ 4 30] ; [ 67 172],[ 8.84249084 25.15750916] ; [ 62.15750916 176.84249084],0
n6,1,0.063764,3.436661,[28  6] ; [222  19],[30.90909091  3.09090909] ; [219.09090909  21.90909091],0
v2,1,0.075988,3.148693,[25  9] ; [137 101],[20.25 13.75] ; [141.75  96.25],0
b3,1,0.151264,2.059454,[13  9] ; [62 83],[ 9.88023952 12.11976048] ; [65.11976048 79.88023952],0
b2,1,0.151264,2.059454,[13  9] ; [62 83],[ 9.88023952 12.11976048] ; [65.11976048 79.88023952],0
d3,1,0.163098,1.945267,[21 13] ; [178  65],[24.42599278  9.57400722] ; [174.57400722  68.42599278],0
r2,1,0.181373,1.786335,[32  2] ; [239   5],[33.14388489  0.85611511] ; [237.85611511   6.14388489],0
p12,1,0.206783,1.593804,[ 2 31] ; [ 34 210],[ 4.28880866 28.71119134] ; [ 31.71119134 212.28880866],0
b1,1,0.252528,1.309262,[16 18] ; [ 90 154],[12.96402878 21.03597122] ; [ 93.03597122 150.96402878],0
a7,1,0.254448,1.298715,[21 13] ; [174  70],[23.84892086 10.15107914] ; [171.15107914  72.84892086],0
a2,1,0.260261,1.267368,[ 7 27] ; [ 73 171],[ 9.78417266 24.21582734] ; [ 70.21582734 173.78417266],0
p2,1,0.300132,1.073606,[30  3] ; [205  39],[27.99638989  5.00361011] ; [207.00361011  36.99638989],0
u3,1,0.300756,1.07084,[4 4] ; [35 16],[5.28813559 2.71186441] ; [33.71186441 17.28813559],0
p4,1,0.314628,1.011148,[20 13] ; [167  74],[22.52189781 10.47810219] ; [164.47810219  76.52189781],0
p11,1,0.321187,0.984105,[29  5] ; [190  54],[26.78417266  7.21582734] ; [192.21582734  51.78417266],0
v1,1,0.329019,0.952756,[23 10] ; [148  95],[20.44565217 12.55434783] ; [150.55434783  92.44565217],0
n5,1,0.397304,0.71647,[25  9] ; [194  49],[26.88086643  7.11913357] ; [192.11913357  50.88086643],0
a4,1,0.411151,0.675469,[15 19] ; [126 118],[17.24460432 16.75539568] ; [123.75539568 120.24460432],0
v4,1,0.432346,0.616513,[33  1] ; [241   3],[33.51079137  0.48920863] ; [240.48920863   3.51079137],0
a5,1,0.441293,0.592917,[26  8] ; [200  44],[27.64028777  6.35971223] ; [198.35971223  45.64028777],0
a8,1,0.474251,0.512055,[ 3 28] ; [ 32 190],[ 4.28853755 26.71146245] ; [ 30.71146245 191.28853755],0
p6,1,0.495247,0.465107,[14 19] ; [117 123],[15.83516484 17.16483516] ; [115.16483516 124.83516484],0
d4,1,0.597725,0.278442,[29  5] ; [214  28],[29.93478261  4.06521739] ; [213.06521739  28.93478261],0
n4,1,0.606764,0.264914,[28  6] ; [190  52],[26.85507246  7.14492754] ; [191.14492754  50.85507246],0
u1,1,0.681278,0.168691,[ 7 27] ; [ 58 186],[ 7.94964029 26.05035971] ; [ 57.05035971 186.94964029],0
b4,1,0.68276,0.167036,[22 12] ; [149  95],[20.91366906 13.08633094] ; [150.08633094  93.91366906],0
s1,1,0.683237,0.166504,[ 1 32] ; [ 11 229],[ 1.45054945 31.54945055] ; [ 10.54945055 229.45054945],0
a3,1,0.691798,0.157146,[26  8] ; [193  50],[26.88086643  7.11913357] ; [192.11913357  50.88086643],0
v3,1,0.740119,0.110022,[16 17] ; [109 131],[15.10989011 17.89010989] ; [109.89010989 130.10989011],0
p8,1,0.740803,0.109422,[19 14] ; [146  95],[19.87226277 13.12773723] ; [145.12773723  95.87226277],0
p1,1,0.758554,0.094482,[ 5 29] ; [ 31 211],[ 4.43478261 29.56521739] ; [ 31.56521739 210.43478261],0
r1,1,0.758554,0.094482,[29  5] ; [211  31],[29.56521739  4.43478261] ; [210.43478261  31.56521739],0
d2,1,0.777865,0.079582,[19 15] ; [129 113],[18.23188406 15.76811594] ; [129.76811594 112.23188406],0
p7,1,0.803518,0.0619,[25  8] ; [174  62],[24.41263941  8.58736059] ; [174.58736059  61.41263941],0
d5,1,0.83345,0.044217,[29  5] ; [203  39],[28.57971014  5.42028986] ; [203.42028986  38.57971014],0
u2,1,0.834462,0.043673,[4 3] ; [27 24],[3.74137931 3.25862069] ; [27.25862069 23.74137931],0
p3,1,0.84716,0.03715,[20 13] ; [143 100],[19.48913043 13.51086957] ; [143.51086957  99.48913043],0
p10,1,0.869501,0.026992,[29  4] ; [215  27],[29.28  3.72] ; [214.72  27.28],0
d1,1,0.920573,0.009943,[22 12] ; [160  84],[22.25899281 11.74100719] ; [159.74100719  84.25899281],0
n1,1,0.931376,0.007416,[3 3] ; [28 26],[3.1 2.9] ; [27.9 26.1],0
a6,1,0.940443,0.005582,[22 12] ; [155  87],[21.80434783 12.19565217] ; [155.19565217  86.80434783],0
n2,1,0.984811,0.000362,[5 1] ; [46  9],[5.01639344 0.98360656] ; [45.98360656  9.01639344],0
p5,1,0.989561,0.000171,[ 7 26] ; [ 52 192],[ 7.02888087 25.97111913] ; [ 51.97111913 192.02888087],0
