Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,0.222883,1.485714,[8 7] ; [44 19],[10.  5.] ; [42. 21.],0
p8,1,0.327586,0.958418,[ 4 11] ; [10 53],[ 2.69230769 12.30769231] ; [11.30769231 51.69230769],0
b1,1,0.70378,0.14457,[7 8] ; [26 37],[6.34615385 8.65384615] ; [26.65384615 36.34615385],0
p3,1,0.789806,0.071056,[ 4 11] ; [19 44],[ 4.42307692 10.57692308] ; [18.57692308 44.42307692],0
