Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.000104,15.068841,[18 12] ; [11 47],[ 9.88636364 20.11363636] ; [19.11363636 38.88636364],1
s3,1,0.000189,13.936056,[22  7] ; [19 38],[13.8255814 15.1744186] ; [27.1744186 29.8255814],1
s6,1,0.005664,7.654137,[21  9] ; [23 36],[14.83146067 15.16853933] ; [29.16853933 29.83146067],0
v4,1,0.00662,7.373263,[27  1] ; [42 17],[22.20689655  5.79310345] ; [46.79310345 12.20689655],0
s8,1,0.007193,7.224017,[13 17] ; [10 49],[ 7.75280899 22.24719101] ; [15.24719101 43.75280899],0
p7,1,0.018481,5.549956,[20  9] ; [24 33],[14.8372093 14.1627907] ; [29.1627907 27.8372093],0
r3,1,0.033344,4.528053,[28  2] ; [44 15],[24.26966292  5.73033708] ; [47.73033708 11.26966292],0
s5,1,0.033999,4.494744,[ 9 19] ; [ 7 48],[ 5.39759036 22.60240964] ; [10.60240964 44.39759036],0
v2,1,0.050747,3.816592,[17 12] ; [20 35],[12.77380952 16.22619048] ; [24.22619048 30.77380952],0
s4,1,0.052365,3.764058,[ 7 23] ; [ 5 54],[ 4.04494382 25.95505618] ; [ 7.95505618 51.04494382],0
p10,1,0.052509,3.759469,[21  9] ; [27 29],[16.74418605 13.25581395] ; [31.25581395 24.74418605],0
r2,1,0.105364,2.62242,[27  1] ; [49  9],[24.74418605  3.25581395] ; [51.25581395  6.74418605],0
u2,1,0.124051,2.365414,[6 1] ; [10  9],[4.30769231 2.69230769] ; [11.69230769  7.30769231],0
p8,1,0.134849,2.235774,[12 18] ; [14 43],[ 8.96551724 21.03448276] ; [17.03448276 39.96551724],0
p9,1,0.151158,2.060526,[23  7] ; [35 22],[20. 10.] ; [38. 19.],0
p4,1,0.158598,1.987545,[15 15] ; [20 38],[11.93181818 18.06818182] ; [23.06818182 34.93181818],0
a1,1,0.183472,1.769276,[ 1 29] ; [ 7 52],[ 2.69662921 27.30337079] ; [ 5.30337079 53.69662921],0
b2,1,0.185696,1.751437,[ 4 16] ; [13 22],[ 6.18181818 13.81818182] ; [10.81818182 24.18181818],0
b3,1,0.185696,1.751437,[ 4 16] ; [13 22],[ 6.18181818 13.81818182] ; [10.81818182 24.18181818],0
