Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,2.8e-05,17.562556,[119  27] ; [13 16],[110.12571429  35.87428571] ; [21.87428571  7.12571429],1
p2,1,5.6e-05,16.217047,[137   9] ; [20  9],[130.98285714  15.01714286] ; [26.01714286  2.98285714],1
r3,1,0.003356,8.603251,[142   3] ; [25  4],[139.16666667   5.83333333] ; [27.83333333  1.16666667],0
p6,1,0.004263,8.168347,[89 56] ; [ 9 19],[82.13872832 62.86127168] ; [15.86127168 12.13872832],0
p8,1,0.011135,6.443582,[108  38] ; [14 14],[102.36781609  43.63218391] ; [19.63218391  8.36781609],0
s7,1,0.015944,5.80903,[98 36] ; [14 14],[92.64197531 41.35802469] ; [19.35802469  8.64197531],0
p5,1,0.017372,5.658361,[47 99] ; [ 3 26],[ 41.71428571 104.28571429] ; [ 8.28571429 20.71428571],0
s6,1,0.026033,4.953845,[130  15] ; [20  7],[126.45348837  18.54651163] ; [23.54651163  3.45348837],0
a7,1,0.069359,3.298117,[101  45] ; [15 14],[96.77714286 49.22285714] ; [19.22285714  9.77714286],0
p9,1,0.092083,2.837573,[138   8] ; [24  4],[135.93103448  10.06896552] ; [26.06896552  1.93103448],0
p10,1,0.097593,2.74444,[135  11] ; [24  5],[132.65142857  13.34857143] ; [26.34857143  2.65142857],0
n6,1,0.118931,2.43134,[133  12] ; [23  5],[130.75144509  14.24855491] ; [25.24855491  2.75144509],0
b5,1,0.126379,2.336426,[73 73] ; [19 10],[76.75428571 69.24571429] ; [15.24571429 13.75428571],0
a6,1,0.126556,2.334254,[100  46] ; [15 13],[96.49425287 49.50574713] ; [18.50574713  9.49425287],0
p11,1,0.127391,2.324013,[123  23] ; [21  8],[120.13714286  25.86285714] ; [23.86285714  5.13714286],0
n5,1,0.129006,2.304429,[122  24] ; [20  8],[119.14942529  26.85057471] ; [22.85057471  5.14942529],0
d1,1,0.132347,2.26476,[106  40] ; [17 12],[102.61714286  43.38285714] ; [20.38285714  8.61714286],0
p7,1,0.162413,1.951613,[120  25] ; [20  8],[117.34104046  27.65895954] ; [22.65895954  5.34104046],0
s4,1,0.163856,1.938272,[ 37 106] ; [ 4 25],[ 34.0872093 108.9127907] ; [ 6.9127907 22.0872093],0
d4,1,0.181584,1.784615,[132  13] ; [24  5],[130.  15.] ; [26.  3.],0
s2,1,0.230641,1.436903,[106  39] ; [18 11],[103.33333333  41.66666667] ; [20.66666667  8.33333333],0
v3,1,0.235268,1.408725,[72 72] ; [11 18],[69.0867052 74.9132948] ; [13.9132948 15.0867052],0
d5,1,0.238068,1.392,[127  18] ; [23  6],[125.  20.] ; [25.  4.],0
u2,1,0.27893,1.172295,[17  9] ; [3 4],[15.75757576 10.24242424] ; [4.24242424 2.75757576],0
u3,1,0.296934,1.087912,[20  6] ; [4 3],[18.90909091  7.09090909] ; [5.09090909 1.90909091],0
s8,1,0.308638,1.036496,[84 62] ; [19  9],[86.42528736 59.57471264] ; [16.57471264 11.42528736],0
a1,1,0.322571,0.978492,[ 13 133] ; [ 1 28],[ 11.68 134.32] ; [ 2.32 26.68],0
p12,1,0.339002,0.914201,[ 20 126] ; [ 2 26],[ 18.45977011 127.54022989] ; [ 3.54022989 24.45977011],0
b2,1,0.349262,0.876137,[36 52] ; [10  9],[37.8317757 50.1682243] ; [ 8.1682243 10.8317757],0
b3,1,0.349262,0.876137,[36 52] ; [10  9],[37.8317757 50.1682243] ; [ 8.1682243 10.8317757],0
d2,1,0.356968,0.848531,[77 69] ; [18 11],[79.25714286 66.74285714] ; [15.74285714 13.25714286],0
n3,1,0.362953,0.827651,[16  9] ; [5 1],[16.93548387  8.06451613] ; [4.06451613 1.93548387],0
b4,1,0.386875,0.74874,[93 53] ; [16 13],[90.93714286 55.06285714] ; [18.06285714 10.93714286],0
b1,1,0.432711,0.615535,[59 87] ; [14 15],[60.90285714 85.09714286] ; [12.09714286 16.90285714],0
r1,1,0.498667,0.457772,[123  22] ; [26  3],[124.16666667  20.83333333] ; [24.83333333  4.16666667],0
a8,1,0.55698,0.34496,[ 15 123] ; [ 4 23],[ 15.89090909 122.10909091] ; [ 3.10909091 23.89090909],0
a2,1,0.562852,0.33479,[ 43 103] ; [ 7 22],[ 41.71428571 104.28571429] ; [ 8.28571429 20.71428571],0
a4,1,0.612024,0.257237,[78 68] ; [14 15],[76.75428571 69.24571429] ; [15.24571429 13.75428571],0
n4,1,0.650576,0.205175,[120  26] ; [22  6],[119.14942529  26.85057471] ; [22.85057471  5.14942529],0
a3,1,0.650576,0.205175,[120  26] ; [22  6],[119.14942529  26.85057471] ; [22.85057471  5.14942529],0
r4,1,0.651023,0.204613,[138   8] ; [28  1],[138.49142857   7.50857143] ; [27.50857143  1.49142857],0
v1,1,0.656027,0.198386,[92 53] ; [19  9],[93.03468208 51.96531792] ; [17.96531792 10.03468208],0
s3,1,0.771603,0.084262,[99 46] ; [19 10],[98.33333333 46.66666667] ; [19.66666667  9.33333333],0
u1,1,0.773598,0.082755,[ 39 107] ; [ 7 22],[ 38.37714286 107.62285714] ; [ 7.62285714 21.37714286],0
v2,1,0.778533,0.079091,[91 54] ; [19 10],[91.66666667 53.33333333] ; [18.33333333 10.66666667],0
p1,1,0.778778,0.078912,[ 23 122] ; [ 4 25],[ 22.5 122.5] ; [ 4.5 24.5],0
a5,1,0.789518,0.071255,[123  23] ; [25  4],[123.47428571  22.52571429] ; [24.52571429  4.47428571],0
s1,1,0.857838,0.032086,[  6 138] ; [ 1 28],[  5.8265896 138.1734104] ; [ 1.1734104 27.8265896],0
v4,1,0.994906,4.1e-05,[141   5] ; [28  1],[140.99428571   5.00571429] ; [28.00571429  0.99428571],0
