Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,0.002404,9.212025,[23  4] ; [6 9],[18.64285714  8.35714286] ; [10.35714286  4.64285714],0
d4,1,0.010081,6.620574,[25  1] ; [10  5],[22.19512195  3.80487805] ; [12.80487805  2.19512195],0
d2,1,0.012844,6.190454,[19  7] ; [ 5 10],[15.2195122 10.7804878] ; [8.7804878 6.2195122],0
b5,1,0.019359,5.468789,[ 5 22] ; [8 7],[ 8.35714286 18.64285714] ; [ 4.64285714 10.35714286],0
s7,1,0.035475,4.422153,[ 4 21] ; [7 8],[ 6.875 18.125] ; [ 4.125 10.875],0
p6,1,0.049083,3.8725,[ 6 20] ; [8 7],[ 8.87804878 17.12195122] ; [5.12195122 9.87804878],0
b3,1,0.053019,3.743316,[11  6] ; [3 8],[8.5 8.5] ; [5.5 5.5],0
b2,1,0.053019,3.743316,[11  6] ; [3 8],[8.5 8.5] ; [5.5 5.5],0
d3,1,0.054687,3.691608,[19  8] ; [6 9],[16.07142857 10.92857143] ; [8.92857143 6.07142857],0
r1,1,0.066327,3.371667,[23  4] ; [9 6],[20.57142857  6.42857143] ; [11.42857143  3.57142857],0
p10,1,0.068268,3.324176,[23  3] ; [9 5],[20.8  5.2] ; [11.2  2.8],0
u2,1,0.078983,3.085714,[4 1] ; [2 5],[2.5 2.5] ; [3.5 3.5],0
s4,1,0.084721,2.97193,[ 1 26] ; [ 3 12],[ 2.57142857 24.42857143] ; [ 1.42857143 13.57142857],0
n4,1,0.129219,2.301857,[22  5] ; [9 6],[19.92857143  7.07142857] ; [11.07142857  3.92857143],0
p5,1,0.135769,2.225275,[ 7 19] ; [ 1 13],[ 5.2 20.8] ; [ 2.8 11.2],0
a3,1,0.168496,1.896278,[21  6] ; [8 6],[19.09756098  7.90243902] ; [9.90243902 4.09756098],0
u3,1,0.169583,1.886621,[4 2] ; [2 5],[2.76923077 3.23076923] ; [3.23076923 3.76923077],0
n5,1,0.171857,1.866667,[20  7] ; [8 7],[18.  9.] ; [10.  5.],0
a8,1,0.186379,1.746013,[ 1 24] ; [ 2 10],[ 2.02702703 22.97297297] ; [ 0.97297297 11.02702703],0
r2,1,0.245602,1.348148,[26  1] ; [13  2],[25.07142857  1.92857143] ; [13.92857143  1.07142857],0
a4,1,0.247943,1.334859,[14 13] ; [ 5 10],[12.21428571 14.78571429] ; [6.78571429 8.21428571],0
s2,1,0.251326,1.315915,[ 6 20] ; [6 9],[ 7.6097561 18.3902439] ; [ 4.3902439 10.6097561],0
n6,1,0.348632,0.878431,[23  4] ; [11  4],[21.85714286  5.14285714] ; [12.14285714  2.85714286],0
p11,1,0.348632,0.878431,[23  4] ; [11  4],[21.85714286  5.14285714] ; [12.14285714  2.85714286],0
p8,1,0.392919,0.72989,[14 12] ; [6 9],[12.68292683 13.31707317] ; [7.31707317 7.68292683],0
v1,1,0.432768,0.615385,[18  9] ; [7 6],[16.875 10.125] ; [8.125 4.875],0
n1,1,0.465209,0.533333,[3 1] ; [2 2],[2.5 1.5] ; [2.5 1.5],0
p9,1,0.475263,0.509713,[20  6] ; [10  5],[19.02439024  6.97560976] ; [10.97560976  4.02439024],0
v4,1,0.481518,0.495424,[25  2] ; [12  2],[24.36585366  2.63414634] ; [12.63414634  1.36585366],0
p3,1,0.495283,0.465029,[15 11] ; [7 8],[13.95121951 12.04878049] ; [8.04878049 6.95121951],0
v3,1,0.524091,0.405835,[12 14] ; [5 9],[11.05 14.95] ; [5.95 8.05],0
p7,1,0.531639,0.391257,[16 10] ; [10  4],[16.9  9.1] ; [9.1 4.9],0
p1,1,0.593549,0.284836,[ 4 23] ; [ 3 11],[ 4.6097561 22.3902439] ; [ 2.3902439 11.6097561],0
s8,1,0.654293,0.200531,[ 9 18] ; [ 4 11],[ 8.35714286 18.64285714] ; [ 4.64285714 10.35714286],0
p4,1,0.657774,0.196239,[14 12] ; [7 8],[13.31707317 12.68292683] ; [7.68292683 7.31707317],0
u1,1,0.665706,0.186667,[ 4 23] ; [ 3 12],[ 4.5 22.5] ; [ 2.5 12.5],0
a6,1,0.665706,0.186667,[18  9] ; [9 6],[17.35714286  9.64285714] ; [9.64285714 5.35714286],0
a2,1,0.665706,0.186667,[ 5 22] ; [ 2 13],[ 4.5 22.5] ; [ 2.5 12.5],0
p12,1,0.686333,0.163083,[ 1 25] ; [ 1 14],[ 1.26829268 24.73170732] ; [ 0.73170732 14.26829268],0
v2,1,0.810309,0.057613,[17 10] ; [10  5],[17.35714286  9.64285714] ; [9.64285714 5.35714286],0
s3,1,0.865053,0.028881,[ 8 18] ; [ 5 10],[ 8.24390244 17.75609756] ; [ 4.75609756 10.24390244],0
r3,1,0.903319,0.014755,[24  2] ; [14  1],[24.09756098  1.90243902] ; [13.90243902  1.09756098],0
r4,1,0.906737,0.013725,[22  5] ; [12  3],[21.85714286  5.14285714] ; [12.14285714  2.85714286],0
a7,1,0.922512,0.009462,[16 10] ; [9 6],[15.85365854 10.14634146] ; [9.14634146 5.85365854],0
p2,1,0.926033,0.008619,[22  4] ; [12  2],[22.1  3.9] ; [11.9  2.1],0
b1,1,0.926608,0.008485,[13 14] ; [7 8],[12.85714286 14.14285714] ; [7.14285714 7.85714286],0
n2,1,1.0,0.0,[3 1] ; [3 1],[3. 1.] ; [3. 1.],0
b4,1,1.0,0.0,[18  9] ; [10  5],[18.  9.] ; [10.  5.],0
