Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,4.9e-05,16.487693,[31  7] ; [56 71],[20.03636364 17.96363636] ; [66.96363636 60.03636364],1
p8,1,0.00032,12.952213,[29 11] ; [52 78],[19.05882353 20.94117647] ; [61.94117647 68.05882353],1
p4,1,0.001317,10.319104,[27 13] ; [51 81],[18.13953488 21.86046512] ; [59.86046512 72.13953488],0
p12,1,0.002068,9.487866,[ 5 35] ; [  2 130],[ 1.62790698 38.37209302] ; [  5.37209302 126.62790698],0
s2,1,0.01699,5.69744,[24 16] ; [51 81],[17.44186047 22.55813953] ; [57.55813953 74.44186047],0
b5,1,0.019607,5.446594,[32  8] ; [79 53],[25.81395349 14.18604651] ; [85.18604651 46.81395349],0
s8,1,0.055251,3.674481,[18 22] ; [38 94],[13.02325581 26.97674419] ; [42.97674419 89.02325581],0
p3,1,0.069348,3.298393,[19 21] ; [42 90],[14.18604651 25.81395349] ; [46.81395349 85.18604651],0
n5,1,0.082088,3.02306,[17 22] ; [38 94],[12.54385965 26.45614035] ; [42.45614035 89.54385965],0
a4,1,0.082246,3.019954,[16 24] ; [34 98],[11.62790698 28.37209302] ; [38.37209302 93.62790698],0
v1,1,0.086162,2.944653,[20 19] ; [46 82],[15.41317365 23.58682635] ; [50.58682635 77.41317365],0
b3,1,0.095949,2.771619,[ 9 11] ; [16 47],[ 6.02409639 13.97590361] ; [18.97590361 44.02409639],0
b2,1,0.095949,2.771619,[ 9 11] ; [16 47],[ 6.02409639 13.97590361] ; [18.97590361 44.02409639],0
a8,1,0.116972,2.457402,[ 3 34] ; [  3 118],[ 1.40506329 35.59493671] ; [  4.59493671 116.40506329],0
b1,1,0.125591,2.346177,[17 23] ; [39 93],[13.02325581 26.97674419] ; [42.97674419 89.02325581],0
s4,1,0.142159,2.154428,[13 27] ; [ 28 104],[ 9.53488372 30.46511628] ; [ 31.46511628 100.53488372],0
u1,1,0.186006,1.748975,[ 7 33] ; [ 13 119],[ 4.65116279 35.34883721] ; [ 15.34883721 116.65116279],0
s7,1,0.188945,1.725823,[17 23] ; [39 86],[13.57575758 26.42424242] ; [42.42424242 82.57575758],0
p5,1,0.205631,1.601923,[ 4 36] ; [  6 124],[ 2.35294118 37.64705882] ; [  7.64705882 122.35294118],0
v3,1,0.210266,1.569597,[ 8 31] ; [38 85],[11.07407407 27.92592593] ; [34.92592593 88.07407407],0
p11,1,0.229367,1.444784,[29 11] ; [82 50],[25.81395349 14.18604651] ; [85.18604651 46.81395349],0
d5,1,0.249108,1.328301,[28 12] ; [104  28],[30.69767442  9.30232558] ; [101.30232558  30.69767442],0
