Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2e-06,22.941682,[ 6 22] ; [78 32],[17.04347826 10.95652174] ; [66.95652174 43.04347826],1
v4,1,0.000273,13.250521,[16 12] ; [96 14],[22.72463768  5.27536232] ; [89.27536232 20.72463768],1
s7,1,0.010949,6.473577,[ 4 22] ; [44 60],[ 9.6 16.4] ; [38.4 65.6],0
d5,1,0.022687,5.192328,[15 13] ; [83 27],[19.88405797  8.11594203] ; [78.11594203 31.88405797],0
v3,1,0.024599,5.051891,[ 5 23] ; [44 64],[10.08823529 17.91176471] ; [38.91176471 69.08823529],0
p6,1,0.027249,4.874946,[ 4 23] ; [39 66],[ 8.79545455 18.20454545] ; [34.20454545 70.79545455],0
a5,1,0.03142,4.629864,[11 17] ; [68 42],[16.02898551 11.97101449] ; [62.97101449 47.02898551],0
p10,1,0.032783,4.557054,[15 12] ; [83 26],[19.45588235  7.54411765] ; [78.54411765 30.45588235],0
d1,1,0.033428,4.523739,[ 7 21] ; [52 58],[11.97101449 16.02898551] ; [47.02898551 62.97101449],0
r3,1,0.047005,3.945197,[18  9] ; [92 18],[21.67883212  5.32116788] ; [88.32116788 21.67883212],0
a3,1,0.051957,3.777142,[13 15] ; [73 37],[17.44927536 10.55072464] ; [68.55072464 41.44927536],0
a4,1,0.05254,3.758484,[ 6 22] ; [45 64],[10.42335766 17.57664234] ; [40.57664234 68.42335766],0
s4,1,0.07689,3.129453,[ 7 21] ; [13 97],[ 4.05797101 23.94202899] ; [15.94202899 94.05797101],0
v1,1,0.077295,3.120883,[ 8 20] ; [50 56],[12.11940299 15.88059701] ; [45.88059701 60.11940299],0
a7,1,0.122522,2.384777,[12 16] ; [65 45],[15.62318841 12.37681159] ; [61.37681159 48.62318841],0
s3,1,0.142102,2.155049,[ 9 18] ; [53 55],[12.4 14.6] ; [49.6 58.4],0
d3,1,0.14918,2.080611,[11 17] ; [60 50],[14.4057971 13.5942029] ; [56.5942029 53.4057971],0
p9,1,0.194342,1.684391,[19  8] ; [89 20],[21.44117647  5.55882353] ; [86.55882353 22.44117647],0
s2,1,0.199739,1.64428,[ 8 20] ; [46 64],[10.95652174 17.04347826] ; [43.04347826 66.95652174],0
d4,1,0.214272,1.542326,[17 11] ; [80 30],[19.68115942  8.31884058] ; [77.31884058 32.68115942],0
n6,1,0.242956,1.363359,[21  7] ; [92 17],[23.09489051  4.90510949] ; [89.90510949 19.09489051],0
p2,1,0.256256,1.288873,[18 10] ; [81 27],[20.38235294  7.61764706] ; [78.61764706 29.38235294],0
s5,1,0.281774,1.158512,[ 4 24] ; [24 77],[ 6.07751938 21.92248062] ; [21.92248062 79.07751938],0
s8,1,0.282787,1.153646,[ 6 22] ; [35 75],[ 8.31884058 19.68115942] ; [32.68115942 77.31884058],0
u3,1,0.284021,1.147748,[ 3 12] ; [13 24],[ 4.61538462 10.38461538] ; [11.38461538 25.61538462],0
p3,1,0.292914,1.106181,[10 18] ; [51 58],[12.46715328 15.53284672] ; [48.53284672 60.46715328],0
b1,1,0.295237,1.095587,[14 14] ; [43 67],[11.56521739 16.43478261] ; [45.43478261 64.56521739],0
p12,1,0.327806,0.957547,[ 3 25] ; [  6 102],[ 1.85294118 26.14705882] ; [  7.14705882 100.85294118],0
b5,1,0.328253,0.955778,[15 13] ; [70 40],[17.24637681 10.75362319] ; [67.75362319 42.24637681],0
a6,1,0.338518,0.916034,[14 14] ; [66 44],[16.23188406 11.76811594] ; [63.76811594 46.23188406],0
a8,1,0.339131,0.913713,[ 4 21] ; [10 96],[ 2.67175573 22.32824427] ; [11.32824427 94.67175573],0
p8,1,0.340456,0.908712,[ 9 19] ; [45 62],[11.2 16.8] ; [42.8 64.2],0
d2,1,0.358702,0.842431,[ 9 19] ; [45 63],[11.11764706 16.88235294] ; [42.88235294 65.11764706],0
p1,1,0.477937,0.503567,[ 2 26] ; [13 97],[ 3.04347826 24.95652174] ; [11.95652174 98.04347826],0
n1,1,0.518871,0.416138,[5 4] ; [13 17],[4.15384615 4.84615385] ; [13.84615385 16.15384615],0
s6,1,0.546624,0.363401,[13 15] ; [56 50],[14.41791045 13.58208955] ; [54.58208955 51.41791045],0
u2,1,0.562262,0.335802,[8 7] ; [16 20],[7.05882353 7.94117647] ; [16.94117647 19.05882353],0
p7,1,0.640462,0.218138,[13 15] ; [56 53],[14.10218978 13.89781022] ; [54.89781022 54.10218978],0
a1,1,0.644022,0.213521,[ 2 26] ; [11 99],[ 2.63768116 25.36231884] ; [10.36231884 99.63768116],0
n5,1,0.663146,0.189725,[23  5] ; [94 16],[23.73913043  4.26086957] ; [93.26086957 16.73913043],0
u1,1,0.685167,0.164367,[ 1 27] ; [  6 104],[ 1.42028986 26.57971014] ; [  5.57971014 104.42028986],0
b4,1,0.716296,0.13207,[16 12] ; [67 43],[16.84057971 11.15942029] ; [66.15942029 43.84057971],0
v2,1,0.722558,0.126055,[13 14] ; [47 59],[12.18045113 14.81954887] ; [47.81954887 58.18045113],0
b2,1,0.763253,0.090728,[ 6 13] ; [24 44],[ 6.55172414 12.44827586] ; [23.44827586 44.55172414],0
b3,1,0.763253,0.090728,[ 6 13] ; [24 44],[ 6.55172414 12.44827586] ; [23.44827586 44.55172414],0
n2,1,0.826955,0.04779,[7 2] ; [23  8],[6.75 2.25] ; [23.25  7.75],0
n3,1,0.826955,0.04779,[7 2] ; [23  8],[6.75 2.25] ; [23.25  7.75],0
p5,1,0.858595,0.031742,[ 3 25] ; [13 96],[ 3.27007299 24.72992701] ; [12.72992701 96.27007299],0
p11,1,0.890753,0.018865,[20  8] ; [80 30],[20.28985507  7.71014493] ; [79.71014493 30.28985507],0
p4,1,0.930407,0.007627,[14 14] ; [55 53],[14.20588235 13.79411765] ; [54.79411765 53.20588235],0
s1,1,0.980262,0.000612,[ 1 27] ; [  4 105],[ 1.02189781 26.97810219] ; [  3.97810219 105.02189781],0
