Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,33.249062,[73 15] ; [12 27],[58.8976378 29.1023622] ; [26.1023622 12.8976378],1
d3,1,0.00054,11.97062,[68 20] ; [18 21],[59.59055118 28.40944882] ; [26.40944882 12.59055118],1
d5,1,0.001149,10.570169,[75 13] ; [23 16],[67.90551181 20.09448819] ; [30.09448819  8.90551181],0
a2,1,0.002656,9.030065,[22 67] ; [ 1 38],[15.9921875 73.0078125] ; [ 7.0078125 31.9921875],0
n5,1,0.043873,4.061445,[40 48] ; [10 28],[34.92063492 53.07936508] ; [15.07936508 22.92063492],0
a5,1,0.046415,3.96646,[64 25] ; [21 18],[59.1015625 29.8984375] ; [25.8984375 13.1015625],0
p2,1,0.068866,3.309849,[66 22] ; [23 16],[61.66929134 26.33070866] ; [27.33070866 11.66929134],0
a8,1,0.075476,3.159722,[11 70] ; [ 1 35],[ 8.30769231 72.69230769] ; [ 3.69230769 32.30769231],0
s3,1,0.077753,3.111261,[41 46] ; [25 14],[45.57142857 41.42857143] ; [20.42857143 18.57142857],0
u1,1,0.080119,3.062485,[11 78] ; [ 1 38],[ 8.34375 80.65625] ; [ 3.65625 35.34375],0
p9,1,0.088124,2.908312,[59 27] ; [20 18],[54.79032258 31.20967742] ; [24.20967742 13.79032258],0
d4,1,0.092132,2.836716,[74 14] ; [27 11],[70.53968254 17.46031746] ; [30.46031746  7.53968254],0
d1,1,0.107075,2.596869,[48 41] ; [15 24],[43.8046875 45.1953125] ; [19.1953125 19.8046875],0
s4,1,0.110517,2.546818,[ 9 80] ; [ 8 31],[11.8203125 77.1796875] ; [ 5.1796875 33.8203125],0
b5,1,0.1383,2.196771,[58 31] ; [20 19],[54.234375 34.765625] ; [23.765625 15.234375],0
s5,1,0.153871,2.033448,[14 71] ; [10 26],[16.85950413 68.14049587] ; [ 7.14049587 28.85950413],0
p12,1,0.170686,1.876906,[ 1 85] ; [ 2 36],[ 2.08064516 83.91935484] ; [ 0.91935484 37.08064516],0
v1,1,0.193674,1.689443,[36 51] ; [21 18],[39.35714286 47.64285714] ; [17.64285714 21.35714286],0
n2,1,0.198349,1.654486,[17 11] ; [12  3],[18.88372093  9.11627907] ; [10.11627907  4.88372093],0
s1,1,0.212866,1.551828,[ 4 83] ; [ 4 34],[ 5.568 81.432] ; [ 2.432 35.568],0
v4,1,0.239718,1.38225,[81  8] ; [31  6],[79.11111111  9.88888889] ; [32.88888889  4.11111111],0
b3,1,0.240205,1.37939,[11 37] ; [ 8 14],[13.02857143 34.97142857] ; [ 5.97142857 16.02857143],0
b2,1,0.240205,1.37939,[11 37] ; [ 8 14],[13.02857143 34.97142857] ; [ 5.97142857 16.02857143],0
r2,1,0.258704,1.27568,[83  6] ; [34  5],[81.3515625  7.6484375] ; [35.6484375  3.3515625],0
b1,1,0.281337,1.160621,[41 48] ; [22 17],[43.8046875 45.1953125] ; [19.1953125 19.8046875],0
u2,1,0.305507,1.05,[20  8] ; [12  2],[21.33333333  6.66666667] ; [10.66666667  3.33333333],0
b4,1,0.319282,0.991885,[51 38] ; [26 13],[53.5390625 35.4609375] ; [23.4609375 15.5390625],0
p10,1,0.347947,0.88093,[53 33] ; [20 18],[50.62903226 35.37096774] ; [22.37096774 15.62903226],0
p8,1,0.383714,0.75877,[38 48] ; [14 25],[35.776 50.224] ; [16.224 22.776],0
a1,1,0.388546,0.743488,[ 2 87] ; [ 2 37],[ 2.78125 86.21875] ; [ 1.21875 37.78125],0
