Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,5e-06,20.89428,[46  8] ; [92 91],[31.44303797 22.55696203] ; [106.55696203  76.44303797],1
s2,1,3.6e-05,17.065455,[36 18] ; [ 63 117],[22.84615385 31.15384615] ; [ 76.15384615 103.84615385],1
s7,1,0.001932,9.613506,[30 21] ; [ 61 115],[20.44493392 30.55506608] ; [ 70.55506608 105.44493392],0
p5,1,0.002093,9.466391,[ 9 45] ; [  8 175],[ 3.87341772 50.12658228] ; [ 13.12658228 169.87341772],0
p12,1,0.002426,9.195878,[10 44] ; [ 10 173],[ 4.55696203 49.44303797] ; [ 15.44303797 167.55696203],0
s3,1,0.00365,8.450222,[34 18] ; [ 77 104],[24.77253219 27.22746781] ; [86.22746781 94.77253219],0
p1,1,0.00716,7.232431,[11 43] ; [ 14 170],[ 5.67226891 48.32773109] ; [ 19.32773109 164.67226891],0
p3,1,0.013687,6.078073,[25 29] ; [ 52 131],[17.5443038 36.4556962] ; [ 59.4556962 123.5443038],0
d2,1,0.017301,5.66557,[35 17] ; [89 94],[27.43829787 24.56170213] ; [96.56170213 86.43829787],0
b4,1,0.025518,4.988391,[41 13] ; [109  75],[34.03361345 19.96638655] ; [115.96638655  68.03361345],0
r4,1,0.029877,4.716363,[48  6] ; [138  46],[42.20168067 11.79831933] ; [143.79831933  40.20168067],0
s1,1,0.035186,4.436144,[ 6 47] ; [  7 176],[ 2.91949153 50.08050847] ; [ 10.08050847 172.91949153],0
s4,1,0.039979,4.218772,[11 41] ; [ 19 164],[ 6.63829787 45.36170213] ; [ 23.36170213 159.63829787],0
n2,1,0.049226,3.86764,[13  1] ; [44 22],[9.975 4.025] ; [47.025 18.975],0
n6,1,0.051828,3.781304,[51  3] ; [154  29],[46.70886076  7.29113924] ; [158.29113924  24.70886076],0
d4,1,0.084418,2.977718,[44  9] ; [131  53],[39.1350211 13.8649789] ; [135.8649789  48.1350211],0
p10,1,0.089767,2.87855,[43 10] ; [126  56],[38.11489362 14.88510638] ; [130.88510638  51.11489362],0
s8,1,0.092081,2.837614,[23 30] ; [ 57 127],[17.89029536 35.10970464] ; [ 62.10970464 121.89029536],0
r1,1,0.09724,2.750238,[43 11] ; [125  59],[38.11764706 15.88235294] ; [129.88235294  54.11764706],0
a3,1,0.099473,2.713976,[42 12] ; [120  62],[37.06779661 16.93220339] ; [124.93220339  57.06779661],0
a4,1,0.115816,2.473007,[30 24] ; [ 79 103],[24.94067797 29.05932203] ; [84.05932203 97.94067797],0
p4,1,0.156135,2.01127,[28 25] ; [ 77 107],[23.48101266 29.51898734] ; [ 81.51898734 102.48101266],0
r2,1,0.177369,1.819533,[51  3] ; [162  22],[48.32773109  5.67226891] ; [164.67226891  19.32773109],0
b1,1,0.183231,1.771223,[26 28] ; [ 70 114],[21.78151261 32.21848739] ; [ 74.21848739 109.78151261],0
d1,1,0.194181,1.685611,[33 21] ; [94 90],[28.81512605 25.18487395] ; [98.18487395 85.81512605],0
n4,1,0.198693,1.651952,[49  5] ; [154  30],[46.05882353  7.94117647] ; [156.94117647  27.05882353],0
p6,1,0.20595,1.599666,[11 42] ; [ 25 158],[ 8.08474576 44.91525424] ; [ 27.91525424 155.08474576],0
a5,1,0.240151,1.37971,[42 12] ; [128  56],[38.57142857 15.42857143] ; [131.42857143  52.57142857],0
n1,1,0.24511,1.350961,[8 5] ; [29 37],[6.08860759 6.91139241] ; [30.91139241 35.08860759],0
d3,1,0.245434,1.349106,[37 17] ; [110  74],[33.35294118 20.64705882] ; [113.64705882  70.35294118],0
d5,1,0.303742,1.057693,[42 12] ; [130  54],[39.02521008 14.97478992] ; [132.97478992  51.02521008],0
a2,1,0.309896,1.03112,[15 39] ; [ 39 145],[12.25210084 41.74789916] ; [ 41.74789916 142.25210084],0
b5,1,0.341582,0.904484,[37 17] ; [113  71],[34.03361345 19.96638655] ; [115.96638655  68.03361345],0
v4,1,0.349732,0.874428,[49  5] ; [158  26],[46.96638655  7.03361345] ; [160.03361345  23.96638655],0
p8,1,0.381589,0.765577,[11 43] ; [ 48 135],[13.44303797 40.55696203] ; [ 45.55696203 137.44303797],0
v1,1,0.410444,0.677515,[26 28] ; [ 74 103],[23.37662338 30.62337662] ; [ 76.62337662 100.37662338],0
u1,1,0.425742,0.634412,[11 43] ; [ 29 155],[ 9.07563025 44.92436975] ; [ 30.92436975 153.07563025],0
b2,1,0.453782,0.561187,[12 24] ; [42 62],[13.88571429 22.11428571] ; [40.11428571 63.88571429],0
b3,1,0.453782,0.561187,[12 24] ; [42 62],[13.88571429 22.11428571] ; [40.11428571 63.88571429],0
