Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.0,31.318007,[31 55] ; [70 20],[49.35227273 36.64772727] ; [51.64772727 38.35227273],1
a6,1,9e-06,19.616334,[39 47] ; [70 20],[53.26136364 32.73863636] ; [55.73863636 34.26136364],1
a4,1,4.5e-05,16.63416,[11 75] ; [36 54],[22.96590909 63.03409091] ; [24.03409091 65.96590909],1
v1,1,0.001105,10.643045,[21 62] ; [44 45],[31.36627907 51.63372093] ; [33.63372093 55.36627907],0
d2,1,0.001315,10.321034,[17 69] ; [38 52],[26.875 59.125] ; [28.125 61.875],0
d5,1,0.002797,8.935156,[47 38] ; [69 21],[56.34285714 28.65714286] ; [59.65714286 30.34285714],0
p4,1,0.005459,7.720588,[25 60] ; [45 45],[34. 51.] ; [36. 54.],0
v2,1,0.005831,7.601745,[27 55] ; [45 38],[35.78181818 46.21818182] ; [36.21818182 46.78181818],0
d1,1,0.0071,7.247522,[25 61] ; [44 46],[33.71590909 52.28409091] ; [35.28409091 54.71590909],0
u1,1,0.020809,5.342745,[ 2 84] ; [10 80],[ 5.86363636 80.13636364] ; [ 6.13636364 83.86363636],0
p3,1,0.027839,4.837993,[18 68] ; [32 57],[24.57142857 61.42857143] ; [25.42857143 63.57142857],0
d4,1,0.038164,4.297716,[54 31] ; [70 20],[60.22857143 24.77142857] ; [63.77142857 26.22857143],0
d3,1,0.05483,3.687261,[47 37] ; [63 27],[53.10344828 30.89655172] ; [56.89655172 33.10344828],0
b3,1,0.056093,3.649299,[ 6 32] ; [16 31],[ 9.83529412 28.16470588] ; [12.16470588 34.83529412],0
b2,1,0.056093,3.649299,[ 6 32] ; [16 31],[ 9.83529412 28.16470588] ; [12.16470588 34.83529412],0
s7,1,0.065235,3.399036,[15 68] ; [26 60],[20.13609467 62.86390533] ; [20.86390533 65.13609467],0
p9,1,0.073026,3.213666,[52 31] ; [67 22],[57.4244186 25.5755814] ; [61.5755814 27.4244186],0
p8,1,0.079438,3.076361,[29 56] ; [42 47],[34.68390805 50.31609195] ; [36.31609195 52.68390805],0
p1,1,0.088249,2.906033,[ 5 81] ; [ 1 88],[ 2.94857143 83.05142857] ; [ 3.05142857 85.94857143],0
p10,1,0.094627,2.793838,[46 37] ; [61 29],[51.33526012 31.66473988] ; [55.66473988 34.33526012],0
r1,1,0.099851,2.707924,[51 35] ; [64 26],[56.19318182 29.80681818] ; [58.80681818 31.19318182],0
b4,1,0.120597,2.409551,[53 33] ; [45 45],[47.88636364 38.11363636] ; [50.11363636 39.88636364],0
r4,1,0.120614,2.409332,[59 27] ; [71 19],[63.52272727 22.47727273] ; [66.47727273 23.52272727],0
p6,1,0.13245,2.263553,[20 64] ; [13 75],[16.11627907 67.88372093] ; [16.88372093 71.11627907],0
p7,1,0.151728,2.054794,[38 44] ; [51 38],[42.67836257 39.32163743] ; [46.32163743 42.67836257],0
s6,1,0.175895,1.831972,[32 53] ; [43 47],[36.42857143 48.57142857] ; [38.57142857 51.42857143],0
