Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b5,1,0.0,30.820357,[10 29] ; [71 21],[24.11450382 14.88549618] ; [56.88549618 35.11450382],1
a6,1,3.9e-05,16.905876,[14 25] ; [68 24],[24.41221374 14.58778626] ; [57.58778626 34.41221374],1
d3,1,0.000977,10.871341,[26 13] ; [83  9],[32.45038168  6.54961832] ; [76.54961832 15.45038168],1
a2,1,0.003145,8.721271,[ 2 37] ; [26 66],[ 8.33587786 30.66412214] ; [19.66412214 72.33587786],0
b1,1,0.003319,8.62305,[23 16] ; [29 63],[15.48091603 23.51908397] ; [36.51908397 55.48091603],0
u1,1,0.004341,8.135322,[ 2 37] ; [25 67],[ 8.03816794 30.96183206] ; [18.96183206 73.03816794],0
b4,1,0.015434,5.866291,[17 22] ; [61 31],[23.22137405 15.77862595] ; [54.77862595 37.22137405],0
p3,1,0.018286,5.568498,[27 12] ; [43 49],[20.83969466 18.16030534] ; [49.16030534 42.83969466],0
n1,1,0.039784,4.227053,[8 7] ; [ 4 16],[5.14285714 9.85714286] ; [ 6.85714286 13.14285714],0
v4,1,0.043034,4.094054,[35  4] ; [90  2],[37.21374046  1.78625954] ; [87.78625954  4.21374046],0
p2,1,0.087662,2.916796,[27 12] ; [76 16],[30.66412214  8.33587786] ; [72.33587786 19.66412214],0
v2,1,0.114325,2.493396,[16 23] ; [50 39],[20.109375 18.890625] ; [45.890625 43.109375],0
p7,1,0.118401,2.43835,[28 10] ; [52 36],[24.12698413 13.87301587] ; [55.87301587 32.12698413],0
a1,1,0.13173,2.272002,[ 3 36] ; [ 2 90],[ 1.48854962 37.51145038] ; [ 3.51145038 88.48854962],0
p9,1,0.13935,2.185126,[30  8] ; [80 10],[32.65625  5.34375] ; [77.34375 12.65625],0
s7,1,0.140663,2.170686,[25 10] ; [52 39],[21.38888889 13.61111111] ; [55.61111111 35.38888889],0
p1,1,0.145484,2.118972,[ 5 34] ; [ 5 87],[ 2.97709924 36.02290076] ; [ 7.02290076 84.97709924],0
r2,1,0.188149,1.732053,[34  4] ; [87  4],[35.64341085  2.35658915] ; [85.35658915  5.64341085],0
n6,1,0.224728,1.473923,[29 10] ; [76 15],[31.5  7.5] ; [73.5 17.5],0
d2,1,0.226054,1.46552,[24 15] ; [46 46],[20.83969466 18.16030534] ; [49.16030534 42.83969466],0
u2,1,0.237884,1.393092,[7 3] ; [12 13],[5.42857143 4.57142857] ; [13.57142857 11.42857143],0
s5,1,0.240533,1.37747,[23 14] ; [42 41],[20.04166667 16.95833333] ; [44.95833333 38.04166667],0
d5,1,0.241231,1.373386,[36  3] ; [78 14],[33.9389313  5.0610687] ; [80.0610687 11.9389313],0
s2,1,0.257884,1.280082,[25 14] ; [68 24],[27.6870229 11.3129771] ; [65.3129771 26.6870229],0
s1,1,0.27369,1.198157,[ 3 36] ; [ 3 88],[ 1.8 37.2] ; [ 4.2 86.8],0
a8,1,0.301507,1.067518,[ 1 38] ; [ 6 77],[ 2.23770492 36.76229508] ; [ 4.76229508 78.23770492],0
u3,1,0.356981,0.848485,[8 2] ; [16  9],[6.85714286 3.14285714] ; [17.14285714  7.85714286],0
v3,1,0.375116,0.786645,[14 24] ; [26 64],[11.875 26.125] ; [28.125 61.875],0
n5,1,0.441897,0.591351,[24 15] ; [63 29],[25.90076336 13.09923664] ; [61.09923664 30.90076336],0
r3,1,0.483786,0.490317,[35  4] ; [84  6],[35.97674419  3.02325581] ; [83.02325581  6.97674419],0
p10,1,0.536543,0.381984,[30  8] ; [76 15],[31.2248062  6.7751938] ; [74.7751938 16.2248062],0
p8,1,0.547606,0.361624,[21 17] ; [44 45],[19.4488189 18.5511811] ; [45.5511811 43.4488189],0
n3,1,0.589154,0.291667,[10  5] ; [15  5],[10.71428571  4.28571429] ; [14.28571429  5.71428571],0
