Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,36.665507,[71 19] ; [ 3 21],[58.42105263 31.57894737] ; [15.57894737  8.42105263],1
d5,1,0.000216,13.685079,[73 17] ; [11 14],[65.73913043 24.26086957] ; [18.26086957  6.73913043],1
s3,1,0.006026,7.542619,[52 36] ; [ 7 18],[45.94690265 42.05309735] ; [13.05309735 11.94690265],0
n5,1,0.010871,6.486217,[37 52] ; [17  7],[42.53097345 46.46902655] ; [11.46902655 12.53097345],0
r4,1,0.014502,5.975942,[72 18] ; [14 11],[67.30434783 22.69565217] ; [18.69565217  6.30434783],0
p1,1,0.02336,5.141534,[ 5 85] ; [ 5 20],[ 7.82608696 82.17391304] ; [ 2.17391304 22.82608696],0
a7,1,0.030959,4.655218,[67 23] ; [13 12],[62.60869565 27.39130435] ; [17.39130435  7.60869565],0
p8,1,0.034347,4.477346,[32 56] ; [15 10],[36.60176991 51.39823009] ; [10.39823009 14.60176991],0
b1,1,0.037167,4.342744,[40 50] ; [17  8],[44.60869565 45.39130435] ; [12.39130435 12.60869565],0
s2,1,0.037975,4.306149,[42 47] ; [ 6 19],[37.47368421 51.52631579] ; [10.52631579 14.47368421],0
r3,1,0.040939,4.178532,[82  8] ; [19  6],[79.04347826 10.95652174] ; [21.95652174  3.04347826],0
r1,1,0.045597,3.996404,[65 24] ; [13 12],[60.89473684 28.10526316] ; [17.10526316  7.89473684],0
s5,1,0.053996,3.712819,[23 62] ; [ 2 22],[19.49541284 65.50458716] ; [ 5.50458716 18.49541284],0
b4,1,0.114668,2.488672,[52 38] ; [10 15],[48.52173913 41.47826087] ; [13.47826087 11.52173913],0
d2,1,0.200702,1.637259,[34 56] ; [ 6 19],[31.30434783 58.69565217] ; [ 8.69565217 16.30434783],0
a8,1,0.212585,1.553731,[ 7 76] ; [ 4 19],[ 8.61320755 74.38679245] ; [ 2.38679245 20.61320755],0
a3,1,0.228493,1.450217,[62 28] ; [14 11],[59.47826087 30.52173913] ; [16.52173913  8.47826087],0
s4,1,0.233927,1.416826,[16 74] ; [ 2 23],[14.08695652 75.91304348] ; [ 3.91304348 21.08695652],0
a5,1,0.2574,1.282686,[58 32] ; [13 12],[55.56521739 34.43478261] ; [15.43478261  9.56521739],0
v4,1,0.269951,1.216993,[82  8] ; [20  4],[80.52631579  9.47368421] ; [21.47368421  2.52631579],0
b5,1,0.289226,1.123222,[64 26] ; [15 10],[61.82608696 28.17391304] ; [17.17391304  7.82608696],0
u3,1,0.351055,0.86964,[19  8] ; [6 5],[17.76315789  9.23684211] ; [7.23684211 3.76315789],0
s7,1,0.352974,0.862735,[34 52] ; [ 7 17],[32.05454545 53.94545455] ; [ 8.94545455 15.05454545],0
r2,1,0.371809,0.797609,[80  9] ; [20  4],[78.76106195 10.23893805] ; [21.23893805  2.76106195],0
n3,1,0.412215,0.672404,[19  8] ; [6 1],[19.85294118  7.14705882] ; [5.14705882 1.85294118],0
p5,1,0.503828,0.446865,[ 7 82] ; [ 1 24],[ 6.24561404 82.75438596] ; [ 1.75438596 23.24561404],0
s8,1,0.595571,0.281728,[34 56] ; [ 8 17],[32.86956522 57.13043478] ; [ 9.13043478 15.86956522],0
s6,1,0.606178,0.265778,[52 38] ; [13 12],[50.86956522 39.13043478] ; [14.13043478 10.86956522],0
v3,1,0.614356,0.253881,[22 60] ; [ 8 17],[22.99065421 59.00934579] ; [ 7.00934579 17.99065421],0
v2,1,0.615132,0.252769,[41 42] ; [10 13],[39.93396226 43.06603774] ; [11.06603774 11.93396226],0
a1,1,0.651103,0.204512,[ 5 85] ; [ 2 23],[ 5.47826087 84.52173913] ; [ 1.52173913 23.47826087],0
p4,1,0.667469,0.184577,[43 45] ; [11 14],[42.05309735 45.94690265] ; [11.94690265 13.05309735],0
p2,1,0.67248,0.178715,[67 21] ; [18  7],[66.19469027 21.80530973] ; [18.80530973  6.19469027],0
p6,1,0.716662,0.131713,[21 65] ; [ 7 18],[21.69369369 64.30630631] ; [ 6.30630631 18.69369369],0
a4,1,0.741243,0.109037,[32 58] ; [ 8 17],[31.30434783 58.69565217] ; [ 8.69565217 16.30434783],0
p11,1,0.764885,0.089444,[62 28] ; [18  7],[62.60869565 27.39130435] ; [17.39130435  7.60869565],0
n2,1,0.793488,0.068531,[22  5] ; [6 1],[22.23529412  4.76470588] ; [5.76470588 1.23529412],0
a6,1,0.819341,0.052163,[59 31] ; [17  8],[59.47826087 30.52173913] ; [16.52173913  8.47826087],0
n4,1,0.859558,0.031307,[45 45] ; [13 12],[45.39130435 44.60869565] ; [12.60869565 12.39130435],0
p3,1,0.870405,0.026616,[34 55] ; [10 15],[34.35087719 54.64912281] ; [ 9.64912281 15.35087719],0
v1,1,0.881071,0.022384,[42 45] ; [12 12],[42.32432432 44.67567568] ; [11.67567568 12.32432432],0
p10,1,0.883834,0.021348,[70 19] ; [20  5],[70.26315789 18.73684211] ; [19.73684211  5.26315789],0
s1,1,0.887791,0.019909,[ 3 85] ; [ 1 24],[ 3.11504425 84.88495575] ; [ 0.88495575 24.11504425],0
b2,1,0.891541,0.018593,[15 37] ; [4 9],[15.2 36.8] ; [3.8 9.2],0
b3,1,0.891541,0.018593,[15 37] ; [4 9],[15.2 36.8] ; [3.8 9.2],0
p7,1,0.913008,0.011935,[46 38] ; [14 11],[46.23853211 37.76146789] ; [13.76146789 11.23853211],0
u2,1,0.931859,0.007311,[20  7] ; [8 3],[19.89473684  7.10526316] ; [8.10526316 2.89473684],0
n1,1,0.939919,0.005681,[12 15] ; [3 4],[11.91176471 15.08823529] ; [3.08823529 3.91176471],0
a2,1,0.956852,0.002927,[14 76] ; [ 4 21],[14.08695652 75.91304348] ; [ 3.91304348 21.08695652],0
