Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,6e-06,20.623683,[ 5 11] ; [81 16],[12.17699115  3.82300885] ; [73.82300885 23.17699115],1
n6,1,2e-05,18.18658,[ 3 12] ; [73 24],[10.17857143  4.82142857] ; [65.82142857 31.17857143],1
r2,1,0.000436,12.371977,[10  6] ; [90  7],[14.15929204  1.84070796] ; [85.84070796 11.15929204],1
r3,1,0.001,10.827675,[10  6] ; [89  8],[14.01769912  1.98230088] ; [84.98230088 12.01769912],0
p2,1,0.001018,10.79377,[ 4 12] ; [66 31],[9.91150442 6.08849558] ; [60.08849558 36.91150442],0
u3,1,0.021998,5.245924,[1 5] ; [22 11],[3.53846154 2.46153846] ; [19.46153846 13.53846154],0
s1,1,0.025675,4.977778,[ 3 13] ; [ 4 92],[ 1. 15.] ; [ 6. 90.],0
n3,1,0.028795,4.779798,[3 6] ; [24  9],[5.78571429 3.21428571] ; [21.21428571 11.78571429],0
p11,1,0.033961,4.496657,[ 4 12] ; [52 45],[7.92920354 8.07079646] ; [48.07079646 48.92920354],0
p10,1,0.038519,4.281959,[ 1 15] ; [30 66],[ 4.42857143 11.57142857] ; [26.57142857 69.42857143],0
r1,1,0.044401,4.041229,[9 7] ; [77 20],[12.17699115  3.82300885] ; [73.82300885 23.17699115],0
a1,1,0.04948,3.858978,[ 3 13] ; [ 5 92],[ 1.13274336 14.86725664] ; [ 6.86725664 90.13274336],0
p3,1,0.076563,3.136398,[ 2 14] ; [33 62],[ 5.04504505 10.95495495] ; [29.95495495 65.04504505],0
s2,1,0.089012,2.892155,[ 2 14] ; [32 63],[ 4.9009009 11.0990991] ; [29.0990991 65.9009009],0
v1,1,0.132831,2.259107,[ 3 13] ; [37 60],[ 5.66371681 10.33628319] ; [34.33628319 62.66371681],0
s3,1,0.137494,2.205783,[ 4 12] ; [43 53],[6.71428571 9.28571429] ; [40.28571429 55.71428571],0
s6,1,0.142426,2.151554,[ 5 11] ; [49 47],[7.71428571 8.28571429] ; [46.28571429 49.71428571],0
s7,1,0.164139,1.935674,[ 2 12] ; [30 62],[4.22641509 9.77358491] ; [27.77358491 64.22641509],0
a8,1,0.190014,1.717511,[ 3 13] ; [ 7 79],[ 1.56862745 14.43137255] ; [ 8.43137255 77.56862745],0
