Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.006725,7.345079,[ 2 15] ; [15 14],[ 6.2826087 10.7173913] ; [10.7173913 18.2826087],0
d1,1,0.015254,5.886891,[ 2 15] ; [14 16],[ 5.78723404 11.21276596] ; [10.21276596 19.78723404],0
n1,1,0.053019,3.743316,[3 8] ; [11  6],[5.5 5.5] ; [8.5 8.5],0
a3,1,0.057639,3.60405,[7 9] ; [21  8],[9.95555556 6.04444444] ; [18.04444444 10.95555556],0
v4,1,0.064162,3.426392,[ 6 11] ; [19 11],[9.04255319 7.95744681] ; [15.95744681 14.04255319],0
a5,1,0.071975,3.237387,[ 5 12] ; [17 13],[7.95744681 9.04255319] ; [14.04255319 15.95744681],0
p7,1,0.087912,2.912193,[ 6 11] ; [ 4 25],[ 3.69565217 13.30434783] ; [ 6.30434783 22.69565217],0
b5,1,0.089454,2.884168,[10  7] ; [10 20],[7.23404255 9.76595745] ; [12.76595745 17.23404255],0
p10,1,0.09545,2.779965,[ 3 13] ; [13 17],[ 5.56521739 10.43478261] ; [10.43478261 19.56521739],0
v3,1,0.103225,2.654995,[ 2 15] ; [10 20],[ 4.34042553 12.65957447] ; [ 7.65957447 22.34042553],0
p9,1,0.104631,2.633498,[ 3 12] ; [13 16],[5.45454545 9.54545455] ; [10.54545455 18.45454545],0
n2,1,0.141929,2.156918,[4 7] ; [11  6],[5.89285714 5.10714286] ; [9.10714286 7.89285714],0
r1,1,0.17016,1.881536,[ 5 12] ; [15 15],[7.23404255 9.76595745] ; [12.76595745 17.23404255],0
p4,1,0.178283,1.811879,[ 5 12] ; [ 4 26],[ 3.25531915 13.74468085] ; [ 5.74468085 24.25531915],0
a4,1,0.189115,1.7245,[ 4 13] ; [12 16],[ 6.04444444 10.95555556] ; [ 9.95555556 18.04444444],0
p1,1,0.191477,1.706218,[ 1 16] ; [ 6 24],[ 2.53191489 14.46808511] ; [ 4.46808511 25.53191489],0
d5,1,0.213992,1.544214,[ 7 10] ; [18 12],[9.04255319 7.95744681] ; [15.95744681 14.04255319],0
a7,1,0.233698,1.41821,[ 6 11] ; [16 14],[7.95744681 9.04255319] ; [14.04255319 15.95744681],0
n4,1,0.242205,1.367716,[9 8] ; [21  9],[10.85106383  6.14893617] ; [19.14893617 10.85106383],0
v1,1,0.248024,1.334398,[ 3 14] ; [10 20],[ 4.70212766 12.29787234] ; [ 8.29787234 21.70212766],0
