Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,3.9e-05,16.926435,[ 3 13] ; [23  5],[9.45454545 6.54545455] ; [16.54545455 11.45454545],1
n4,1,0.000944,10.934315,[ 4 12] ; [22  7],[9.24444444 6.75555556] ; [16.75555556 12.24444444],1
d2,1,0.012172,6.285714,[ 4 12] ; [18 10],[8. 8.] ; [14. 14.],0
v2,1,0.021421,5.292173,[ 1 15] ; [11 18],[ 4.26666667 11.73333333] ; [ 7.73333333 21.26666667],0
a6,1,0.027411,4.864724,[ 5 11] ; [19 10],[8.53333333 7.46666667] ; [15.46666667 13.53333333],0
u3,1,0.048328,3.898526,[5 1] ; [2 5],[3.23076923 2.76923077] ; [3.76923077 3.23076923],0
a5,1,0.078127,3.103448,[8 8] ; [22  7],[10.66666667  5.33333333] ; [19.33333333  9.66666667],0
n2,1,0.081277,3.039183,[2 5] ; [9 4],[3.85 3.15] ; [7.15 5.85],0
s5,1,0.096264,2.766369,[ 2 14] ; [10 18],[ 4.36363636 11.63636364] ; [ 7.63636364 20.36363636],0
d1,1,0.098376,2.731681,[7 9] ; [20  9],[9.6 6.4] ; [17.4 11.6],0
s3,1,0.104631,2.633498,[ 3 12] ; [13 16],[5.45454545 9.54545455] ; [10.54545455 18.45454545],0
p4,1,0.104698,2.632479,[ 4 12] ; [14 14],[6.54545455 9.45454545] ; [11.45454545 16.54545455],0
p6,1,0.132999,2.257143,[ 1 15] ; [ 7 22],[ 2.84444444 13.15555556] ; [ 5.15555556 23.84444444],0
d5,1,0.161097,1.963901,[11  5] ; [25  4],[12.8  3.2] ; [23.2  5.8],0
s8,1,0.166091,1.917873,[ 2 14] ; [ 9 20],[ 3.91111111 12.08888889] ; [ 7.08888889 21.91111111],0
u2,1,0.169583,1.886621,[4 2] ; [2 5],[2.76923077 3.23076923] ; [3.23076923 3.76923077],0
p9,1,0.185867,1.750075,[7 9] ; [18 10],[9.09090909 6.90909091] ; [15.90909091 12.09090909],0
p10,1,0.236489,1.401401,[7 9] ; [18 11],[8.88888889 7.11111111] ; [16.11111111 12.88888889],0
r4,1,0.243926,1.357759,[ 2 14] ; [ 8 21],[ 3.55555556 12.44444444] ; [ 6.44444444 22.55555556],0
n3,1,0.250829,1.318681,[4 3] ; [4 9],[2.8 4.2] ; [5.2 7.8],0
r2,1,0.269538,1.219095,[8 7] ; [19  8],[9.64285714 5.35714286] ; [17.35714286  9.64285714],0
v4,1,0.27088,1.212284,[9 7] ; [21  8],[10.66666667  5.33333333] ; [19.33333333  9.66666667],0
p8,1,0.271874,1.207268,[ 4 12] ; [12 17],[ 5.68888889 10.31111111] ; [10.31111111 18.68888889],0
p11,1,0.271874,1.207268,[ 4 12] ; [12 17],[ 5.68888889 10.31111111] ; [10.31111111 18.68888889],0
a3,1,0.343814,0.896158,[10  6] ; [22  7],[11.37777778  4.62222222] ; [20.62222222  8.37777778],0
s2,1,0.372382,0.795699,[ 3 13] ; [ 9 20],[ 4.26666667 11.73333333] ; [ 7.73333333 21.26666667],0
b1,1,0.37841,0.775862,[12  4] ; [18 11],[10.66666667  5.33333333] ; [19.33333333  9.66666667],0
v1,1,0.393669,0.72758,[7 9] ; [ 9 20],[ 5.68888889 10.31111111] ; [10.31111111 18.68888889],0
s7,1,0.418408,0.654782,[ 3 10] ; [10 18],[4.12195122 8.87804878] ; [ 8.87804878 19.12195122],0
a7,1,0.486205,0.484914,[10  6] ; [15 14],[8.88888889 7.11111111] ; [16.11111111 12.88888889],0
s6,1,0.5023,0.450073,[ 5 11] ; [12 17],[6.04444444 9.95555556] ; [10.95555556 18.04444444],0
d3,1,0.510704,0.432624,[12  4] ; [19 10],[11.02222222  4.97777778] ; [19.97777778  9.02222222],0
s1,1,0.644053,0.21348,[ 1 15] ; [ 3 26],[ 1.42222222 14.57777778] ; [ 2.57777778 26.42222222],0
b2,1,0.659658,0.193939,[2 6] ; [ 8 16],[2.5 5.5] ; [ 7.5 16.5],0
b3,1,0.659658,0.193939,[2 6] ; [ 8 16],[2.5 5.5] ; [ 7.5 16.5],0
a2,1,0.674429,0.176465,[ 2 14] ; [ 5 24],[ 2.48888889 13.51111111] ; [ 4.51111111 24.48888889],0
p3,1,0.728083,0.120879,[ 6 10] ; [12 16],[6.54545455 9.45454545] ; [11.45454545 16.54545455],0
s4,1,0.739193,0.110837,[ 4 12] ; [ 6 23],[ 3.55555556 12.44444444] ; [ 6.44444444 22.55555556],0
v3,1,0.739193,0.110837,[ 4 12] ; [ 6 23],[ 3.55555556 12.44444444] ; [ 6.44444444 22.55555556],0
n1,1,0.84822,0.03663,[3 4] ; [5 8],[2.8 4.2] ; [5.2 7.8],0
a4,1,0.863711,0.029464,[7 9] ; [13 15],[7.27272727 8.72727273] ; [12.72727273 15.27272727],0
p2,1,0.863711,0.029464,[7 9] ; [13 15],[7.27272727 8.72727273] ; [12.72727273 15.27272727],0
b5,1,0.87751,0.023755,[9 7] ; [17 12],[9.24444444 6.75555556] ; [16.75555556 12.24444444],0
r1,1,0.911811,0.012267,[8 8] ; [14 15],[7.82222222 8.17777778] ; [14.17777778 14.82222222],0
p7,1,0.933546,0.006953,[ 5 10] ; [ 9 17],[5.12195122 9.87804878] ; [ 8.87804878 17.12195122],0
b4,1,0.977225,0.000815,[10  6] ; [18 11],[9.95555556 6.04444444] ; [18.04444444 10.95555556],0
