Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,62.361757,[114  60] ; [ 3 54],[88.12987013 85.87012987] ; [28.87012987 28.12987013],1
d3,1,1e-06,24.517659,[124  49] ; [20 37],[108.31304348  64.68695652] ; [35.68695652 21.31304348],1
n4,1,2e-06,23.066844,[141  32] ; [28 29],[127.1173913  45.8826087] ; [41.8826087 15.1173913],1
d4,1,5e-06,20.891181,[146  28] ; [31 26],[133.32467532  40.67532468] ; [43.67532468 13.32467532],1
r4,1,6e-06,20.559826,[162  12] ; [40 17],[152.15584416  21.84415584] ; [49.84415584  7.15584416],1
a5,1,1.1e-05,19.340853,[131  43] ; [25 32],[117.50649351  56.49350649] ; [38.49350649 18.50649351],1
r3,1,7.4e-05,15.695825,[167   6] ; [46 11],[160.21304348  12.78695652] ; [52.78695652  4.21304348],1
n5,1,7.6e-05,15.660859,[136  38] ; [29 28],[124.28571429  49.71428571] ; [40.71428571 16.28571429],1
r1,1,0.000205,13.780971,[139  33] ; [32 25],[128.43668122  43.56331878] ; [42.56331878 14.43668122],1
r2,1,0.000335,12.863915,[163   9] ; [45 12],[156.22707424  15.77292576] ; [51.77292576  5.22707424],1
p10,1,0.00043,12.397116,[144  29] ; [34 22],[134.47161572  38.52838428] ; [43.52838428 12.47161572],1
a4,1,0.000456,12.287051,[80 94] ; [11 45],[ 68.84347826 105.15652174] ; [22.15652174 33.84347826],1
n6,1,0.00112,10.617424,[151  22] ; [39 18],[142.91304348  30.08695652] ; [47.08695652  9.91304348],0
a3,1,0.002842,8.90647,[124  49] ; [28 28],[114.82969432  58.17030568] ; [37.17030568 18.82969432],0
d2,1,0.004579,8.038805,[83 91] ; [15 42],[ 73.81818182 100.18181818] ; [24.18181818 32.81818182],0
u1,1,0.007152,7.234515,[ 26 148] ; [ 1 56],[ 20.33766234 153.66233766] ; [ 6.66233766 50.33766234],0
p9,1,0.007241,7.212156,[145  27] ; [38 18],[138.05263158  33.94736842] ; [44.94736842 11.05263158],0
