Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,3e-06,21.629922,[45 71] ; [76 33],[62.38222222 53.61777778] ; [58.61777778 50.38222222],1
p4,1,1.5e-05,18.718223,[43 78] ; [71 40],[59.45689655 61.54310345] ; [54.54310345 56.45689655],1
p3,1,0.000325,12.92127,[40 83] ; [62 49],[53.61538462 69.38461538] ; [48.38461538 62.61538462],1
r1,1,0.000415,12.46393,[74 49] ; [91 21],[86.36170213 36.63829787] ; [78.63829787 33.36170213],1
v3,1,0.000598,11.781653,[31 88] ; [51 55],[43.36888889 75.63111111] ; [38.63111111 67.36888889],1
n5,1,0.001169,10.538611,[75 46] ; [91 21],[86.20600858 34.79399142] ; [79.79399142 32.20600858],0
p2,1,0.003735,8.408508,[90 31] ; [99 12],[98.57327586 22.42672414] ; [90.42672414 20.57327586],0
p5,1,0.004968,7.891163,[  3 119] ; [13 97],[  8.4137931 113.5862069] ; [  7.5862069 102.4137931],0
s5,1,0.009388,6.747485,[  8 109] ; [20 90],[ 14.43171806 102.56828194] ; [13.56828194 96.43171806],0
p8,1,0.009839,6.663772,[52 70] ; [65 44],[61.79220779 60.20779221] ; [55.20779221 53.79220779],0
s8,1,0.0103,6.582197,[ 20 103] ; [34 78],[28.26382979 94.73617021] ; [25.73617021 86.26382979],0
p10,1,0.011456,6.393118,[98 24] ; [102   9],[104.72103004  17.27896996] ; [95.27896996 15.72103004],0
p11,1,0.01675,5.722416,[94 29] ; [99 13],[101.01702128  21.98297872] ; [91.98297872 20.01702128],0
a5,1,0.023374,5.140498,[74 49] ; [83 29],[82.17446809 40.82553191] ; [74.82553191 37.17446809],0
p7,1,0.042291,4.123528,[62 58] ; [72 39],[69.61038961 50.38961039] ; [64.38961039 46.61038961],0
p6,1,0.04328,4.08443,[28 92] ; [39 71],[34.95652174 85.04347826] ; [32.04347826 77.95652174],0
n4,1,0.064921,3.406978,[81 42] ; [86 26],[87.40851064 35.59148936] ; [79.59148936 32.40851064],0
u3,1,0.102236,2.670314,[17 25] ; [18 12],[20.41666667 21.58333333] ; [14.58333333 15.41666667],0
b3,1,0.107024,2.597628,[24 43] ; [36 37],[28.71428571 38.28571429] ; [31.28571429 41.71428571],0
b2,1,0.107024,2.597628,[24 43] ; [36 37],[28.71428571 38.28571429] ; [31.28571429 41.71428571],0
u1,1,0.132973,2.257443,[ 10 113] ; [16 96],[ 13.60851064 109.39148936] ; [12.39148936 99.60851064],0
a1,1,0.148297,2.089685,[  3 120] ; [  7 105],[  5.23404255 117.76595745] ; [  4.76595745 107.23404255],0
a4,1,0.158319,1.990208,[47 76] ; [53 59],[52.34042553 70.65957447] ; [47.65957447 64.34042553],0
r4,1,0.170864,1.875349,[97 26] ; [96 16],[101.01702128  21.98297872] ; [91.98297872 20.01702128],0
n6,1,0.172128,1.864311,[93 30] ; [92 19],[97.24358974 25.75641026] ; [87.75641026 23.24358974],0
d2,1,0.176638,1.825684,[46 76] ; [52 60],[51.09401709 70.90598291] ; [46.90598291 65.09401709],0
a3,1,0.182678,1.775702,[81 42] ; [82 29],[85.67948718 37.32051282] ; [77.32051282 33.67948718],0
d1,1,0.194926,1.679992,[61 62] ; [65 47],[65.94893617 57.05106383] ; [60.05106383 51.94893617],0
v4,1,0.315729,1.006556,[110  12] ; [105   7],[112.09401709   9.90598291] ; [102.90598291   9.09401709],0
d3,1,0.327599,0.958366,[83 38] ; [70 42],[79.45493562 41.54506438] ; [73.54506438 38.45493562],0
d5,1,0.32896,0.952986,[88 34] ; [87 25],[91.23931624 30.76068376] ; [83.76068376 28.23931624],0
r2,1,0.378065,0.776983,[107  14] ; [102   9],[109.00431034  11.99568966] ; [99.99568966 11.00431034],0
s4,1,0.473352,0.51414,[ 12 111] ; [  8 104],[ 10.46808511 112.53191489] ; [  9.53191489 102.46808511],0
b1,1,0.48675,0.483704,[44 79] ; [45 67],[46.58297872 76.41702128] ; [42.41702128 69.58297872],0
p1,1,0.504068,0.446362,[  9 113] ; [ 11 101],[ 10.42735043 111.57264957] ; [  9.57264957 102.42735043],0
s1,1,0.575868,0.312963,[  2 120] ; [  3 108],[  2.61802575 119.38197425] ; [  2.38197425 108.61802575],0
s2,1,0.577403,0.310452,[ 23 100] ; [24 87],[24.70512821 98.29487179] ; [22.29487179 88.70512821],0
s3,1,0.608424,0.262476,[33 88] ; [27 84],[31.29310345 89.70689655] ; [28.70689655 82.29310345],0
r3,1,0.627356,0.235664,[112  11] ; [103   8],[113.01282051   9.98717949] ; [101.98717949   9.01282051],0
u2,1,0.632585,0.228571,[20 22] ; [16 14],[21. 21.] ; [15. 15.],0
a6,1,0.64804,0.20838,[80 43] ; [76 36],[81.65106383 41.34893617] ; [74.34893617 37.65106383],0
a7,1,0.675374,0.17538,[88 34] ; [78 34],[86.54700855 35.45299145] ; [79.45299145 32.54700855],0
n3,1,0.701307,0.147115,[27  9] ; [12  3],[27.52941176  8.47058824] ; [11.47058824  3.52941176],0
b5,1,0.856595,0.032656,[75 48] ; [67 45],[74.32340426 48.67659574] ; [67.67659574 44.32340426],0
s7,1,0.857672,0.032162,[27 89] ; [26 81],[27.56950673 88.43049327] ; [25.43049327 81.56950673],0
a2,1,0.864181,0.02926,[ 22 101] ; [21 91],[ 22.50638298 100.49361702] ; [20.49361702 91.50638298],0
a8,1,0.889512,0.019299,[ 13 100] ; [12 87],[13.3254717 99.6745283] ; [11.6745283 87.3254717],0
b4,1,0.890014,0.019123,[67 56] ; [60 52],[66.47234043 56.52765957] ; [60.52765957 51.47234043],0
d4,1,0.922666,0.009424,[96 27] ; [88 24],[96.30638298 26.69361702] ; [87.69361702 24.30638298],0
n2,1,0.935429,0.006564,[26 10] ; [11  4],[26.11764706  9.88235294] ; [10.88235294  4.11764706],0
u4,1,0.946937,0.004429,[  1 122] ; [  1 111],[  1.04680851 121.95319149] ; [  0.95319149 111.04680851],0
n1,1,0.948057,0.004244,[12 23] ; [ 5 10],[11.9 23.1] ; [5.1 9.9],0
