Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,9e-06,19.773641,[72 98] ; [105  52],[92.01834862 77.98165138] ; [84.98165138 72.01834862],1
v3,1,0.00141,10.192085,[ 47 123] ; [70 87],[ 60.82568807 109.17431193] ; [ 56.17431193 100.82568807],0
s6,1,0.011752,6.347896,[103  75] ; [115  47],[114.12941176  63.87058824] ; [103.87058824  58.12941176],0
n5,1,0.01704,5.692213,[109  67] ; [120  42],[119.24260355  56.75739645] ; [109.75739645  52.24260355],0
s2,1,0.022792,5.184325,[ 77 100] ; [90 71],[87.45266272 89.54733728] ; [79.54733728 81.45266272],0
a8,1,0.028686,4.786341,[ 14 148] ; [ 25 123],[ 20.38064516 141.61935484] ; [ 18.61935484 129.38064516],0
p9,1,0.031209,4.641408,[123  56] ; [128  34],[131.75659824  47.24340176] ; [119.24340176  42.75659824],0
b5,1,0.039742,4.228855,[103  76] ; [112  52],[112.20116618  66.79883382] ; [102.79883382  61.20116618],0
s8,1,0.04375,4.066167,[ 59 120] ; [71 92],[ 68.04093567 110.95906433] ; [ 61.95906433 101.04093567],0
p3,1,0.046913,3.948505,[ 49 130] ; [ 61 102],[ 57.57309942 121.42690058] ; [ 52.42690058 110.57309942],0
p6,1,0.049902,3.844753,[ 32 147] ; [ 43 118],[ 39.48529412 139.51470588] ; [ 35.51470588 125.48529412],0
p7,1,0.055803,3.657932,[ 67 109] ; [77 82],[ 75.65373134 100.34626866] ; [68.34626866 90.65373134],0
p2,1,0.06824,3.324855,[119  60] ; [123  40],[126.66081871  52.33918129] ; [115.33918129  47.66081871],0
r3,1,0.076304,3.14192,[164  13] ; [159   5],[167.6568915   9.3431085] ; [155.3431085   8.6568915],0
r2,1,0.09376,2.808596,[167  11] ; [159   4],[170.17008798   7.82991202] ; [155.82991202   7.17008798],0
p10,1,0.108536,2.575414,[120  58] ; [122  40],[126.69411765  51.30588235] ; [115.30588235  46.69411765],0
a4,1,0.108676,2.573365,[80 99] ; [87 76],[87.40643275 91.59356725] ; [79.59356725 83.40643275],0
b1,1,0.13987,2.179388,[ 75 104] ; [ 56 108],[ 68.36443149 110.63556851] ; [ 62.63556851 101.36443149],0
b3,1,0.143804,2.136772,[31 69] ; [44 64],[36.05769231 63.94230769] ; [38.94230769 69.05769231],0
b2,1,0.143804,2.136772,[31 69] ; [44 64],[36.05769231 63.94230769] ; [38.94230769 69.05769231],0
r4,1,0.149604,2.076282,[159  20] ; [153  11],[162.82215743  16.17784257] ; [149.17784257  14.82215743],0
a3,1,0.156596,2.006792,[120  58] ; [122  42],[125.95321637  52.04678363] ; [116.04678363  47.95321637],0
v4,1,0.170955,1.874544,[163  14] ; [155   7],[166.03539823  10.96460177] ; [151.96460177  10.03539823],0
p4,1,0.171478,1.869976,[ 68 109] ; [75 89],[ 74.22580645 102.77419355] ; [68.77419355 95.22580645],0
p11,1,0.189443,1.721942,[117  62] ; [118  46],[122.63848397  56.36151603] ; [112.36151603  51.63848397],0
a5,1,0.203113,1.619849,[122  57] ; [122  42],[127.33527697  51.66472303] ; [116.66472303  47.33527697],0
s7,1,0.209654,1.573814,[72 99] ; [76 79],[77.63190184 93.36809816] ; [70.36809816 84.63190184],0
u2,1,0.224787,1.473544,[30 26] ; [27 14],[32.90721649 23.09278351] ; [24.09278351 16.90721649],0
u1,1,0.224915,1.472732,[ 34 145] ; [ 40 124],[ 38.6180758 140.3819242] ; [ 35.3819242 128.6180758],0
n4,1,0.228804,1.448283,[127  52] ; [125  38],[131.89473684  47.10526316] ; [120.10526316  42.89473684],0
a7,1,0.229782,1.44221,[131  47] ; [111  53],[125.95321637  52.04678363] ; [116.04678363  47.95321637],0
n3,1,0.240957,1.374987,[43 19] ; [35  9],[45.62264151 16.37735849] ; [32.37735849 11.62264151],0
n2,1,0.25789,1.280047,[40 25] ; [31 12],[42.73148148 22.26851852] ; [28.26851852 14.73148148],0
u4,1,0.273557,1.198823,[  1 178] ; [  3 161],[  2.08746356 176.91253644] ; [  1.91253644 162.08746356],0
s5,1,0.278735,1.173245,[ 46 128] ; [ 50 107],[ 50.4652568 123.5347432] ; [ 45.5347432 111.4652568],0
a2,1,0.325709,0.965883,[ 45 134] ; [ 49 115],[ 49.05539359 129.94460641] ; [ 44.94460641 119.05539359],0
s4,1,0.346365,0.886731,[ 33 144] ; [ 24 138],[ 29.76106195 147.23893805] ; [ 27.23893805 134.76106195],0
d5,1,0.393537,0.727985,[140  38] ; [135  29],[143.12865497  34.87134503] ; [131.87134503  32.12865497],0
n6,1,0.461867,0.541367,[137  41] ; [130  32],[139.78235294  38.21764706] ; [127.21764706  34.78235294],0
p5,1,0.465419,0.532831,[  8 171] ; [ 10 150],[  9.50442478 169.49557522] ; [  8.49557522 151.50442478],0
a1,1,0.488998,0.478731,[  7 172] ; [  9 155],[  8.34985423 170.65014577] ; [  7.65014577 156.34985423],0
p12,1,0.489197,0.478292,[  9 170] ; [ 11 151],[ 10.49853372 168.50146628] ; [  9.50146628 152.49853372],0
d2,1,0.523452,0.407086,[84 93] ; [83 80],[86.93823529 90.06176471] ; [80.06176471 82.93823529],0
s3,1,0.542832,0.370317,[96 82] ; [91 68],[98.77151335 79.22848665] ; [88.22848665 70.77151335],0
u3,1,0.636386,0.223499,[36 22] ; [28 14],[37.12 20.88] ; [26.88 15.12],0
a6,1,0.751246,0.100487,[122  56] ; [115  49],[123.35087719  54.64912281] ; [113.64912281  50.35087719],0
d1,1,0.780326,0.077782,[102  77] ; [91 73],[100.72011662  78.27988338] ; [92.27988338 71.72011662],0
b4,1,0.851088,0.035243,[112  67] ; [101  63],[111.1574344  67.8425656] ; [101.8425656  62.1574344],0
d4,1,0.876746,0.024055,[146  30] ; [135  29],[145.45882353  30.54117647] ; [135.54117647  28.45882353],0
p1,1,0.939641,0.005734,[  9 169] ; [  8 156],[  8.84795322 169.15204678] ; [  8.15204678 155.84795322],0
n1,1,0.957446,0.002847,[23 42] ; [15 28],[22.87037037 42.12962963] ; [15.12962963 27.87037037],0
d3,1,0.960902,0.002403,[122  56] ; [112  52],[121.78947368  56.21052632] ; [112.21052632  51.78947368],0
s1,1,0.997767,8e-06,[ 10 168] ; [  9 151],[ 10.00591716 167.99408284] ; [  8.99408284 151.00591716],0
