Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1.9e-05,18.258479,[95 37] ; [12 24],[84.07142857 47.92857143] ; [22.92857143 13.07142857],1
r3,1,4.3e-05,16.741176,[123   8] ; [25 11],[116.09580838  14.90419162] ; [31.90419162  4.09580838],1
b1,1,6.5e-05,15.958503,[43 89] ; [25 11],[53.42857143 78.57142857] ; [14.57142857 21.42857143],1
p11,1,0.00025,13.411557,[111  21] ; [20 16],[102.92857143  29.07142857] ; [28.07142857  7.92857143],1
n4,1,0.00069,11.514915,[98 34] ; [16 20],[89.57142857 42.42857143] ; [24.42857143 11.57142857],1
n5,1,0.004052,8.260197,[101  30] ; [19 17],[94.13173653 36.86826347] ; [25.86826347 10.13173653],0
p8,1,0.007175,7.228662,[64 66] ; [ 8 26],[57.07317073 72.92682927] ; [14.92682927 19.07317073],0
p10,1,0.013387,6.117221,[114  15] ; [25 10],[109.33536585  19.66463415] ; [29.66463415  5.33536585],0
v4,1,0.014383,5.990467,[118  13] ; [26  9],[113.63855422  17.36144578] ; [30.36144578  4.63855422],0
v3,1,0.028162,4.818115,[44 85] ; [ 5 29],[38.7791411 90.2208589] ; [10.2208589 23.7791411],0
d5,1,0.03192,4.602775,[97 34] ; [20 16],[91.77844311 39.22155689] ; [25.22155689 10.77844311],0
p2,1,0.043285,4.08425,[109  22] ; [23 11],[104.8  26.2] ; [27.2  6.8],0
b4,1,0.061488,3.496786,[85 47] ; [17 19],[80.14285714 51.85714286] ; [21.85714286 14.14285714],0
p3,1,0.071295,3.252953,[64 68] ; [11 24],[59.28143713 72.71856287] ; [15.71856287 19.28143713],0
a1,1,0.119187,2.427972,[  8 124] ; [ 5 31],[ 10.21428571 121.78571429] ; [ 2.78571429 33.21428571],0
u3,1,0.138952,2.189527,[21 33] ; [8 5],[23.37313433 30.62686567] ; [5.62686567 7.37313433],0
s6,1,0.140959,2.167455,[74 53] ; [16 20],[70.12269939 56.87730061] ; [19.87730061 16.12269939],0
d1,1,0.147932,2.093451,[58 74] ; [11 25],[54.21428571 77.78571429] ; [14.78571429 21.21428571],0
