Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.01128,6.42059,[ 2 11] ; [12  8],[5.51515152 7.48484848] ; [ 8.48484848 11.51515152],0
p7,1,0.018544,5.544019,[10  3] ; [ 7 13],[6.6969697 6.3030303] ; [10.3030303  9.6969697],0
s4,1,0.043659,4.069698,[4 9] ; [ 1 19],[ 1.96969697 11.03030303] ; [ 3.03030303 16.96969697],0
d5,1,0.043871,4.061538,[6 7] ; [16  4],[8.66666667 4.33333333] ; [13.33333333  6.66666667],0
b4,1,0.049589,3.855288,[7 6] ; [17  3],[9.45454545 3.54545455] ; [14.54545455  5.45454545],0
d4,1,0.049589,3.855288,[7 6] ; [17  3],[9.45454545 3.54545455] ; [14.54545455  5.45454545],0
b2,1,0.065952,3.380994,[3 9] ; [8 5],[5.28 6.72] ; [5.72 7.28],0
b3,1,0.065952,3.380994,[3 9] ; [8 5],[5.28 6.72] ; [5.72 7.28],0
u3,1,0.072414,3.227431,[2 1] ; [1 7],[0.81818182 2.18181818] ; [2.18181818 5.81818182],0
a8,1,0.108425,2.577027,[ 1 12] ; [ 6 13],[ 2.84375 10.15625] ; [ 4.15625 14.84375],0
p11,1,0.110175,2.551706,[7 6] ; [16  4],[9.06060606 3.93939394] ; [13.93939394  6.06060606],0
s7,1,0.11413,2.496086,[7 6] ; [ 5 14],[4.875 8.125] ; [ 7.125 11.875],0
p6,1,0.13244,2.263673,[6 7] ; [ 4 15],[4.0625 8.9375] ; [ 5.9375 13.0625],0
p4,1,0.134648,2.238077,[8 5] ; [ 7 13],[5.90909091 7.09090909] ; [ 9.09090909 10.90909091],0
p2,1,0.184866,1.758063,[11  2] ; [12  7],[9.34375 3.65625] ; [13.65625  5.34375],0
n1,1,0.186858,1.742222,[1 2] ; [4 1],[1.875 1.125] ; [3.125 1.875],0
s3,1,0.226398,1.463348,[5 8] ; [12  8],[6.6969697 6.3030303] ; [10.3030303  9.6969697],0
d3,1,0.226398,1.463348,[5 8] ; [12  8],[6.6969697 6.3030303] ; [10.3030303  9.6969697],0
r3,1,0.257899,1.28,[9 3] ; [18  2],[10.125  1.875] ; [16.875  3.125],0
b1,1,0.274748,1.192886,[9 4] ; [10 10],[7.48484848 5.51515152] ; [11.51515152  8.48484848],0
a6,1,0.274748,1.192886,[4 9] ; [10 10],[5.51515152 7.48484848] ; [ 8.48484848 11.51515152],0
v3,1,0.27893,1.172295,[4 9] ; [ 3 17],[ 2.75757576 10.24242424] ; [ 4.24242424 15.75757576],0
r1,1,0.284462,1.145648,[7 6] ; [ 7 13],[5.51515152 7.48484848] ; [ 8.48484848 11.51515152],0
p3,1,0.284462,1.145648,[7 6] ; [ 7 13],[5.51515152 7.48484848] ; [ 8.48484848 11.51515152],0
