Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,44.188723,[32 39] ; [134  20],[52.38222222 18.61777778] ; [113.61777778  40.38222222],1
d1,1,0.0,36.052461,[13 58] ; [95 60],[33.92920354 37.07079646] ; [74.07079646 80.92920354],1
d4,1,0.0,35.299822,[35 36] ; [133  21],[53.01333333 17.98666667] ; [114.98666667  39.01333333],1
a3,1,0.0,31.312325,[31 39] ; [126  29],[48.84444444 21.15555556] ; [108.15555556  46.84444444],1
a4,1,6e-06,20.557689,[16 55] ; [84 69],[31.69642857 39.30357143] ; [68.30357143 84.69642857],1
p3,1,1.5e-05,18.748285,[19 52] ; [89 65],[34.08 36.92] ; [73.92 80.08],1
d2,1,9.9e-05,15.152744,[21 50] ; [88 65],[34.54910714 36.45089286] ; [74.45089286 78.54910714],1
b3,1,0.000194,13.884943,[ 8 35] ; [55 51],[18.18120805 24.81879195] ; [44.81879195 61.18120805],1
b2,1,0.000194,13.884943,[ 8 35] ; [55 51],[18.18120805 24.81879195] ; [44.81879195 61.18120805],1
r1,1,0.000889,11.046414,[39 32] ; [119  36],[49.63716814 21.36283186] ; [108.36283186  46.63716814],1
s8,1,0.001988,9.560617,[23 48] ; [84 70],[33.76444444 37.23555556] ; [73.23555556 80.76444444],0
s7,1,0.002027,9.524537,[25 44] ; [88 62],[35.60273973 33.39726027] ; [77.39726027 72.60273973],0
r2,1,0.002605,9.065288,[56 14] ; [143  10],[62.46636771  7.53363229] ; [136.53363229  16.46636771],0
p10,1,0.00559,7.677937,[46 25] ; [125  28],[54.20089286 16.79910714] ; [116.79910714  36.20089286],0
n4,1,0.009392,6.746772,[50 21] ; [132  23],[57.17699115 13.82300885] ; [124.82300885  30.17699115],0
s5,1,0.010105,6.616216,[17 51] ; [64 84],[25.5 42.5] ; [55.5 92.5],0
p9,1,0.01482,5.937778,[51 20] ; [130  22],[57.62780269 13.37219731] ; [123.37219731  28.62780269],0
p11,1,0.015319,5.879368,[49 22] ; [129  26],[55.92035398 15.07964602] ; [122.07964602  32.92035398],0
a6,1,0.016721,5.725423,[21 50] ; [72 83],[29.21681416 41.78318584] ; [63.78318584 91.21681416],0
r4,1,0.017793,5.616414,[51 20] ; [132  23],[57.49115044 13.50884956] ; [125.50884956  29.49115044],0
n3,1,0.019361,5.468612,[11 12] ; [30  9],[15.20967742  7.79032258] ; [25.79032258 13.20967742],0
v3,1,0.029304,4.74969,[20 49] ; [68 85],[27.35135135 41.64864865] ; [60.64864865 92.35135135],0
s6,1,0.040112,4.21313,[37 32] ; [102  48],[43.79452055 25.20547945] ; [95.20547945 54.79452055],0
u1,1,0.043365,4.081097,[ 1 70] ; [ 13 142],[ 4.39823009 66.60176991] ; [  9.60176991 145.39823009],0
p7,1,0.052383,3.76348,[37 33] ; [101  51],[43.51351351 26.48648649] ; [94.48648649 57.51351351],0
n5,1,0.052427,3.762088,[54 17] ; [134  21],[59.0619469 11.9380531] ; [128.9380531  26.0619469],0
b5,1,0.05439,3.700693,[40 31] ; [66 89],[33.30088496 37.69911504] ; [72.69911504 82.30088496],0
p2,1,0.060555,3.522114,[49 22] ; [123  30],[54.51785714 16.48214286] ; [117.48214286  35.51785714],0
a1,1,0.076685,3.133806,[ 1 70] ; [ 11 144],[ 3.7699115 67.2300885] ; [  8.2300885 146.7699115],0
v1,1,0.07998,3.06531,[28 42] ; [79 71],[34.04545455 35.95454545] ; [72.95454545 77.04545455],0
v4,1,0.09304,2.820966,[61 10] ; [144  11],[64.40265487  6.59734513] ; [140.59734513  14.40265487],0
s2,1,0.093147,2.819129,[27 43] ; [78 76],[32.8125 37.1875] ; [72.1875 81.8125],0
s1,1,0.108335,2.578342,[ 5 65] ; [  4 150],[ 2.8125 67.1875] ; [  6.1875 147.8125],0
v2,1,0.136911,2.212339,[26 40] ; [77 76],[31.04109589 34.95890411] ; [71.95890411 81.04109589],0
d3,1,0.172759,1.858842,[27 44] ; [74 81],[31.7300885 39.2699115] ; [69.2699115 85.7300885],0
p6,1,0.194056,1.686552,[20 50] ; [57 95],[24.27927928 45.72072072] ; [52.72072072 99.27927928],0
b4,1,0.209814,1.57271,[43 28] ; [80 75],[38.64159292 32.35840708] ; [84.35840708 70.64159292],0
p1,1,0.219922,1.504879,[ 8 63] ; [ 10 144],[ 5.68 65.32] ; [ 12.32 141.68],0
r3,1,0.252485,1.3095,[61 10] ; [141  14],[63.46017699  7.53982301] ; [138.53982301  16.46017699],0
p8,1,0.308044,1.039045,[31 40] ; [77 74],[34.54054054 36.45945946] ; [73.45945946 77.54054054],0
n1,1,0.381877,0.764652,[ 7 16] ; [17 24],[ 8.625 14.375] ; [15.375 25.625],0
p4,1,0.406508,0.68899,[34 36] ; [84 70],[36.875 33.125] ; [81.125 72.875],0
n2,1,0.420095,0.650049,[14  9] ; [29 12],[15.453125  7.546875] ; [27.546875 13.453125],0
p12,1,0.482327,0.493598,[ 6 65] ; [  9 143],[ 4.77578475 66.22421525] ; [ 10.22421525 141.77578475],0
b1,1,0.485769,0.485885,[29 42] ; [71 84],[31.4159292 39.5840708] ; [68.5840708 86.4159292],0
p5,1,0.648231,0.208138,[ 8 62] ; [ 21 133],[ 9.0625 60.9375] ; [ 19.9375 134.0625],0
u3,1,0.796889,0.066242,[15 25] ; [10 19],[14.49275362 25.50724638] ; [10.50724638 18.49275362],0
u2,1,0.881451,0.02224,[15 25] ; [11 17],[15.29411765 24.70588235] ; [10.70588235 17.29411765],0
s4,1,0.887282,0.020091,[13 58] ; [ 27 127],[12.62222222 58.37777778] ; [ 27.37777778 126.62222222],0
a8,1,0.893795,0.017823,[ 8 58] ; [ 17 131],[ 7.71028037 58.28971963] ; [ 17.28971963 130.71028037],0
s3,1,0.95332,0.003427,[36 33] ; [81 73],[36.20179372 32.79820628] ; [80.79820628 73.20179372],0
