Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,44.244105,[29 58] ; [223  86],[55.36363636 31.63636364] ; [196.63636364 112.36363636],1
d2,1,0.0,42.199352,[19 68] ; [188 119],[45.70812183 41.29187817] ; [161.29187817 145.70812183],1
a4,1,0.0,32.755188,[19 67] ; [175 132],[42.45292621 43.54707379] ; [151.54707379 155.45292621],1
a3,1,0.0,31.914119,[45 40] ; [254  54],[64.6692112 20.3307888] ; [234.3307888  73.6692112],1
u1,1,1e-06,24.295214,[ 2 85] ; [ 83 226],[18.67424242 68.32575758] ; [ 66.32575758 242.67424242],1
d5,1,2e-06,22.780275,[59 28] ; [273  34],[73.30964467 13.69035533] ; [258.69035533  48.30964467],1
r1,1,3e-06,21.608214,[60 27] ; [274  33],[73.75126904 13.24873096] ; [260.24873096  46.75126904],1
d4,1,0.000345,12.806723,[62 25] ; [268  39],[72.8680203 14.1319797] ; [257.1319797  49.8680203],1
a6,1,0.001854,9.688975,[46 41] ; [217  90],[58.07360406 28.92639594] ; [204.92639594 102.07360406],0
d3,1,0.002834,8.911088,[51 36] ; [231  77],[62.11139241 24.88860759] ; [219.88860759  88.11139241],0
p2,1,0.016534,5.745124,[69 17] ; [274  31],[75.44245524 10.55754476] ; [267.55754476  37.44245524],0
a7,1,0.016584,5.739853,[53 33] ; [231  78],[61.83291139 24.16708861] ; [222.16708861  86.83291139],0
s8,1,0.019252,5.478501,[36 51] ; [169 135],[45.61381074 41.38618926] ; [159.38618926 144.61381074],0
p8,1,0.020599,5.360408,[42 43] ; [190 110],[51.22077922 33.77922078] ; [180.77922078 119.22077922],0
s5,1,0.022005,5.24537,[23 58] ; [126 171],[31.92857143 49.07142857] ; [117.07142857 179.92857143],0
s7,1,0.050781,3.815478,[37 44] ; [169 123],[44.73458445 36.26541555] ; [161.26541555 130.73458445],0
s2,1,0.052639,3.755354,[40 46] ; [176 126],[47.87628866 38.12371134] ; [168.12371134 133.87628866],0
p11,1,0.073265,3.208303,[67 20] ; [263  46],[72.5 14.5] ; [257.5  51.5],0
p4,1,0.080327,3.058276,[53 33] ; [218  87],[59.60613811 26.39386189] ; [211.39386189  93.60613811],0
r4,1,0.090919,2.858031,[77 10] ; [290  19],[80.62878788  6.37121212] ; [286.37121212  22.62878788],0
a1,1,0.113143,2.509767,[ 2 85] ; [ 21 288],[ 5.0530303 81.9469697] ; [ 17.9469697 291.0530303],0
u3,1,0.125503,2.347261,[21 21] ; [36 19],[24.68041237 17.31958763] ; [32.31958763 22.68041237],0
p3,1,0.127879,2.318061,[44 42] ; [184 121],[50.1483376 35.8516624] ; [177.8516624 127.1483376],0
b2,1,0.153207,2.040023,[20 39] ; [ 93 117],[24.78438662 34.21561338] ; [ 88.21561338 121.78438662],0
b3,1,0.153207,2.040023,[20 39] ; [ 93 117],[24.78438662 34.21561338] ; [ 88.21561338 121.78438662],0
b4,1,0.156909,2.003769,[45 42] ; [186 123],[50.75 36.25] ; [180.25 128.75],0
p9,1,0.172556,1.8606,[72 14] ; [271  33],[75.63589744 10.36410256] ; [267.36410256  36.63589744],0
p6,1,0.181603,1.784458,[33 50] ; [145 157],[38.37402597 44.62597403] ; [139.62597403 162.37402597],0
p10,1,0.18838,1.730243,[69 16] ; [264  40],[72.76349614 12.23650386] ; [260.23650386  43.76349614],0
r2,1,0.194523,1.683024,[80  5] ; [298   9],[81.96428571  3.03571429] ; [296.03571429  10.96428571],0
s1,1,0.201078,1.634525,[ 5 80] ; [  9 295],[ 3.05912596 81.94087404] ; [ 10.94087404 293.05912596],0
v2,1,0.231895,1.429198,[54 31] ; [211  89],[58.50649351 26.49350649] ; [206.49350649  93.50649351],0
u4,1,0.246626,1.342317,[ 1 86] ; [ 11 298],[ 2.63636364 84.36363636] ; [  9.36363636 299.63636364],0
v3,1,0.260905,1.263949,[41 45] ; [162 135],[45.58224543 40.41775457] ; [157.41775457 139.58224543],0
n1,1,0.323678,0.974026,[11  5] ; [24 20],[9.33333333 6.66666667] ; [25.66666667 18.33333333],0
v4,1,0.354832,0.856101,[81  5] ; [296  11],[82.49872774  3.50127226] ; [294.50127226  12.49872774],0
r3,1,0.407559,0.685909,[85  2] ; [295  13],[83.69620253  3.30379747] ; [296.30379747  11.69620253],0
b1,1,0.416266,0.660833,[31 56] ; [125 184],[34.27272727 52.72727273] ; [121.72727273 187.27272727],0
p12,1,0.416364,0.660556,[ 7 79] ; [ 34 270],[ 9.04102564 76.95897436] ; [ 31.95897436 272.04102564],0
p5,1,0.45384,0.561044,[16 68] ; [ 48 259],[13.74936061 70.25063939] ; [ 50.25063939 256.74936061],0
s4,1,0.552903,0.352141,[14 73] ; [ 41 261],[12.30077121 74.69922879] ; [ 42.69922879 259.30077121],0
b5,1,0.58911,0.291737,[53 34] ; [198 111],[55.14393939 31.85606061] ; [195.85606061 113.14393939],0
s6,1,0.597656,0.278546,[59 26] ; [217  83],[60.93506494 24.06493506] ; [215.06493506  84.93506494],0
n3,1,0.612735,0.256211,[13  3] ; [33 11],[12.26666667  3.73333333] ; [33.73333333 10.26666667],0
u2,1,0.616814,0.250371,[21 20] ; [31 24],[22.20833333 18.79166667] ; [29.79166667 25.20833333],0
n6,1,0.62151,0.243751,[76 10] ; [276  30],[77.2244898  8.7755102] ; [274.7755102  31.2244898],0
n2,1,0.740875,0.109359,[13  3] ; [34 10],[12.53333333  3.46666667] ; [34.46666667  9.53333333],0
p1,1,0.874512,0.024942,[ 9 78] ; [ 30 277],[ 8.61167513 78.38832487] ; [ 30.38832487 276.61167513],0
a8,1,0.889025,0.019471,[13 65] ; [ 47 224],[13.40974212 64.59025788] ; [ 46.59025788 224.40974212],0
s3,1,0.933871,0.006885,[49 36] ; [172 129],[48.66580311 36.33419689] ; [172.33419689 128.66580311],0
n5,1,0.983824,0.000411,[77  9] ; [276  32],[77.05076142  8.94923858] ; [275.94923858  32.05076142],0
p7,1,0.997175,1.3e-05,[58 25] ; [209  90],[58.01308901 24.98691099] ; [208.98691099  90.01308901],0
