Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.0,141.332176,[ 64 212] ; [298 134],[141.11864407 134.88135593] ; [220.88135593 211.11864407],1
p6,1,0.0,84.109271,[ 43 226] ; [216 212],[ 99.95839311 169.04160689] ; [159.04160689 268.95839311],1
p8,1,0.0,63.758026,[100 170] ; [291 138],[151.03004292 118.96995708] ; [239.96995708 189.03004292],1
p7,1,0.0,54.892205,[131 134] ; [328  99],[175.77312139  89.22687861] ; [283.22687861 143.77312139],1
p5,1,0.0,28.690666,[ 10 264] ; [ 73 356],[ 32.34992888 241.65007112] ; [ 50.65007112 378.34992888],1
p2,1,0.0,28.244736,[211  64] ; [392  38],[235.21276596  39.78723404] ; [367.78723404  62.21276596],1
n5,1,0.0,26.60114,[182  93] ; [358  73],[210.33994334  64.66005666] ; [329.66005666 101.33994334],1
d1,1,2e-06,23.136397,[132 144] ; [286 147],[162.71932299 113.28067701] ; [255.28067701 177.71932299],1
p10,1,2e-06,22.910297,[214  59] ; [392  38],[235.3314367  37.6685633] ; [370.6685633  59.3314367],1
n4,1,2e-06,22.333122,[193  83] ; [367  66],[217.99717913  58.00282087] ; [342.00282087  90.99717913],1
s7,1,7e-06,20.304593,[102 167] ; [230 184],[130.75841874 138.24158126] ; [201.24158126 212.75841874],1
v1,1,1.1e-05,19.413901,[119 147] ; [260 160],[146.95918367 119.04081633] ; [232.04081633 187.95918367],1
s6,1,1.3e-05,19.014781,[155 117] ; [310 115],[181.46341463  90.53658537] ; [283.53658537 141.46341463],1
a5,1,3.2e-05,17.268548,[179  97] ; [342  91],[202.81523272  73.18476728] ; [318.18476728 114.81523272],1
s8,1,8.9e-05,15.362174,[100 176] ; [221 210],[125.3125884 150.6874116] ; [195.6874116 235.3125884],1
d2,1,0.000102,15.097541,[104 171] ; [228 204],[129.13719943 145.86280057] ; [202.86280057 229.13719943],1
d5,1,0.000145,14.441323,[204  72] ; [369  63],[223.37288136  52.62711864] ; [349.62711864  82.37288136],1
s5,1,0.000621,11.71178,[ 67 199] ; [158 260],[ 87.5 178.5] ; [137.5 280.5],1
d3,1,0.001317,10.319237,[169 107] ; [315 118],[188.41184767  87.58815233] ; [295.58815233 137.41184767],0
a4,1,0.001526,10.047313,[101 175] ; [210 221],[121.40876945 154.59123055] ; [189.59123055 241.40876945],0
s2,1,0.001658,9.894421,[116 157] ; [234 194],[136.30527817 136.69472183] ; [213.69472183 214.30527817],0
a2,1,0.001808,9.734879,[ 45 231] ; [114 319],[ 61.89562764 214.10437236] ; [ 97.10437236 335.89562764],0
