Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,43.350562,[ 83 135] ; [154  68],[117.42272727 100.57727273] ; [119.57727273 102.42272727],1
v3,1,3e-06,22.149133,[ 64 157] ; [112 108],[ 88.19954649 132.80045351] ; [ 87.80045351 132.19954649],1
p4,1,4.1e-05,16.831138,[105 120] ; [150  78],[126.65562914  98.34437086] ; [128.34437086  99.65562914],1
p2,1,0.000108,14.983653,[164  62] ; [197  29],[180.5  45.5] ; [180.5  45.5],1
p9,1,0.000813,11.210314,[162  63] ; [192  34],[176.6075388  48.3924612] ; [177.3924612  48.6075388],1
p6,1,0.001039,10.75749,[ 55 168] ; [ 88 137],[ 71.18080357 151.81919643] ; [ 71.81919643 153.18080357],0
r3,1,0.00169,9.859425,[200  27] ; [219   9],[209.03956044  17.96043956] ; [209.96043956  18.03956044],0
r2,1,0.002304,9.289966,[196  26] ; [217   9],[204.65625  17.34375] ; [208.34375  17.65625],0
p10,1,0.002792,8.938449,[158  67] ; [185  40],[171.5  53.5] ; [171.5  53.5],0
p3,1,0.002965,8.828759,[ 89 137] ; [121 106],[104.76821192 121.23178808] ; [105.23178808 121.76821192],0
n5,1,0.003064,8.769255,[175  50] ; [202  27],[186.83920705  38.16079295] ; [190.16079295  38.83920705],0
r1,1,0.004437,8.095565,[164  63] ; [190  38],[176.61098901  50.38901099] ; [177.38901099  50.61098901],0
b5,1,0.005812,7.6078,[123 104] ; [153  76],[137.39473684  89.60526316] ; [138.60526316  90.39473684],0
r4,1,0.007618,7.121141,[183  44] ; [205  24],[193.14912281  33.85087719] ; [194.85087719  34.14912281],0
p11,1,0.007771,7.085499,[166  61] ; [191  38],[177.71710526  49.28289474] ; [179.28289474  49.71710526],0
v4,1,0.008068,7.018357,[199  28] ; [215  12],[207.  20.] ; [207.  20.],0
s6,1,0.011386,6.403998,[113 112] ; [142  87],[126.37665198  98.62334802] ; [128.62334802 100.37665198],0
p7,1,0.014637,5.959618,[120 105] ; [143  78],[132.6793722  92.3206278] ; [130.3206278  90.6793722],0
p8,1,0.026449,4.926456,[ 97 128] ; [119 103],[108.72483221 116.27516779] ; [107.27516779 114.72483221],0
s8,1,0.035617,4.415361,[ 73 154] ; [ 95 133],[ 83.81538462 143.18461538] ; [ 84.18461538 143.81538462],0
n6,1,0.036045,4.394998,[182  44] ; [200  28],[190.15859031  35.84140969] ; [191.84140969  36.15859031],0
u3,1,0.075057,3.168803,[27 43] ; [37 32],[32.23021583 37.76978417] ; [31.76978417 37.23021583],0
u4,1,0.094902,2.789194,[  2 225] ; [  7 222],[  4.48026316 222.51973684] ; [  4.51973684 224.48026316],0
d3,1,0.112143,2.523765,[142  84] ; [160  69],[150.0043956  75.9956044] ; [151.9956044  77.0043956],0
