Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,84.431828,[ 6 34] ; [135  19],[29.07216495 10.92783505] ; [111.92783505  42.07216495],1
v4,1,0.0,39.249608,[21 19] ; [142  11],[33.78238342  6.21761658] ; [129.21761658  23.78238342],1
p11,1,0.0,31.245095,[ 8 32] ; [106  48],[23.50515464 16.49484536] ; [90.49484536 63.50515464],1
p2,1,1.6e-05,18.605617,[12 28] ; [104  50],[23.91752577 16.08247423] ; [92.08247423 61.91752577],1
n6,1,6.7e-05,15.880555,[19 21] ; [121  32],[29.01554404 10.98445596] ; [110.98445596  42.01554404],1
a1,1,7.4e-05,15.708482,[ 7 33] ; [  3 151],[ 2.06185567 37.93814433] ; [  7.93814433 146.06185567],1
p9,1,0.000415,12.464038,[16 22] ; [110  42],[25.2 12.8] ; [100.8  51.2],1
b5,1,0.00051,12.076922,[15 25] ; [104  50],[24.53608247 15.46391753] ; [94.46391753 59.53608247],1
r2,1,0.001124,10.610911,[27 11] ; [140  14],[33.05208333  4.94791667] ; [133.94791667  20.05208333],0
p10,1,0.001546,10.023439,[15 25] ; [99 53],[23.75 16.25] ; [90.25 61.75],0
s6,1,0.001834,9.708978,[10 30] ; [80 72],[18.75 21.25] ; [71.25 80.75],0
d4,1,0.002561,9.096643,[21 19] ; [118  36],[28.65979381 11.34020619] ; [110.34020619  43.65979381],0
r1,1,0.003595,8.477768,[17 23] ; [104  50],[24.94845361 15.05154639] ; [96.05154639 57.94845361],0
p4,1,0.004045,8.263321,[ 6 34] ; [60 93],[13.67875648 26.32124352] ; [ 52.32124352 100.67875648],0
a7,1,0.006026,7.542365,[17 23] ; [102  52],[24.53608247 15.46391753] ; [94.46391753 59.53608247],0
u2,1,0.013844,6.057985,[ 4 15] ; [31 27],[ 8.63636364 10.36363636] ; [26.36363636 31.63636364],0
s2,1,0.015073,5.907911,[ 8 32] ; [62 90],[14.58333333 25.41666667] ; [55.41666667 96.58333333],0
u1,1,0.019204,5.482874,[ 1 39] ; [ 26 128],[ 5.56701031 34.43298969] ; [ 21.43298969 132.56701031],0
u3,1,0.02053,5.366243,[ 6 13] ; [36 22],[10.36363636  8.63636364] ; [31.63636364 26.36363636],0
b1,1,0.028609,4.790977,[23 17] ; [59 95],[16.90721649 23.09278351] ; [65.09278351 88.90721649],0
d5,1,0.030676,4.671004,[22 18] ; [112  42],[27.62886598 12.37113402] ; [106.37113402  47.62886598],0
p3,1,0.04734,3.933255,[ 6 34] ; [ 47 106],[10.98445596 29.01554404] ; [ 42.01554404 110.98445596],0
p1,1,0.054546,3.695926,[ 8 32] ; [ 14 139],[ 4.55958549 35.44041451] ; [ 17.44041451 135.55958549],0
s3,1,0.060689,3.518459,[11 26] ; [72 82],[16.07853403 20.92146597] ; [66.92146597 87.07853403],0
a8,1,0.095755,2.774858,[ 1 37] ; [ 17 129],[ 3.7173913 34.2826087] ; [ 14.2826087 131.7173913],0
s8,1,0.13594,2.223329,[ 7 33] ; [ 45 109],[10.72164948 29.27835052] ; [ 41.27835052 112.72164948],0
a2,1,0.137692,2.203561,[ 4 36] ; [ 31 123],[ 7.21649485 32.78350515] ; [ 27.78350515 126.21649485],0
d3,1,0.141472,2.161873,[19 21] ; [93 61],[23.09278351 16.90721649] ; [88.90721649 65.09278351],0
s7,1,0.142714,2.148453,[ 9 29] ; [53 93],[12.80434783 25.19565217] ; [49.19565217 96.80434783],0
n2,1,0.152182,2.050243,[12 12] ; [33 16],[14.79452055  9.20547945] ; [30.20547945 18.79452055],0
b3,1,0.17107,1.873544,[13 15] ; [28 59],[ 9.9826087 18.0173913] ; [31.0173913 55.9826087],0
b2,1,0.17107,1.873544,[13 15] ; [28 59],[ 9.9826087 18.0173913] ; [31.0173913 55.9826087],0
d1,1,0.182474,1.777362,[14 26] ; [72 82],[17.73195876 22.26804124] ; [68.26804124 85.73195876],0
n3,1,0.204173,1.612268,[10 13] ; [28 19],[12.48571429 10.51428571] ; [25.51428571 21.48571429],0
p8,1,0.278246,1.175635,[ 6 34] ; [ 35 118],[ 8.49740933 31.50259067] ; [ 32.50259067 120.49740933],0
a6,1,0.28011,1.166554,[22 18] ; [99 55],[24.94845361 15.05154639] ; [96.05154639 57.94845361],0
n5,1,0.324564,0.970464,[30 10] ; [103  51],[27.42268041 12.57731959] ; [105.57731959  48.42268041],0
s1,1,0.354827,0.856119,[ 5 35] ; [ 12 141],[ 3.52331606 36.47668394] ; [ 13.47668394 139.52331606],0
a4,1,0.41434,0.666312,[14 24] ; [68 86],[16.22916667 21.77083333] ; [65.77083333 88.22916667],0
p6,1,0.414833,0.664908,[ 3 36] ; [ 19 135],[ 4.44559585 34.55440415] ; [ 17.55440415 136.44559585],0
a3,1,0.423406,0.640841,[21 17] ; [96 58],[23.15625 14.84375] ; [93.84375 60.15625],0
b4,1,0.524429,0.405174,[23 17] ; [97 57],[24.74226804 15.25773196] ; [95.25773196 58.74226804],0
n1,1,0.61209,0.257143,[11 13] ; [19 29],[10. 14.] ; [20. 28.],0
v1,1,0.622471,0.24241,[11 29] ; [ 47 102],[12.27513228 27.72486772] ; [ 45.72486772 103.27513228],0
a5,1,0.628752,0.233757,[23 17] ; [95 59],[24.32989691 15.67010309] ; [93.67010309 60.32989691],0
