Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,37.368264,[93 20] ; [ 2 15],[82.57692308 30.42307692] ; [12.42307692  4.57692308],1
r1,1,6.5e-05,15.965035,[91 22] ; [ 6 11],[84.31538462 28.68461538] ; [12.68461538  4.31538462],1
r3,1,0.000228,13.585381,[103  10] ; [10  7],[98.22307692 14.77692308] ; [14.77692308  2.22307692],1
v4,1,0.000666,11.582272,[98 15] ; [9 8],[93.00769231 19.99230769] ; [13.99230769  3.00769231],1
a5,1,0.006691,7.354089,[78 35] ; [ 6 11],[73.01538462 39.98461538] ; [10.98461538  6.01538462],0
n5,1,0.010831,6.492764,[64 49] ; [ 4 13],[59.10769231 53.89230769] ; [8.89230769 8.10769231],0
n4,1,0.010898,6.48183,[76 37] ; [ 6 11],[71.27692308 41.72307692] ; [10.72307692  6.27692308],0
n6,1,0.021062,5.321692,[78 34] ; [ 7 10],[73.79844961 38.20155039] ; [11.20155039  5.79844961],0
s8,1,0.076035,3.14768,[28 83] ; [ 1 16],[25.1484375 85.8515625] ; [ 3.8515625 13.1484375],0
a7,1,0.083011,3.004948,[83 30] ; [9 8],[79.96923077 33.03076923] ; [12.03076923  4.96923077],0
p2,1,0.086116,2.945516,[65 48] ; [ 6 11],[61.71538462 51.28461538] ; [9.28461538 7.71538462],0
v3,1,0.186542,1.744718,[37 73] ; [ 3 14],[34.64566929 75.35433071] ; [ 5.35433071 11.64566929],0
d2,1,0.217545,1.52049,[64 48] ; [ 7 10],[61.64341085 50.35658915] ; [9.35658915 7.64341085],0
p11,1,0.217646,1.519825,[58 55] ; [ 6 11],[55.63076923 57.36923077] ; [8.36923077 8.63076923],0
p7,1,0.236726,1.399988,[50 62] ; [ 5 12],[47.75193798 64.24806202] ; [7.24806202 9.75193798],0
d1,1,0.242718,1.364741,[70 43] ; [8 9],[67.8 45.2] ; [10.2  6.8],0
a3,1,0.280269,1.165785,[75 38] ; [9 8],[73.01538462 39.98461538] ; [10.98461538  6.01538462],0
a2,1,0.293059,1.105517,[26 87] ; [ 2 15],[24.33846154 88.66153846] ; [ 3.66153846 13.33846154],0
p1,1,0.307413,1.041759,[  6 106] ; [ 2 15],[  6.94573643 105.05426357] ; [ 1.05426357 15.94573643],0
