Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2.9e-05,17.483857,[87  4] ; [3 3],[84.43298969  6.56701031] ; [5.56701031 0.43298969],1
p7,1,0.006574,7.385821,[72 17] ; [2 4],[69.32631579 19.67368421] ; [4.67368421 1.32631579],0
p4,1,0.007027,7.265987,[80 10] ; [3 3],[77.8125 12.1875] ; [5.1875 0.8125],0
b1,1,0.030567,4.677097,[35 56] ; [5 1],[37.5257732 53.4742268] ; [2.4742268 3.5257732],0
r2,1,0.057715,3.60186,[82  8] ; [4 2],[80.625  9.375] ; [5.375 0.625],0
p2,1,0.079414,3.076861,[82  9] ; [4 2],[80.68041237 10.31958763] ; [5.31958763 0.68041237],0
v4,1,0.110646,2.544965,[88  3] ; [5 1],[87.24742268  3.75257732] ; [5.75257732 0.24742268],0
s6,1,0.116587,2.462579,[74 12] ; [3 2],[72.76923077 13.23076923] ; [4.23076923 0.76923077],0
p6,1,0.133376,2.252763,[57 32] ; [2 4],[55.27368421 33.72631579] ; [3.72631579 2.27368421],0
p11,1,0.17379,1.849943,[79 12] ; [4 2],[77.86597938 13.13402062] ; [5.13402062 0.86597938],0
s2,1,0.191409,1.706741,[55 36] ; [2 4],[53.4742268 37.5257732] ; [3.5257732 2.4742268],0
a4,1,0.211634,1.560213,[37 54] ; [4 2],[38.46391753 52.53608247] ; [2.53608247 3.46391753],0
p8,1,0.244069,1.356935,[74 17] ; [3 2],[72.98958333 18.01041667] ; [4.01041667 0.98958333],0
a2,1,0.251218,1.316516,[14 77] ; [2 4],[15.01030928 75.98969072] ; [0.98969072 5.01030928],0
v2,1,0.262907,1.253386,[50 38] ; [2 4],[48.68085106 39.31914894] ; [3.31914894 2.68085106],0
p1,1,0.26678,1.233229,[26 65] ; [3 3],[27.20618557 63.79381443] ; [1.79381443 4.20618557],0
a6,1,0.284468,1.14562,[56 35] ; [5 1],[57.22680412 33.77319588] ; [3.77319588 2.22680412],0
s3,1,0.285792,1.139341,[58 33] ; [2 3],[56.875 34.125] ; [3.125 1.875],0
d4,1,0.293031,1.105645,[76 15] ; [4 2],[75.05154639 15.94845361] ; [4.94845361 1.05154639],0
u1,1,0.293031,1.105645,[15 76] ; [2 4],[15.94845361 75.05154639] ; [1.05154639 4.94845361],0
n1,1,0.313267,1.016852,[7 8] ; [3 1],[7.89473684 7.10526316] ; [2.10526316 1.89473684],0
v1,1,0.326005,0.964702,[61 27] ; [3 3],[59.91489362 28.08510638] ; [4.08510638 1.91489362],0
b2,1,0.346393,0.886626,[32 33] ; [1 3],[31.08695652 33.91304348] ; [1.91304348 2.08695652],0
b3,1,0.346393,0.886626,[32 33] ; [1 3],[31.08695652 33.91304348] ; [1.91304348 2.08695652],0
s8,1,0.364919,0.820892,[55 36] ; [2 3],[54.03125 36.96875] ; [2.96875 2.03125],0
n4,1,0.438926,0.599089,[84  7] ; [5 1],[83.49484536  7.50515464] ; [5.50515464 0.49484536],0
s1,1,0.438926,0.599089,[ 7 84] ; [1 5],[ 7.50515464 83.49484536] ; [0.49484536 5.50515464],0
d2,1,0.444191,0.585432,[46 45] ; [4 2],[46.90721649 44.09278351] ; [3.09278351 2.90721649],0
p10,1,0.452398,0.564636,[82  7] ; [5 1],[81.50526316  7.49473684] ; [5.49473684 0.50526316],0
a7,1,0.464872,0.534138,[63 28] ; [5 1],[63.79381443 27.20618557] ; [4.20618557 1.79381443],0
p3,1,0.473106,0.514712,[72 19] ; [4 2],[71.29896907 19.70103093] ; [4.70103093 1.29896907],0
d5,1,0.520005,0.413884,[71 20] ; [4 2],[70.36082474 20.63917526] ; [4.63917526 1.36082474],0
a3,1,0.520005,0.413884,[71 20] ; [4 2],[70.36082474 20.63917526] ; [4.63917526 1.36082474],0
b4,1,0.611004,0.258716,[51 40] ; [4 2],[51.59793814 39.40206186] ; [3.40206186 2.59793814],0
n3,1,0.648077,0.208333,[10  6] ; [2 2],[9.6 6.4] ; [2.4 1.6],0
s7,1,0.66253,0.190465,[61 25] ; [4 1],[61.42857143 24.57142857] ; [3.57142857 1.42857143],0
v3,1,0.702979,0.145391,[51 37] ; [3 3],[50.55319149 37.44680851] ; [3.44680851 2.55319149],0
d1,1,0.722972,0.125663,[54 37] ; [4 2],[54.41237113 36.58762887] ; [3.58762887 2.41237113],0
b5,1,0.732338,0.116976,[39 52] ; [3 3],[39.40206186 51.59793814] ; [2.59793814 3.40206186],0
p12,1,0.769478,0.085883,[25 65] ; [2 4],[25.3125 64.6875] ; [1.6875 4.3125],0
d3,1,0.927436,0.008294,[59 32] ; [4 2],[59.10309278 31.89690722] ; [3.89690722 2.10309278],0
s5,1,0.967664,0.001643,[56 27] ; [4 2],[55.95505618 27.04494382] ; [4.04494382 1.95505618],0
