Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,47.80129,[227  92] ; [ 89 127],[188.41869159 130.58130841] ; [127.58130841  88.41869159],1
v3,1,0.0,30.93988,[171 146] ; [ 65 154],[139.57462687 177.42537313] ; [ 96.42537313 122.57462687],1
p7,1,1e-06,25.218152,[237  79] ; [118 100],[210.07490637 105.92509363] ; [144.92509363  73.07490637],1
p10,1,1.7e-05,18.53171,[294  30] ; [172  50],[276.52747253  47.47252747] ; [189.47252747  32.52747253],1
p4,1,2.1e-05,18.082011,[236  90] ; [121 100],[212.76416819 113.23583181] ; [144.23583181  76.76416819],1
p9,1,2.5e-05,17.733029,[298  25] ; [176  44],[281.9558011  41.0441989] ; [192.0441989  27.9558011],1
p2,1,2.6e-05,17.658206,[293  32] ; [171  51],[275.68555759  49.31444241] ; [188.31444241  33.68555759],1
p8,1,3.6e-05,17.080916,[205 115] ; [102 119],[181.5896488 138.4103512] ; [125.4103512  95.5896488],1
r4,1,6.3e-05,16.006867,[311  17] ; [189  34],[297.64065336  30.35934664] ; [202.35934664  20.64065336],1
p3,1,0.000111,14.944223,[195 131] ; [ 96 127],[172.79781421 153.20218579] ; [118.20218579 104.79781421],1
p6,1,0.000173,14.100083,[151 169] ; [ 69 153],[129.88929889 190.11070111] ; [ 90.11070111 131.88929889],1
s5,1,0.000673,11.562212,[135 181] ; [ 61 155],[116.42105263 199.57894737] ; [ 79.57894737 136.42105263],1
s8,1,0.000744,11.375111,[178 147] ; [ 89 133],[158.63802559 166.36197441] ; [108.36197441 113.63802559],1
r3,1,0.001237,10.434913,[318   9] ; [201  20],[309.69525547  17.30474453] ; [209.30474453  11.69525547],0
v4,1,0.002337,9.264224,[319   9] ; [203  19],[311.30181818  16.69818182] ; [210.69818182  11.30181818],0
s6,1,0.00407,8.252355,[243  80] ; [139  79],[228.0702403  94.9297597] ; [153.9297597  64.0702403],0
r1,1,0.006097,7.521548,[283  44] ; [173  50],[271.11272727  55.88727273] ; [184.88727273  38.11272727],0
p5,1,0.007778,7.083837,[ 55 270] ; [ 20 203],[ 44.47992701 280.52007299] ; [ 30.52007299 192.47992701],0
p12,1,0.01223,6.277268,[ 38 287] ; [ 12 210],[ 29.70749543 295.29250457] ; [ 20.29250457 201.70749543],0
p11,1,0.015533,5.854981,[277  51] ; [170  53],[266.0907441  61.9092559] ; [180.9092559  42.0907441],0
r2,1,0.023706,5.115998,[315  11] ; [203  17],[309.28205128  16.71794872] ; [208.71794872  11.28205128],0
s2,1,0.023826,5.107229,[191 132] ; [109 112],[178.125 144.875] ; [121.875  99.125],0
u4,1,0.029921,4.713846,[ 13 315] ; [  2 221],[  8.9292196 319.0707804] ; [  6.0707804 216.9292196],0
b5,1,0.037772,4.315244,[207 121] ; [121 102],[195.2522686 132.7477314] ; [132.7477314  90.2522686],0
s1,1,0.037896,4.309702,[  5 317] ; [ 10 211],[  8.89502762 313.10497238] ; [  6.10497238 214.89502762],0
d1,1,0.047463,3.928908,[246  82] ; [150  73],[235.73139746  92.26860254] ; [160.26860254  62.73139746],0
s7,1,0.057552,3.606565,[178 133] ; [105 110],[167.32509506 143.67490494] ; [115.67490494  99.32509506],0
a3,1,0.082534,3.014274,[263  63] ; [166  57],[254.7431694  71.2568306] ; [174.2568306  48.7431694],0
a5,1,0.086462,2.939033,[267  61] ; [168  55],[258.94736842  69.05263158] ; [176.05263158  46.94736842],0
u1,1,0.115734,2.474123,[ 82 246] ; [ 43 180],[ 74.41016334 253.58983666] ; [ 50.58983666 172.41016334],0
u3,1,0.243198,1.361962,[41 24] ; [30 27],[37.82786885 27.17213115] ; [33.17213115 23.82786885],0
b1,1,0.245567,1.34835,[125 203] ; [ 96 127],[131.55716878 196.44283122] ; [ 89.44283122 133.55716878],0
b4,1,0.38321,0.760379,[199 129] ; [127  96],[194.06170599 133.93829401] ; [131.93829401  91.06170599],0
d3,1,0.407801,0.685201,[257  71] ; [168  55],[252.99455535  75.00544465] ; [172.00544465  50.99455535],0
n6,1,0.425198,0.635904,[301  26] ; [200  22],[298.40983607  28.59016393] ; [202.59016393  19.40983607],0
n4,1,0.449054,0.573038,[295  33] ; [196  27],[292.2831216  35.7168784] ; [198.7168784  24.2831216],0
a2,1,0.472784,0.515463,[ 99 229] ; [ 61 162],[ 95.24500907 232.75499093] ; [ 64.75499093 158.24500907],0
d5,1,0.494855,0.465952,[293  35] ; [195  28],[290.49727768  37.50272232] ; [197.50272232  25.49727768],0
d2,1,0.525569,0.402952,[188 139] ; [121 100],[184.3850365 142.6149635] ; [124.6149635  96.3850365],0
b3,1,0.574775,0.314759,[ 94 125] ; [51 77],[ 91.5129683 127.4870317] ; [53.4870317 74.5129683],0
b2,1,0.574775,0.314759,[ 94 125] ; [51 77],[ 91.5129683 127.4870317] ; [53.4870317 74.5129683],0
