Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s4,1,0.003999,8.284091,[10 38] ; [17 16],[16. 32.] ; [11. 22.],0
p6,1,0.00534,7.760563,[11 35] ; [18 15],[16.88607595 29.11392405] ; [12.11392405 20.88607595],0
s6,1,0.018736,5.526015,[31 17] ; [29  4],[35.55555556 12.44444444] ; [24.44444444  8.55555556],0
b2,1,0.021454,5.289522,[ 8 23] ; [14 11],[12.17857143 18.82142857] ; [ 9.82142857 15.17857143],0
b3,1,0.021454,5.289522,[ 8 23] ; [14 11],[12.17857143 18.82142857] ; [ 9.82142857 15.17857143],0
p1,1,0.033169,4.537037,[ 2 46] ; [ 6 26],[ 4.8 43.2] ; [ 3.2 28.8],0
p11,1,0.036531,4.372159,[38 10] ; [19 14],[33.77777778 14.22222222] ; [23.22222222  9.77777778],0
a6,1,0.048373,3.896977,[35 13] ; [17 16],[30.81481481 17.18518519] ; [21.18518519 11.81481481],0
b5,1,0.048606,3.88892,[31 17] ; [14 19],[26.66666667 21.33333333] ; [18.33333333 14.66666667],0
d5,1,0.065925,3.38167,[38 10] ; [31  2],[40.88888889  7.11111111] ; [28.11111111  4.88888889],0
d4,1,0.065925,3.38167,[38 10] ; [31  2],[40.88888889  7.11111111] ; [28.11111111  4.88888889],0
s2,1,0.077573,3.11503,[24 24] ; [23 10],[27.85185185 20.14814815] ; [19.14814815 13.85185185],0
n4,1,0.078404,3.097684,[27 21] ; [12 21],[23.11111111 24.88888889] ; [15.88888889 17.11111111],0
b4,1,0.168934,1.892382,[31 17] ; [26  7],[33.77777778 14.22222222] ; [23.22222222  9.77777778],0
u2,1,0.17753,1.818182,[10  1] ; [6 3],[8.8 2.2] ; [7.2 1.8],0
n1,1,0.183864,1.766111,[3 7] ; [7 5],[4.54545455 5.45454545] ; [5.45454545 6.54545455],0
p10,1,0.259951,1.26902,[34 14] ; [27  6],[36.14814815 11.85185185] ; [24.85185185  8.14814815],0
s3,1,0.298052,1.082888,[28 20] ; [23 10],[30.22222222 17.77777778] ; [20.77777778 12.22222222],0
