Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,2.1e-05,18.085543,[16  8] ; [24 83],[ 7.32824427 16.67175573] ; [32.67175573 74.32824427],1
p7,1,2.6e-05,17.665556,[19  5] ; [34 71],[ 9.86046512 14.13953488] ; [43.13953488 61.86046512],1
p4,1,0.001757,9.787346,[14 10] ; [27 79],[ 7.56923077 16.43076923] ; [33.43076923 72.56923077],0
p8,1,0.001801,9.742309,[13 11] ; [24 83],[ 6.77862595 17.22137405] ; [30.22137405 76.77862595],0
p5,1,0.006692,7.353743,[ 4 20] ; [  3 103],[ 1.29230769 22.70769231] ; [  5.70769231 100.29230769],0
p2,1,0.009686,6.691817,[18  6] ; [49 58],[12.27480916 11.72519084] ; [54.72519084 52.27480916],0
r4,1,0.011764,6.346154,[20  4] ; [60 48],[14.54545455  9.45454545] ; [65.45454545 42.54545455],0
r3,1,0.027991,4.82864,[21  3] ; [69 38],[16.48854962  7.51145038] ; [73.51145038 33.48854962],0
s7,1,0.034531,4.468226,[ 8 14] ; [17 86],[ 4.4 17.6] ; [20.6 82.4],0
p10,1,0.046023,3.980737,[14 10] ; [38 67],[ 9.6744186 14.3255814] ; [42.3255814 62.6744186],0
p9,1,0.053989,3.713051,[15  9] ; [42 61],[10.77165354 13.22834646] ; [46.22834646 56.77165354],0
s8,1,0.058198,3.588018,[ 6 17] ; [12 96],[ 3.16030534 19.83969466] ; [14.83969466 93.16030534],0
r2,1,0.072453,3.226547,[23  1] ; [84 20],[20.0625  3.9375] ; [86.9375 17.0625],0
s4,1,0.072905,3.216374,[ 6 18] ; [12 96],[ 3.27272727 20.72727273] ; [14.72727273 93.27272727],0
n6,1,0.074043,3.191039,[18  6] ; [59 48],[14.10687023  9.89312977] ; [62.89312977 44.10687023],0
v2,1,0.123966,2.366488,[11 13] ; [31 74],[ 7.81395349 16.18604651] ; [34.18604651 70.81395349],0
b5,1,0.12932,2.300654,[18  6] ; [63 45],[14.72727273  9.27272727] ; [66.27272727 41.72727273],0
s6,1,0.133937,2.246264,[11 12] ; [34 74],[ 7.90076336 15.09923664] ; [37.09923664 70.90076336],0
u2,1,0.146352,2.109864,[6 5] ; [13 29],[3.94339623 7.05660377] ; [15.05660377 26.94339623],0
s5,1,0.153651,2.03563,[ 6 17] ; [15 92],[ 3.71538462 19.28461538] ; [17.28461538 89.71538462],0
r1,1,0.155342,2.018996,[18  6] ; [63 43],[14.95384615  9.04615385] ; [66.04615385 39.95384615],0
n3,1,0.172814,1.858365,[6 2] ; [22 23],[4.22641509 3.77358491] ; [23.77358491 21.22641509],0
v4,1,0.201204,1.633615,[21  3] ; [80 26],[18.64615385  5.35384615] ; [82.35384615 23.64615385],0
n4,1,0.243449,1.36051,[17  7] ; [62 45],[14.47328244  9.52671756] ; [64.52671756 42.47328244],0
a4,1,0.268105,1.226415,[12 12] ; [40 66],[ 9.6 14.4] ; [42.4 63.6],0
n5,1,0.277682,1.1784,[17  7] ; [63 44],[14.65648855  9.34351145] ; [65.34351145 41.65648855],0
