Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.000505,12.096085,[ 2 58] ; [3 5],[ 4.41176471 55.58823529] ; [0.58823529 7.41176471],1
s6,1,0.003316,8.624738,[10 50] ; [5 3],[13.23529412 46.76470588] ; [1.76470588 6.23529412],0
p2,1,0.01884,5.516279,[19 40] ; [6 2],[22.01492537 36.98507463] ; [2.98507463 5.01492537],0
d2,1,0.025178,5.011631,[20 39] ; [6 2],[22.89552239 36.10447761] ; [3.10447761 4.89552239],0
p4,1,0.030952,4.655626,[10 49] ; [4 4],[12.32835821 46.67164179] ; [1.67164179 6.32835821],0
d3,1,0.033358,4.527291,[28 31] ; [7 1],[30.82089552 28.17910448] ; [4.17910448 3.82089552],0
d5,1,0.055189,3.676374,[31 29] ; [7 1],[33.52941176 26.47058824] ; [4.47058824 3.52941176],0
p9,1,0.067399,3.34526,[17 40] ; [5 3],[19.29230769 37.70769231] ; [2.70769231 5.29230769],0
v2,1,0.075096,3.167965,[12 45] ; [4 4],[14.03076923 42.96923077] ; [1.96923077 6.03076923],0
r2,1,0.075104,3.16778,[31 26] ; [7 1],[33.32307692 23.67692308] ; [4.67692308 3.32307692],0
d1,1,0.08649,2.93851,[19 41] ; [5 3],[21.17647059 38.82352941] ; [2.82352941 5.17647059],0
r3,1,0.116494,2.463832,[20 39] ; [5 3],[22.01492537 36.98507463] ; [2.98507463 5.01492537],0
v1,1,0.119964,2.417793,[17 43] ; [4 3],[18.80597015 41.19402985] ; [2.19402985 4.80597015],0
d4,1,0.129692,2.296186,[36 24] ; [7 1],[37.94117647 22.05882353] ; [5.05882353 2.94117647],0
s3,1,0.147842,2.094373,[15 44] ; [4 4],[16.73134328 42.26865672] ; [2.26865672 5.73134328],0
u3,1,0.159909,1.975088,[ 5 22] ; [2 2],[ 6.09677419 20.90322581] ; [0.90322581 3.09677419],0
p3,1,0.176819,1.824158,[10 48] ; [3 5],[11.42424242 46.57575758] ; [1.57575758 6.42424242],0
s2,1,0.207889,1.586067,[11 49] ; [3 5],[12.35294118 47.64705882] ; [1.64705882 6.35294118],0
n5,1,0.242405,1.36655,[35 24] ; [3 5],[33.46268657 25.53731343] ; [4.53731343 3.46268657],0
p10,1,0.270622,1.213594,[18 41] ; [4 4],[19.37313433 39.62686567] ; [2.62686567 5.37313433],0
s7,1,0.341963,0.903057,[ 8 47] ; [2 5],[ 8.87096774 46.12903226] ; [1.12903226 5.87096774],0
a5,1,0.351591,0.867708,[27 33] ; [5 3],[28.23529412 31.76470588] ; [3.76470588 4.23529412],0
a7,1,0.373802,0.790986,[27 32] ; [5 3],[28.17910448 30.82089552] ; [3.82089552 4.17910448],0
b4,1,0.451587,0.566667,[29 31] ; [5 3],[30. 30.] ; [4. 4.],0
b1,1,0.462523,0.539783,[37 23] ; [6 2],[37.94117647 22.05882353] ; [5.05882353 2.94117647],0
v3,1,0.47462,0.511199,[14 45] ; [1 7],[13.20895522 45.79104478] ; [1.79104478 6.20895522],0
a6,1,0.624845,0.239117,[28 32] ; [3 5],[27.35294118 32.64705882] ; [3.64705882 4.35294118],0
v4,1,0.65919,0.194509,[32 27] ; [5 3],[32.58208955 26.41791045] ; [4.41791045 3.58208955],0
a4,1,0.689135,0.160023,[18 41] ; [3 5],[18.49253731 40.50746269] ; [2.50746269 5.49253731],0
p6,1,0.720497,0.128017,[ 5 53] ; [1 7],[ 5.27272727 52.72727273] ; [0.72727273 7.27272727],0
n4,1,0.751518,0.10026,[33 26] ; [4 4],[32.58208955 26.41791045] ; [4.41791045 3.58208955],0
a1,1,0.763698,0.090377,[10 50] ; [1 7],[ 9.70588235 50.29411765] ; [1.29411765 6.70588235],0
n6,1,0.763706,0.090371,[25 33] ; [3 5],[24.60606061 33.39393939] ; [3.39393939 4.60606061],0
n2,1,0.77271,0.083424,[14 19] ; [2 2],[14.27027027 18.72972973] ; [1.72972973 2.27027027],0
u2,1,0.814672,0.054945,[ 8 18] ; [1 3],[ 7.8 18.2] ; [1.2 2.8],0
n1,1,0.826538,0.048024,[10 23] ; [1 3],[ 9.81081081 23.18918919] ; [1.18918919 2.81081081],0
r1,1,0.840435,0.040537,[20 39] ; [3 5],[20.25373134 38.74626866] ; [2.74626866 5.25373134],0
b5,1,0.9294,0.00785,[31 29] ; [4 4],[30.88235294 29.11764706] ; [4.11764706 3.88235294],0
p7,1,0.936793,0.006289,[15 42] ; [2 6],[14.90769231 42.09230769] ; [2.09230769 5.90769231],0
a3,1,0.951344,0.003723,[33 26] ; [4 3],[33.07575758 25.92424242] ; [3.92424242 3.07575758],0
