Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,72.733002,[76  8] ; [ 5 35],[54.87096774 29.12903226] ; [26.12903226 13.87096774],1
s6,1,3e-06,21.873745,[80  5] ; [25 16],[70.83333333 14.16666667] ; [34.16666667  6.83333333],1
s7,1,2.6e-05,17.660247,[58 22] ; [13 27],[47.33333333 32.66666667] ; [23.66666667 16.33333333],1
s8,1,0.000288,13.147254,[50 35] ; [10 31],[40.47619048 44.52380952] ; [19.52380952 21.47619048],1
v4,1,0.000549,11.942508,[83  1] ; [33  7],[78.58064516  5.41935484] ; [37.41935484  2.58064516],1
b5,1,0.001514,10.061923,[62 23] ; [18 23],[53.96825397 31.03174603] ; [26.03174603 14.96825397],0
r2,1,0.001977,9.570661,[82  1] ; [34  6],[78.27642276  4.72357724] ; [37.72357724  2.27642276],0
r4,1,0.005197,7.809469,[78  7] ; [30 11],[72.85714286 12.14285714] ; [35.14285714  5.85714286],0
n2,1,0.009535,6.719717,[23  3] ; [6 6],[19.84210526  6.15789474] ; [9.15789474 2.84210526],0
p9,1,0.014405,5.987807,[72 11] ; [28 13],[66.93548387 16.06451613] ; [33.06451613  7.93548387],0
s4,1,0.021678,5.271477,[29 54] ; [ 6 34],[23.61788618 59.38211382] ; [11.38211382 28.61788618],0
r3,1,0.021849,5.257805,[81  3] ; [34  6],[77.90322581  6.09677419] ; [37.09677419  2.90322581],0
a2,1,0.02623,4.940773,[31 54] ; [ 7 34],[25.63492063 59.36507937] ; [12.36507937 28.63492063],0
v1,1,0.038446,4.285193,[47 37] ; [14 25],[41.65853659 42.34146341] ; [19.34146341 19.65853659],0
u3,1,0.047987,3.91045,[13  3] ; [6 7],[10.48275862  5.51724138] ; [8.51724138 4.48275862],0
p6,1,0.057317,3.613369,[28 56] ; [ 7 34],[23.52 60.48] ; [11.48 29.52],0
a5,1,0.084099,2.983845,[68 17] ; [27 14],[64.08730159 20.91269841] ; [30.91269841 10.08730159],0
p4,1,0.085706,2.95323,[48 37] ; [16 24],[43.52 41.48] ; [20.48 19.52],0
a7,1,0.087008,2.928873,[60 25] ; [22 18],[55.76 29.24] ; [26.24 13.76],0
