Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,4e-06,21.194835,[20  8] ; [31 90],[ 9.58389262 18.41610738] ; [41.41610738 79.58389262],1
p8,1,4.9e-05,16.504761,[15 13] ; [ 21 101],[ 6.72 21.28] ; [29.28 92.72],1
p4,1,0.001627,9.929032,[14 14] ; [26 98],[ 7.36842105 20.63157895] ; [32.63157895 91.36842105],0
p2,1,0.003801,8.376731,[22  6] ; [60 64],[15.10526316 12.89473684] ; [66.89473684 57.10526316],0
s8,1,0.00415,8.216902,[10 17] ; [ 17 107],[ 4.82781457 22.17218543] ; [ 22.17218543 101.82781457],0
p11,1,0.005502,7.706525,[21  7] ; [57 67],[14.36842105 13.63157895] ; [63.63157895 60.36842105],0
s2,1,0.029663,4.728714,[12 16] ; [28 95],[ 7.41721854 20.58278146] ; [32.58278146 90.41721854],0
s7,1,0.034241,4.482614,[12 15] ; [28 88],[ 7.55244755 19.44755245] ; [32.44755245 83.55244755],0
a5,1,0.04095,4.178083,[11 17] ; [75 49],[15.84210526 12.15789474] ; [70.15789474 53.84210526],0
r3,1,0.042109,4.130798,[26  2] ; [92 30],[22.02666667  5.97333333] ; [95.97333333 26.02666667],0
v4,1,0.042109,4.130798,[26  2] ; [92 30],[22.02666667  5.97333333] ; [95.97333333 26.02666667],0
n3,1,0.042818,4.102564,[11  2] ; [28 24],[7.8 5.2] ; [31.2 20.8],0
s3,1,0.07778,3.110684,[15 13] ; [43 78],[10.89932886 17.10067114] ; [47.10067114 73.89932886],0
a3,1,0.093384,2.815046,[13 15] ; [77 44],[16.91275168 11.08724832] ; [73.08724832 47.91275168],0
n2,1,0.127544,2.32215,[10  3] ; [29 25],[7.56716418 5.43283582] ; [31.43283582 22.56716418],0
p9,1,0.130788,2.283128,[13 15] ; [37 81],[ 9.5890411 18.4109589] ; [40.4109589 77.5890411],0
a2,1,0.137369,2.207181,[ 3 25] ; [29 95],[ 5.89473684 22.10526316] ; [26.10526316 97.89473684],0
