Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.014066,6.029864,[11  6] ; [18 39],[ 6.66216216 10.33783784] ; [22.33783784 34.66216216],0
r1,1,0.040787,4.18484,[7 9] ; [11 47],[ 3.89189189 12.10810811] ; [14.10810811 43.89189189],0
s3,1,0.043098,4.091566,[10  5] ; [21 35],[6.54929577 8.45070423] ; [24.45070423 31.54929577],0
n3,1,0.057579,3.605769,[1 3] ; [19  7],[2.66666667 1.33333333] ; [17.33333333  8.66666667],0
s6,1,0.069204,3.301806,[11  5] ; [25 33],[7.78378378 8.21621622] ; [28.21621622 29.78378378],0
p1,1,0.078154,3.102878,[ 3 13] ; [ 3 55],[ 1.2972973 14.7027027] ; [ 4.7027027 53.2972973],0
p9,1,0.127975,2.3169,[11  6] ; [46 10],[13.2739726  3.7260274] ; [43.7260274 12.2739726],0
s7,1,0.13303,2.256784,[10  7] ; [21 34],[7.31944444 9.68055556] ; [23.68055556 31.31944444],0
b4,1,0.180876,1.790415,[13  4] ; [34 24],[10.65333333  6.34666667] ; [36.34666667 21.65333333],0
d5,1,0.185557,1.752546,[14  3] ; [38 20],[11.78666667  5.21333333] ; [40.21333333 17.78666667],0
b5,1,0.203891,1.614279,[ 7 10] ; [34 24],[9.29333333 7.70666667] ; [31.70666667 26.29333333],0
b1,1,0.256339,1.288419,[ 5 12] ; [26 32],[7.02666667 9.97333333] ; [23.97333333 34.02666667],0
s4,1,0.269943,1.217039,[ 5 12] ; [10 48],[ 3.4 13.6] ; [11.6 46.4],0
a4,1,0.280048,1.166857,[8 9] ; [19 39],[ 6.12 10.88] ; [20.88 37.12],0
a8,1,0.293602,1.10303,[ 2 13] ; [ 3 52],[ 1.07142857 13.92857143] ; [ 3.92857143 51.07142857],0
n4,1,0.345821,0.888734,[9 8] ; [38 20],[10.65333333  6.34666667] ; [36.34666667 21.65333333],0
p5,1,0.362472,0.82931,[ 3 13] ; [ 6 52],[ 1.94594595 14.05405405] ; [ 7.05405405 50.94594595],0
u2,1,0.368042,0.810264,[5 2] ; [12 11],[3.96666667 3.03333333] ; [13.03333333  9.96666667],0
d2,1,0.384023,0.757785,[8 8] ; [22 36],[6.48648649 9.51351351] ; [23.51351351 34.48648649],0
n5,1,0.452027,0.565563,[9 6] ; [40 17],[10.20833333  4.79166667] ; [38.79166667 18.20833333],0
p4,1,0.482476,0.493262,[ 7 10] ; [29 28],[8.27027027 8.72972973] ; [27.72972973 29.27027027],0
r2,1,0.511587,0.430819,[9 5] ; [30 25],[7.91304348 6.08695652] ; [31.08695652 23.91304348],0
a6,1,0.521935,0.410068,[10  7] ; [29 29],[8.84 8.16] ; [30.16 27.84],0
p7,1,0.52728,0.399631,[9 7] ; [26 29],[7.88732394 8.11267606] ; [27.11267606 27.88732394],0
s8,1,0.550048,0.357231,[ 4 13] ; [18 40],[ 4.98666667 12.01333333] ; [17.01333333 40.98666667],0
d4,1,0.552751,0.352412,[12  4] ; [39 19],[11.02702703  4.97297297] ; [39.97297297 18.02702703],0
d1,1,0.585657,0.297177,[8 9] ; [23 35],[7.02666667 9.97333333] ; [23.97333333 34.02666667],0
a3,1,0.585657,0.297177,[9 8] ; [35 23],[9.97333333 7.02666667] ; [34.02666667 23.97333333],0
a5,1,0.585657,0.297177,[9 8] ; [35 23],[9.97333333 7.02666667] ; [34.02666667 23.97333333],0
b2,1,0.602027,0.27195,[ 4 11] ; [ 7 28],[ 3.3 11.7] ; [ 7.7 27.3],0
b3,1,0.602027,0.27195,[ 4 11] ; [ 7 28],[ 3.3 11.7] ; [ 7.7 27.3],0
v2,1,0.637805,0.221624,[9 8] ; [26 30],[8.15068493 8.84931507] ; [26.84931507 29.15068493],0
p10,1,0.644891,0.212402,[11  5] ; [41 14],[11.71830986  4.28169014] ; [40.28169014 14.71830986],0
p8,1,0.649279,0.206811,[ 6 10] ; [25 32],[6.79452055 9.20547945] ; [24.20547945 32.79452055],0
v3,1,0.650134,0.205731,[ 3 13] ; [14 44],[ 3.67567568 12.32432432] ; [13.32432432 44.67567568],0
p3,1,0.668911,0.182878,[ 6 11] ; [17 40],[ 5.28378378 11.71621622] ; [17.71621622 39.28378378],0
p12,1,0.674198,0.176731,[ 1 16] ; [ 2 54],[ 0.69863014 16.30136986] ; [ 2.30136986 53.69863014],0
n6,1,0.689874,0.159222,[10  5] ; [41 16],[10.625  4.375] ; [40.375 16.625],0
p2,1,0.704831,0.143495,[13  3] ; [43 13],[12.44444444  3.55555556] ; [43.55555556 12.44444444],0
u1,1,0.714381,0.13394,[ 1 16] ; [ 5 53],[ 1.36 15.64] ; [ 4.64 53.36],0
v4,1,0.725205,0.12356,[8 5] ; [38 19],[8.54285714 4.45714286] ; [37.45714286 19.54285714],0
n2,1,0.745939,0.104975,[4 1] ; [19  7],[3.70967742 1.29032258] ; [19.29032258  6.70967742],0
p6,1,0.788701,0.071823,[ 4 13] ; [15 41],[ 4.42465753 12.57534247] ; [14.57534247 41.42465753],0
u3,1,0.825339,0.048701,[4 4] ; [10 12],[3.73333333 4.26666667] ; [10.26666667 11.73333333],0
d3,1,0.83109,0.045498,[8 9] ; [29 29],[8.38666667 8.61333333] ; [28.61333333 29.38666667],0
v1,1,0.857079,0.032434,[ 6 10] ; [22 33],[6.30985915 9.69014085] ; [21.69014085 33.30985915],0
n1,1,0.923704,0.009172,[2 3] ; [11 15],[2.09677419 2.90322581] ; [10.90322581 15.09677419],0
r3,1,0.978114,0.000753,[11  4] ; [42 15],[11.04166667  3.95833333] ; [41.95833333 15.04166667],0
a7,1,1.0,0.0,[8 8] ; [29 29],[8. 8.] ; [29. 29.],0
