Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,45.529911,[96 27] ; [ 1 21],[82.28275862 40.71724138] ; [14.71724138  7.28275862],1
r3,1,3e-06,21.688712,[104  18] ; [ 9 13],[95.73611111 26.26388889] ; [17.26388889  4.73611111],1
v4,1,4e-06,21.4339,[103  18] ; [ 9 13],[94.76923077 26.23076923] ; [17.23076923  4.76923077],1
r1,1,6.4e-05,15.989733,[96 27] ; [ 8 14],[88.22068966 34.77931034] ; [15.77931034  6.22068966],1
a5,1,0.003394,8.582471,[80 43] ; [ 7 15],[73.8 49.2] ; [13.2  8.8],0
d5,1,0.014024,6.03517,[93 30] ; [11 11],[88.22068966 34.77931034] ; [15.77931034  6.22068966],0
u3,1,0.027836,4.83817,[29 19] ; [3 9],[25.6 22.4] ; [6.4 5.6],0
a6,1,0.039171,4.253451,[79 44] ; [ 9 13],[74.64827586 48.35172414] ; [13.35172414  8.64827586],0
v3,1,0.045284,4.008038,[42 77] ; [ 3 19],[37.9787234 81.0212766] ; [ 7.0212766 14.9787234],0
s8,1,0.065566,3.390682,[26 97] ; [ 1 21],[ 22.90344828 100.09655172] ; [ 4.09655172 17.90344828],0
d2,1,0.068976,3.307218,[64 57] ; [ 7 15],[60.07692308 60.92307692] ; [10.92307692 11.07692308],0
p10,1,0.070677,3.267229,[33 89] ; [ 2 20],[29.65277778 92.34722222] ; [ 5.34722222 16.65277778],0
d1,1,0.072232,3.231565,[59 64] ; [ 6 16],[55.13793103 67.86206897] ; [ 9.86206897 12.13793103],0
d3,1,0.075015,3.169716,[70 53] ; [ 8 14],[66.16551724 56.83448276] ; [11.83448276 10.16551724],0
s3,1,0.090555,2.864481,[53 69] ; [ 5 16],[49.48251748 72.51748252] ; [ 8.51748252 12.48251748],0
n5,1,0.108032,2.582777,[73 50] ; [ 9 13],[69.55862069 53.44137931] ; [12.44137931  9.55862069],0
p8,1,0.114108,2.496383,[31 92] ; [ 2 19],[28.1875 94.8125] ; [ 4.8125 16.1875],0
a7,1,0.118975,2.430763,[77 45] ; [10 12],[73.70833333 48.29166667] ; [13.29166667  8.70833333],0
p11,1,0.123868,2.367722,[61 62] ; [ 7 15],[57.68275862 65.31724138] ; [10.31724138 11.68275862],0
n4,1,0.13329,2.253757,[82 41] ; [11 11],[78.88965517 44.11034483] ; [14.11034483  7.88965517],0
d4,1,0.167632,1.903993,[89 32] ; [13  9],[86.30769231 34.69230769] ; [15.69230769  6.30769231],0
s7,1,0.191838,1.703444,[32 83] ; [ 3 18],[29.59558824 85.40441176] ; [ 5.40441176 15.59558824],0
s5,1,0.240567,1.377267,[24 99] ; [ 2 20],[ 22.05517241 100.94482759] ; [ 3.94482759 18.05517241],0
a3,1,0.25003,1.323139,[75 48] ; [10 11],[72.60416667 50.39583333] ; [12.39583333  8.60416667],0
v2,1,0.276853,1.182472,[47 72] ; [ 6 16],[44.73049645 74.26950355] ; [ 8.26950355 13.73049645],0
n3,1,0.277884,1.177407,[23 22] ; [7 3],[24.54545455 20.45454545] ; [5.45454545 4.54545455],0
p2,1,0.336513,0.923672,[64 59] ; [ 9 13],[61.92413793 61.07586207] ; [11.07586207 10.92413793],0
p7,1,0.348411,0.879235,[46 76] ; [ 6 16],[44.05555556 77.94444444] ; [ 7.94444444 14.05555556],0
a4,1,0.348411,0.879235,[46 76] ; [ 6 16],[44.05555556 77.94444444] ; [ 7.94444444 14.05555556],0
v1,1,0.360481,0.836218,[40 83] ; [ 5 17],[38.17241379 84.82758621] ; [ 6.82758621 15.17241379],0
n6,1,0.402433,0.701043,[78 44] ; [12 10],[76.25 45.75] ; [13.75  8.25],0
s2,1,0.41423,0.666628,[38 83] ; [ 5 17],[36.38461538 84.61538462] ; [ 6.61538462 15.38461538],0
b3,1,0.523288,0.407407,[19 53] ; [ 3 13],[18. 54.] ; [ 4. 12.],0
b2,1,0.523288,0.407407,[19 53] ; [ 3 13],[18. 54.] ; [ 4. 12.],0
p5,1,0.549403,0.358387,[  3 120] ; [ 1 20],[  3.41666667 119.58333333] ; [ 0.58333333 20.41666667],0
p1,1,0.5498,0.357675,[  7 115] ; [ 2 20],[  7.625 114.375] ; [ 1.375 20.625],0
s6,1,0.55616,0.346397,[53 70] ; [ 8 14],[51.74482759 71.25517241] ; [ 9.25517241 12.74482759],0
p3,1,0.617422,0.249508,[34 88] ; [ 5 17],[33.04166667 88.95833333] ; [ 5.95833333 16.04166667],0
a2,1,0.62695,0.236219,[ 22 101] ; [ 3 19],[ 21.20689655 101.79310345] ; [ 3.79310345 18.20689655],0
b4,1,0.667629,0.184388,[78 45] ; [15  7],[78.88965517 44.11034483] ; [14.11034483  7.88965517],0
s4,1,0.669236,0.182497,[ 18 105] ; [ 4 18],[ 18.66206897 104.33793103] ; [ 3.33793103 18.66206897],0
b5,1,0.69842,0.150121,[67 56] ; [11 11],[66.16551724 56.83448276] ; [11.83448276 10.16551724],0
a8,1,0.704167,0.144173,[  8 104] ; [ 2 19],[  8.42105263 103.57894737] ; [ 1.57894737 19.42105263],0
p4,1,0.755927,0.096618,[43 79] ; [ 7 15],[42.36111111 79.63888889] ; [ 7.63888889 14.36111111],0
n1,1,0.772193,0.083815,[16 30] ; [3 7],[15.60714286 30.39285714] ; [3.39285714 6.60714286],0
a1,1,0.772268,0.083758,[  9 114] ; [ 2 20],[  9.33103448 113.66896552] ; [ 1.66896552 20.33103448],0
u2,1,0.804728,0.061124,[21 25] ; [5 7],[20.62068966 25.37931034] ; [5.37931034 6.62068966],0
b1,1,0.827921,0.047249,[64 59] ; [12 10],[64.46896552 58.53103448] ; [11.53103448 10.46896552],0
s1,1,0.88025,0.022696,[ 10 113] ; [ 2 20],[ 10.17931034 112.82068966] ; [ 1.82068966 20.17931034],0
n2,1,0.881953,0.02205,[27 20] ; [6 4],[27.21052632 19.78947368] ; [5.78947368 4.21052632],0
